sentence,options,answer,difficulty,question_type,audio_url
"A: How was your vacation, Julia?\nB: It was great! I _______(1) a _______(2) with some friends at the beach.\nA: That sounds like fun!\nB: It was. I _______(3) _______(4) the beach every morning, and I learned to windsurf.\nA: Nice. Did you stay at the beach the whole time?\nB: No, we visited a cute town nearby. We _______(5) _______(6) souvenirs and ate ice cream.\nA: Sounds wonderful.\nB: It was. In fact, I've _______(7) I _______(8) to live near the beach!",,"1:rented | 2:house | 3:walked | 4:on | 5:shopped | 6:for | 7:decided | 8:want",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774446141/Tactics_for_Listening_Basic_CD2_39_z1lgrz.mp3
"A: What's your new apartment like, Matt?\nB: It's perfect. It's just the right size. _______(1) _______(2) _______(3) bedrooms, a living room, and a kitchen.\nA: Nice!\nB: Yeah. Oh, and _______(4) _______(5) _______(6) an office.\nA: Wow, it sounds big! Do you have furniture yet?\nB: Not yet, but _______(7) _______(8) a _______(9) going on at Furniture World this weekend.\nA: Great. Let me know if you need help with anything.",,"1:There | 2:are | 3:two | 4:there | 5:is | 6:also | 7:there | 8:is | 9:sale",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774446140/Tactics_for_Listening_Basic_CD2_44_atpjn4.mp3
"A: What are you _______(1) _______(2) do after you graduate, Evan?\nB: Well, I hope _______(3) _______(4) around the world.\nA: Really? Cool! Where do you want to go?\nB: Let's see. . . first I am _______(5) _______(6) go to Singapore, then Australia.\nA: That's so exciting. Are you going to travel alone?\nB: Well, I would _______(7) _______(8) travel with a friend. Hey, do you want to come with me?\nA: That would be great! But I am going to start a new job in August.\nB: Oh. Well, let me know if you _______(9) your mind.",,"1:going | 2:to | 3:to | 4:travel | 5:going | 6:to | 7:like | 8:to | 9:change",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487054/Tactics_for_Listening_Basic_CD3_06_ozywkp.mp3
"A: What's the weather like outside?\nB: It's sunny, humid, and _______(1) _______(2). I think it's about 98 degrees.\nA: That sounds awful!\nB: Do you want to go to the beach? Ann, Jo, and Jo's sister are going.\nA: No, thanks. It's too hot for the beach. I'm going to stay inside and read, drink ice water, and sit _______(3) _______(4) _______(5) the air conditioner.\nB: We might stop by Super Burger on the way home. Can I get you anything?\nA: That would be great. I'd like a cheeseburger, fries, and a _______(6) _______(7).",,"1:very | 2:hot | 3:in | 4:front | 5:of | 6:small | 7:soda",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487054/Tactics_for_Listening_Basic_CD3_11_lqngqa.mp3
"A: May I help you with something, or are you _______(1) _______(2)?\nB: Can I see that watch, please?\nA: The one with the _______(3) _______(4)?\nB: No, the one with _______(5) _______(6) band.\nA: Certainly. Here you are.\nB: Thanks. Yes, this is perfect. I'll take it.\nA: It's a very nice choice. Will you be _______(7) with credit today?\nB: No, I'd like to _______(8) with _______(9).",,"1:just | 2:looking | 3:silver | 4:band | 5:the | 6:black | 7:paying | 8:pay | 9:cash",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487057/Tactics_for_Listening_Basic_CD3_16_apzejn.mp3
"A: Hello. City Taxi.\nB: Hello, has anyone turned in a _______(1) _______(2)? I think I left mine in a taxi this morning.\nA: Well, our taxi drivers find lots of cell phones _______(3) _______(4). Can you describe it?\nB: Yes, it's _______(5). And it's in an orange case.\nA: Hmm. . . Those are _______(6) _______(7). Let's see. . . no, I'm sorry, we don't have it.\nB: Are you sure? I have to find it. . . it has all my important _______(8) in it. Wait – what's that?\nOh, it's in my jacket _______(9)!",,"1:cell | 2:phone | 3:every | 4:day | 5:purple | 6:unusual | 7:colors | 8:information | 9:pocket",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487054/Tactics_for_Listening_Basic_CD3_22_he6am2.mp3
"A: Excuse me. I'm looking for the tourist office.\nB: _______(1) _______(2) office? It's not far from here. Go right on Brentwood Road,\nthen left at the light.\nA: Left _______(3) the _______(4)?\nB: Yes, that's right. Then it's about halfway down the block on the right.\nA: _______(5) _______(6) right?\nB: Yes. You can't miss it.",,"1:The | 2:tourist | 3:at | 4:light | 5:On | 6:the",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487054/Tactics_for_Listening_Basic_CD3_27_xwkxfm.mp3
"A: Hey Molly, have you met the new guy in our class? _______(1) _______(2) right next to me.\nB: No, I haven't. What's he like?\nA: He's really outgoing. He _______(3) and _______(4) a lot.\nB: Really? He _______(5) _______(6).\nA: Yeah, he is. And he's funny. He _______(7) _______(8) every day after class.\nHe's pretty cute, too.\nB: It _______(9) _______(10) you're interested in him.\nA: Well, I am. But he already has _______(11) _______(12).",,"1:He | 2:sits | 3:talks | 4:laughs | 5:sounds | 6:nice | 7:tells | 8:jokes | 9:seems | 10:like | 11:a | 12:girlfriend",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487055/Tactics_for_Listening_Basic_CD3_33_f04qtc.mp3
"A: So, how do you like living here?\nB: Well, it's okay. The _______(1) are _______(2) friendly.\nA: That's true.\nB: And there are lots of great _______(3) and _______(4).\nA: Yeah, the nightlife is terrific. I go out all the time.\nB: But it's too _______(5) for me, and I can't _______(6) the _______(7).\nA: I know what you mean. The _______(8) gets _______(9) every year!",,"1:people | 2:really | 3:museums | 4:nightlife | 5:crowded | 6:stand | 7:pollution | 8:traffic | 9:worse",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487054/Tactics_for_Listening_Basic_CD3_39_kupsnp.mp3
"A: How _______(1) _______(2) _______(3) your leg, Craig?\nB: Oh, I tripped and fell when I was playing soccer.\nA: Ouch. _______(4) _______(5) _______(6) to the hospital?\nB: Yes, I did. My leg really hurt, so I got x-rays.\nA: Really? _______(7) _______(8) _______(9) your leg?\nB: No, it's just a sprain. But I won't be able to play soccer for the rest of the season.\nA: Oh, no. That's too bad.",,"1:did | 2:you | 3:hurt | 4:Did | 5:you | 6:go | 7:Did | 8:you | 9:break",easy,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774487055/Tactics_for_Listening_Basic_CD3_44_yuhaqo.mp3
"A: Hi, Amy. What did you do this weekend?\nB: Oh, not much. I _______(1) home and _______(2) on a project.\nA: Is that all?\nB: No. I also finished a good book. Later, I _______(3) _______(4) _______(5). What about you?\nA: I played tennis. The courts were crowded. I _______(6) a long time to play!\nB: What else did you do?\nA: Some friends _______(7) _______(8) to dinner. Later, we went to a club and met a lot of _______(9) _______(10).",,"1:stayed | 2:worked | 3:visited | 4:a | 5:friend | 6:waited | 7:invited | 8:me | 9:interesting | 10:people",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488366/TFL_Developing_CD1_06_mm1vls.mp3
A: Where do you get the bus _______(1) _______(2)?\nB: I don't take the bus.\nA: Oh. How do you _______(3) _______(4) _______(5)?\nB: I take the subway.\nA: How often do you _______(6) _______(7)?\nB: I take it every day.\nA: How much _______(8) _______(9) _______(10)?\nB: It costs about $50 a month.,,"1:to | 2:school | 3:get | 4:to | 5:school | 6:take | 7:it | 8:does | 9:it | 10:cost",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488366/TFL_Developing_CD1_11_ce7qql.mp3
"A: Did you hear about the argument between Steve and Mr. Riley?\nB: An argument? But they've been friends for years. What happened?\nA: Steve was cutting some _______(1) _______(2) from that tree in his yard, and one fell on the roof of Mr. Riley's car.\nB: Oh, no! You know that car is his _______(3) _______(4).\nA: Right. Well, Steve offered to take it to a _______(5) _______(6) and pay for the damages.\nB: That _______(7) _______(8).\nA: Yeah. But Mr. Riley was so angry that he won't even talk to Steve anymore.",,"1:tree | 2:branches | 3:prize | 4:possession | 5:repair | 6:shop | 7:seems | 8:reasonable",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488697/TFL_Developing_CD1_16_hrot1t.mp3
"A: _______(1) _______(2) _______(3) want to do for Brandon's birthday?\nB: Let's have a party!\nA: _______(4) _______(5) _______(6) want to have it?\nB: How about Saturday night?\nA: Okay. Where do you _______(7) _______(8) _______(9) it?\nB: How about my place?\nA: Sounds great. Now, _______(10) _______(11) _______(12) want to invite?\nB: All of Brandon's friends!",,"1:What | 2:do | 3:you | 4:When | 5:do | 6:you | 7:want | 8:to | 9:have | 10:who | 11:do | 12:you",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488697/TFL_Developing_CD1_21_bunq9p.mp3
"A: What do you _______(1) _______(2) _______(3) tonight?\nB: Let's go out to eat.\nA: Where do you _______(4) _______(5) _______(6)?\nB: I don't know. What about you? What do you want to eat?\nA: I want to go to the _______(7) _______(8).\nB: I'm tired of Italian food.\nA: So, what do you _______(9) _______(10) _______(11), then?\nB: Let's order take-out Chinese!",,"1:want | 2:to | 3:do | 4:want | 5:to | 6:go | 7:Italian | 8:place | 9:want | 10:to | 11:have",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488698/TFL_Developing_CD1_26_zbsmor.mp3
"A: I'm going shopping. Do you want to come with me?\nB: Yes. I have to buy birthday presents for the twins, _______(1) and _______(2). \nA: Oh, that reminds me! We have to get some graduation presents.\nB: Right. We need something for _______(3).\nA: And _______(4) is graduating, too. We need a present for him.\nB: Okay. And as long as we're out, why don't we get the wedding present?\nA: You mean for _______(5) and _______(6)? Good idea!",,"1:Heather | 2:Allison | 3:Michael | 4:Jonathan | 5:Lisa | 6:Kevin",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488698/TFL_Developing_CD1_32_qazc8m.mp3
"A: Excuse me, _______(1) _______(2) _______(3) that bag in the overhead compartment?\nB: I'm afraid it's a bit heavy. Would you help me?\nA: Sure. _______(4) _______(5) _______(6).\nB: Thanks.\nA: Oh, and we're taking off soon. _______(7) _______(8) turn off your cell phone, please?\nAnd _______(9) _______(10) _______(11) your seat back forward, too?\nB: No problem. Thanks for your help.",,"1:could | 2:you | 3:put | 4:There | 5:you | 6:go | 7:Could | 8:you | 9:would | 10:you | 11:put",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488723/TFL_Developing_CD1_37_acdrii.mp3
"A: I heard you had a terrible _______(1) _______(2). What happened?\nB: I slipped on the steps. I dropped my phone and my cup of coffee!\nA: Wow! _______(3) _______(4) _______(5) your phone?\nB: Yes, but I got a new one.\nA: What happened to the coffee? _______(6) _______(7) _______(8) it?\nB: Yes. Now I have a stain on my new pants.\nA: Did you take them to the dry cleaners?\nB: Yes. I hope _______(9) _______(10) comes out!",,"1:mishap | 2:yesterday | 3:Did | 4:you | 5:break | 6:Did | 7:you | 8:spill | 9:the | 10:stain",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774488724/TFL_Developing_CD1_42_stbl1q.mp3
"A: So, what do _______(1) _______(2)?\nB: I'm a flight attendant.\nA: That sounds interesting. Do you _______(3) _______(4) a lot?\nB: Yes. I've been to over 30 countries. _______(5) _______(6) _______(7)? What do you do?\nA: I am a manager in a restaurant.\nB: Do you work on _______(8) _______(9)?\nA: No. I travel on weekends. It's a great job!",,"1:you | 2:do | 3:fly | 4:overseas | 5:How | 6:about | 7:you | 8:the | 9:weekends",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490202/TFL_Developing_CD2_06_gdasa7.mp3
"A: What did you do in the past that you don't do now?\nB: Well, I didn't _______(1) _______(2) workout very much.\nA: So what do you do now?\nB: Now, I run every day in the park. I used to _______(3) _______(4), but now I love it!\nA: I _______(5) _______(6) _______(7) weights and use the machines at the gym.\nB: And now?\nA: Now I ride my bike a lot. I didn't _______(8) _______(9) _______(10) outdoors, but now I really enjoy it.",,"1:use | 2:to | 3:hate | 4:running | 5:used | 6:to | 7:lift | 8:use | 9:to | 10:exercise",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490204/TFL_Developing_CD2_11_spbhq5.mp3
"A: Hey, Jen. _______(1) _______(2) _______(3) this weekend?\nB: Maybe. Do you have some plans?\nA: Yes. _______(4) _______(5) _______(6) pop music?\nB: Sure. Why?\nA: I've got tickets for the pop music festival at Reed Hall. _______(7) _______(8) _______(9) to come with me?\nB: Do you have _______(10) _______(11) _______(12) night or Saturday night?\nA: Saturday night.\nB: Great! I'd love to!",,"1:Are | 2:you | 3:free | 4:Do | 5:you | 6:like | 7:Do | 8:you | 9:want | 10:tickets | 11:for | 12:Friday",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490204/TFL_Developing_CD2_16_donkry.mp3
"A: So, how do you like your school?\nB: Well, I like some things, but I _______(1) _______(2) _______(3) things.\nA: Such as?\nB: I like the _______(4), the _______(5), and the _______(6). But I don't like the food, the gym, or the clubs. How about you?\nA: Just the opposite! I really like the _______(7), the _______(8), and the _______(9).\nB: What don't you like?\nA: I guess I _______(10) _______(11) _______(12) the classes, the teachers, and the homework!",,"1:don't | 2:like | 3:other | 4:campus | 5:teachers | 6:students | 7:food | 8:clubs | 9:pool | 10:don't | 11:really | 12:like",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490205/TFL_Developing_CD2_21_jr5kww.mp3
"A: What do you do in your free time, Lara?\nB: I used to enjoy _______(1), but now I like _______(2) and _______(3).\nA: Oh, not me! I enjoy collecting things. I collect _______(4) cards.\nB: Do you do anything else?\nA: Yes, I really enjoy _______(5) the Internet and listening to _______(6).\nB: Do you play any sports?\nA: I go _______(7) and _______(8) in the winter. How about you?\nB: I like summer sports. I enjoy _______(9) and _______(10).",,"1:painting | 2:cooking | 3:gardening | 4:baseball | 5:surfing | 6:music | 7:skiing | 8:snowboarding | 9:swimming | 10:hiking",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490207/TFL_Developing_CD2_27_hjuwrq.mp3
"A: Can I help you?\nB: Yes, I'd _______(1) _______(2) _______(3) this shirt. I need to get a larger one.\nA: No problem.\nB: And the color is wrong. I'd like to find a _______(4) _______(5).\nA: That's fine. Oh, and do you have your receipt?\nB: Uh-oh, I think I forgot it. I _______(6) _______(7) go home and get it.\nA: Yes, I _______(8) _______(9) _______(10) your receipt.\nB: Okay, I'll be right back.",,"1:like | 2:to | 3:return | 4:blue | 5:one | 6:need | 7:to | 8:need | 9:to | 10:see",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490209/TFL_Developing_CD2_32_uvqljd.mp3
A: _______(1) _______(2) help you?\nB: Yes. I can't open the window in my room. _______(3) _______(4) get some help?\nA: Certainly. Is there anything else?\nB: Yes. I _______(5) _______(6) the air conditioner off.\nA: We can help with that. Is there anything else I can do?\nB: Yes. I _______(7) _______(8) to the Internet.\nA: You need a password. I _______(9) _______(10) _______(11) up with it.\nB: Thank you very much!,,"1:Can | 2:I | 3:Can | 4:I | 5:can't | 6:turn | 7:can't | 8:connect | 9:can | 10:send | 11:someone",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490211/TFL_Developing_CD2_37_vz2c2p.mp3
"A: Hey, would you like to go to a movie tonight?\nB: Yeah, I'd love to. _______(1) _______(2)?\nA: Hats off to Harry is playing at the Gateway Theater. _______(3) _______(4) a boy that gets lost,\nends up in Hollywood, and becomes a big star.\nB: _______(5) _______(6) it?\nA: Well, besides the boy, umm, Russell Hill.\nB: Oh, _______(7) _______(8) funny guy. Let's go!",,"1:What's | 2:on | 3:It's | 4:about | 5:Who's | 6:in | 7:He's | 8:a",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490212/TFL_Developing_CD2_42_qyqopl.mp3
"A: Are you afraid of anything?\nB: Yes. I'm afraid of elevators. Once, when I was a kid, I got stuck in _______(1) _______(2).\nA: So what do you do when you have to take an elevator?\nB: I try to _______(3) _______(4) _______(5)! How about you?\nA: I was afraid of insects when I was a kid.\nB: How did you stop being _______(6) _______(7) insects?\nA: When I was in college, I studied insects in a _______(8) _______(9). Now, I'm not afraid at all.\nIn fact, I think _______(10) _______(11) _______(12)!",,"1:an | 2:elevator | 3:take | 4:the | 5:stairs | 6:afraid | 7:of | 8:biology | 9:class | 10:insects | 11:are | 12:fascinating",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490213/TFL_Developing_CD3_06_wjjkjt.mp3
"A: Mike called today. He wants to go to the restaurant with us tonight.\nB: Did he leave his number?\nA: Yes. It's _______(1). He also asked us to invite Lisa.\nB: Did he leave her number?\nA: No, but I have it memorized. It's _______(2).\nB: Got it. We should call the restaurant, too. I think their number is _______(3).",,"1:645-760-3950 | 2:760-3950 | 3:858-7869",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490215/TFL_Developing_CD3_12_xozuxu.mp3
"A: What did you see on your tour?\nB: We first saw the Grant House. It's _______(1) _______(2) building in the city.\nA: Nice. What else did you see?\nB: Then we visited the park. It's one of the _______(3) _______(4) _______(5) in the country. After\nthat, we went to the top of the mountain.\nA: Oh, I bet the view was great. Isn't that one of the _______(6) _______(7) in the state?\nB: Yes. Actually, it's the _______(8) _______(9) in the country. The view _______(10) _______(11).",,"1:the | 2:oldest | 3:biggest | 4:city | 5:parks | 6:tallest | 7:mountains | 8:highest | 9:mountain | 10:was | 11:fantastic",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490216/TFL_Developing_CD3_17_tpnn2y.mp3
"A: Excuse me, where are _______(1) _______(2)?\nB: Your bags are in the baggage claim area, on carousel 3.\nA: Thanks. Oh, and are there _______(3) _______(4) to eat near the baggage claim area?\nB: Yes. There are two cafes and a couple of _______(5).\nA: Great. How do we get into the city?\nB: There are _______(6) _______(7) _______(8) just outside, after you leave the baggage area.\nA: Thank you so much!",,"1:our | 2:suitcases | 3:any | 4:places | 5:restaurants | 6:buses | 7:and | 8:taxis",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490217/TFL_Developing_CD3_22_szsvav.mp3
"A: Yes, sir, may I help you?\nB: I'd like a room for two nights, please.\nA: _______(1) _______(2)?\nB: That's right. My name is Chris Smithson.\nA: Did you _______(3) _______(4)?\nB: No, Smithson. S-M-I-T-H-S-O-N. Do you need to see some identification?\nA: _______(5) _______(6) _______(7) you have identification?\nB: Yes. I do. Here you go.",,"1:Two | 2:nights | 3:say | 4:Smith | 5:Did | 6:you | 7:say",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490219/TFL_Developing_CD3_27_m0vqde.mp3
"A: Are you going downtown today?\nB: Yes, but _______(1) _______(2) marathon today. There's going to be a lot of traffic.\nA: Yes. _______(3) _______(4) several streets blocked off.\nB: And I just heard there's been an accident, too.\nA: It's true. There's been a collision _______(5) _______(6) _______(7).\nB: Wow! So, I guess I'll walk. _______(8) _______(9) _______(10) with my feet today!",,"1:there's | 2:a | 3:There | 4:are | 5:between | 6:two | 7:buses | 8:There's | 9:no | 10:problem",medium,LISTENING,https://res.cloudinary.com/dcz6avkds/video/upload/v1774490220/TFL_Developing_CD3_32_ogotxs.mp3
