sentence,options,answer,difficulty,question_type
give away,MATCHING_PAIR,give sth free of charge,easy,MATCHING
hurry up,MATCHING_PAIR,do sth more quickly,easy,MATCHING
pay back,MATCHING_PAIR,return money (to sb),easy,MATCHING
save up (for),MATCHING_PAIR,save money (for a specific purpose),easy,MATCHING
take back,MATCHING_PAIR,return sth to the place it came from,easy,MATCHING
take down,MATCHING_PAIR,remove (from a high place),easy,MATCHING
break down,MATCHING_PAIR,"stop working (for a machine, etc)",easy,MATCHING
come across,MATCHING_PAIR,find sth by chance,easy,MATCHING
find out,MATCHING_PAIR,"discover information, etc",easy,MATCHING
make up,MATCHING_PAIR,"invent an explanation, excuse, etc",easy,MATCHING
pull off,MATCHING_PAIR,break by pulling,easy,MATCHING
throw away,MATCHING_PAIR,put sth in a rubbish bin,easy,MATCHING
turn off,MATCHING_PAIR,stop a machine working,easy,MATCHING
turn on,MATCHING_PAIR,start a machine working,easy,MATCHING
What's the difference,MATCHING_PAIR,between H20 and H2S04?,easy,MATCHING
This box is full,MATCHING_PAIR,of old camping equipment.,easy,MATCHING
This resulted,MATCHING_PAIR,in us having to call the fire brigade.,easy,MATCHING
Connect this cable,MATCHING_PAIR,to that piece of equipment over there.,easy,MATCHING
I've had an idea,MATCHING_PAIR,about how to do this experiment.,easy,MATCHING
Could you fill this bottle,MATCHING_PAIR,with water?,easy,MATCHING
There's a lot of washing-up; I think we should,MATCHING_PAIR,offer to do it.,easy,MATCHING
It's getting quite late and we ought,MATCHING_PAIR,to think about getting a taxi.,easy,MATCHING
"I don't have much money, but you can",MATCHING_PAIR,borrow some if you need it.,easy,MATCHING
It's amazing that Andrew could,MATCHING_PAIR,walk when he was just six months,easy,MATCHING
Passengers travelling in first class may,MATCHING_PAIR,wait for their flight in the VIP area.,easy,MATCHING
'Someone is at the door. It must be Mrs Johnson from next door.',MATCHING_PAIR,I'm almost certain.,easy,MATCHING
'Lena might not know where the cinema is.',MATCHING_PAIR,Maybe/ Perhaps.,easy,MATCHING
'Dad should know what the capital of New Zealand is.',MATCHING_PAIR,It's probable.,easy,MATCHING
'Greg can't be in the final! He's a terrible player!',MATCHING_PAIR,I'm almost certain.,easy,MATCHING
'The dog is wet. It must be raining outside.',MATCHING_PAIR,I'm almost certain.,easy,MATCHING
'We may go to the Canary Islands for Easter.',MATCHING_PAIR,Maybe/ Perhaps.,easy,MATCHING
'Ken must like that film. He's seen it six times!',MATCHING_PAIR,I'm almost certain.,easy,MATCHING
'Barry ought to be able to cook Chinese food. He lived there for two years.',MATCHING_PAIR,It's probable.,easy,MATCHING
call back,MATCHING_PAIR,ring again on the phone,easy,MATCHING
come out,MATCHING_PAIR,be published,easy,MATCHING
cut off,MATCHING_PAIR,"disconnect (phone, electricity, etc)",easy,MATCHING
fill in,MATCHING_PAIR,"add information in the spaces on a form, etc",easy,MATCHING
hang up,MATCHING_PAIR,put the receiver down to end a phone call,easy,MATCHING
log off,MATCHING_PAIR,disconnect from the Internet/a website,easy,MATCHING
log on(to),MATCHING_PAIR,connect to the Internet/a website,easy,MATCHING
print out,MATCHING_PAIR,make a paper copy of sth on a computer,easy,MATCHING
I think I'm going to take,MATCHING_PAIR,"up a musical instrument, maybe the violin.",easy,MATCHING
As our plane took,MATCHING_PAIR,"off, I held my dad's hand tightly.",easy,MATCHING
Mr and Mrs Davies have split,MATCHING_PAIR,up after more than twenty years together.,easy,MATCHING
I hope we manage to find,MATCHING_PAIR,out where the concert is going to happen.,easy,MATCHING
I often had to look,MATCHING_PAIR,after my younger sister when she was small.,easy,MATCHING
You should turn,MATCHING_PAIR,off the TV and find something else to do.,easy,MATCHING
I've fallen,MATCHING_PAIR,out with Kelly because she hurt my feelings.,easy,MATCHING
My grandmother brought,MATCHING_PAIR,up me and my brother because my parents worked.,easy,MATCHING
"You live in a village,",MATCHING_PAIR,don't you?,easy,MATCHING
"You're not fifteen years old,",MATCHING_PAIR,are you?,easy,MATCHING
"Carol has a maths test tomorrow,",MATCHING_PAIR,doesn't she?,easy,MATCHING
"They were having lunch at the time,",MATCHING_PAIR,weren't they?,easy,MATCHING
"You've been to France,",MATCHING_PAIR,haven't you?,easy,MATCHING
"I'm not the only one,",MATCHING_PAIR,am I?,easy,MATCHING
"They all passed the test,",MATCHING_PAIR,didn't they?,easy,MATCHING
"You haven't seen Linda anywhere,",MATCHING_PAIR,have you?,easy,MATCHING
"She won't tell anyone else,",MATCHING_PAIR,will she?,easy,MATCHING
"This is the right DVD,",MATCHING_PAIR,isn't it?,easy,MATCHING
break in(to),MATCHING_PAIR,enter illegally,easy,MATCHING
catch up (with),MATCHING_PAIR,reach the same point/level as,easy,MATCHING
get away with,MATCHING_PAIR,escape punishment for,easy,MATCHING
get up,MATCHING_PAIR,leave your bed,easy,MATCHING
move in,MATCHING_PAIR,"start living in a new house, etc",easy,MATCHING
put away,MATCHING_PAIR,return sth to where it belongs,easy,MATCHING
wake up,MATCHING_PAIR,stop being asleep,easy,MATCHING
wash up,MATCHING_PAIR,"wash plates, cups, cutlery, etc",easy,MATCHING
beginning,MATCHING_PAIR,in the beginning,easy,MATCHING
Someone has broken,MATCHING_PAIR,into my car and stolen the CD player.,easy,MATCHING
I missed a few lessons but I'm catching,MATCHING_PAIR,up with the rest of the class quite quickly.,easy,MATCHING
You'll never get,MATCHING_PAIR,away with this!,easy,MATCHING
I didn't want to get,MATCHING_PAIR,up when the alarm clock rang this morning.,easy,MATCHING
Our new neighbours moved,MATCHING_PAIR,in next door today.,easy,MATCHING
Do you want me to help you put,MATCHING_PAIR,all these clothes away?,easy,MATCHING
When I woke,MATCHING_PAIR,"up, I realised I was late for school.",easy,MATCHING
You're going to wash,MATCHING_PAIR,"those plates up, aren't you?",easy,MATCHING
Someone broke,MATCHING_PAIR,into our neighbour's house yesterday:,easy,MATCHING
I'll just put,MATCHING_PAIR,these things away and then I'll be ready.,easy,MATCHING
Mum always wakes me,MATCHING_PAIR,up at half past seven.,easy,MATCHING
If you wash these plates,MATCHING_PAIR,"up, I'll start cooking dinner.",easy,MATCHING
"The flat is empty, so you can move",MATCHING_PAIR,in whenever you like.,easy,MATCHING
If you don't get,MATCHING_PAIR,"up soon, you'll be late for school.",easy,MATCHING
call off,MATCHING_PAIR,cancel,easy,MATCHING
give back,MATCHING_PAIR,return sth you have taken/borrowed,easy,MATCHING
go on,MATCHING_PAIR,happen,easy,MATCHING
put off,MATCHING_PAIR,delay to a later time,easy,MATCHING
set up,MATCHING_PAIR,"start (a business, organisation, etc)",easy,MATCHING
stay up,MATCHING_PAIR,go to bed late,easy,MATCHING
take away,MATCHING_PAIR,remove,easy,MATCHING
take over,MATCHING_PAIR,"take control of (a business, etc)",easy,MATCHING
I'm afraid we're not looking for new workers at,MATCHING_PAIR,"the moment, but you could try again next month.",easy,MATCHING
They said on the news that bus drivers are on,MATCHING_PAIR,"strike, so you might need to take a taxi to work.",easy,MATCHING
"In his new job, Paul is away travelling on",MATCHING_PAIR,business a lot of the time so he's never at home for long.,easy,MATCHING
I was quite nervous the first time I was in,MATCHING_PAIR,charge of the whole department.,easy,MATCHING
Anne works as a security guard and she's on,MATCHING_PAIR,duty for about eight hours every night.,easy,MATCHING
My boss said that if I wasn't on,MATCHING_PAIR,time for work more often I would lose my job.,easy,MATCHING
Mr Robinson is responsible,MATCHING_PAIR,for interviewing people applying for jobs.,easy,MATCHING
We need to inform everyone,MATCHING_PAIR,about the new time of the meeting.,easy,MATCHING
Trisha seems to be fed up,MATCHING_PAIR,with her job and is thinking of finding a new one.,easy,MATCHING
Your salary depends,MATCHING_PAIR,on how long you've been working here.,easy,MATCHING
I would love to work,MATCHING_PAIR,"as a racing driver, or maybe a car mechanic.",easy,MATCHING
"During the meeting, the manager referred",MATCHING_PAIR,to last year as 'a disaster'.,easy,MATCHING
"I'm a swimming instructor, which is a kind",MATCHING_PAIR,"of teacher, I suppose.",easy,MATCHING
It's important when you apply,MATCHING_PAIR,for a job to make a good impression.,easy,MATCHING
cut down (on),MATCHING_PAIR,"do less of sth(smoking, etc)",easy,MATCHING
fall down,MATCHING_PAIR,trip and fall,easy,MATCHING
get over,MATCHING_PAIR,"recover from(an illness, etc)",easy,MATCHING
go off,MATCHING_PAIR,no longer be fresh,easy,MATCHING
lie down,MATCHING_PAIR,"start lying(on a bed, etc)",easy,MATCHING
put on,MATCHING_PAIR,gain(weight),easy,MATCHING
sit down,MATCHING_PAIR,(start to) sit,easy,MATCHING
stand up,MATCHING_PAIR,(start to) stand,easy,MATCHING
do up,MATCHING_PAIR,button/zip up a piece of clothing,easy,MATCHING
fill up,MATCHING_PAIR,make sth completely full,easy,MATCHING
have on,MATCHING_PAIR,wear (a piece of clothing),easy,MATCHING
leave out,MATCHING_PAIR,not include,easy,MATCHING
try on,MATCHING_PAIR,put on (a piece of clothing) to see how it looks and if it fits,easy,MATCHING
She described the picture she was painting,MATCHING_PAIR,"as modern, but it looked quite old-fashioned to me.",easy,MATCHING
"My sister's an architect, so she's involved",MATCHING_PAIR,in designing buildings.,easy,MATCHING
"I like Picasso's paintings, but I'm not familiar",MATCHING_PAIR,with his sculptures.,easy,MATCHING
I tried to explain how to use oil paints,MATCHING_PAIR,"to Martin, but he didn't understand.",easy,MATCHING
They had to remove one of the paintings,MATCHING_PAIR,from the exhibition because it was damaged.,easy,MATCHING
Vincent Van Gogh has had an influence,MATCHING_PAIR,on many other painters.,easy,MATCHING
Darren drew a picture,MATCHING_PAIR,of a horse and it was brilliant.,easy,MATCHING
Adding flowers to my picture changed it,MATCHING_PAIR,from a winter scene into a spring scene.,easy,MATCHING
I've never driven,MATCHING_PAIR,a tractor.,easy,MATCHING
We're going to have,MATCHING_PAIR,a party on Saturday,easy,MATCHING
Don't close,MATCHING_PAIR,the window!,easy,MATCHING
Have you invited,MATCHING_PAIR,lots of people?,easy,MATCHING
Of course you can borrow,MATCHING_PAIR,some money.,easy,MATCHING
Clare has drawn,MATCHING_PAIR,a lovely picture.,easy,MATCHING
blow up,MATCHING_PAIR,explode,easy,MATCHING
build up,MATCHING_PAIR,increase,easy,MATCHING
clear up,MATCHING_PAIR,tidy,easy,MATCHING
go out,MATCHING_PAIR,stop burning,easy,MATCHING
keep out,MATCHING_PAIR,prevent from entering,easy,MATCHING
put down,MATCHING_PAIR,stop holding,easy,MATCHING
put out,MATCHING_PAIR,make something stop burning,easy,MATCHING
put up,MATCHING_PAIR,"put something on a wall (eg, a picture)",easy,MATCHING
They're going to blow,MATCHING_PAIR,up the old bridge with dynamite.,easy,MATCHING
Let's clear,MATCHING_PAIR,up this rubbish and put it in the bin.,easy,MATCHING
I'm going to put,MATCHING_PAIR,up a sign to tell people not to drop any litter.,easy,MATCHING
There was a sign saying 'Keep,MATCHING_PAIR,Out' on the gate.,easy,MATCHING
How long did it take to put,MATCHING_PAIR,out the forest fire?,easy,MATCHING
I'll just put this box,MATCHING_PAIR,down and then I'll help you with the tent.,easy,MATCHING
The traffic has built,MATCHING_PAIR,up a lot round here over recent years.,easy,MATCHING
The fire will go,MATCHING_PAIR,out unless we put some more wood on.,easy,MATCHING
calm down,MATCHING_PAIR,become/make calmer,easy,MATCHING
cheer up,MATCHING_PAIR,become/make happier,easy,MATCHING
come on,MATCHING_PAIR,be quicker,easy,MATCHING
hang on,MATCHING_PAIR,wait,easy,MATCHING
run away (from),MATCHING_PAIR,escape by running,easy,MATCHING
shut up,MATCHING_PAIR,"stop talking, stop making a noise",easy,MATCHING
speak up,MATCHING_PAIR,talk more loudly so sb can hear you,easy,MATCHING
Alice seems a bit depressed.,MATCHING_PAIR,Maybe she's had some bad news.,easy,MATCHING
Mary is very polite.,MATCHING_PAIR,"Yes, she always says thank you.",easy,MATCHING
Diane seems like a calm person.,MATCHING_PAIR,"Oh, yes. Nothing ever upsets her.",easy,MATCHING
Gemma seems a bit bad-tempered today.,MATCHING_PAIR,Yes. She's definitely angry about something.,easy,MATCHING
Megan is amusing.,MATCHING_PAIR,I know. She always makes me laugh.,easy,MATCHING
Janice looks glad about something.,MATCHING_PAIR,I think it's because she's won some money.,easy,MATCHING
Nina was hurt by what you said.,MATCHING_PAIR,"Well, maybe I should apologise, then.",easy,MATCHING
pick up,MATCHING_PAIR,"lift something from the floor, a table, etc",easy,MATCHING
put back,MATCHING_PAIR,return something to where it was,easy,MATCHING
sort out,MATCHING_PAIR,solve a problem,easy,MATCHING
watch out,MATCHING_PAIR,be careful,easy,MATCHING
work out,MATCHING_PAIR,"find the solution to a problem, etc",easy,MATCHING
Jim doesn't believe,MATCHING_PAIR,in ghosts.,easy,MATCHING
I completely agree,MATCHING_PAIR,with you.,easy,MATCHING
I've written,MATCHING_PAIR,to Tara.,easy,MATCHING
My dad doesn't approve,MATCHING_PAIR,of people smoking.,easy,MATCHING
I've got no idea what happened,MATCHING_PAIR,about that at all.,easy,MATCHING
You can always rely,MATCHING_PAIR,on Craig.,easy,MATCHING
beat,MATCHING_PAIR,"to defeat someone in a game, competition, election, or battle",easy,MATCHING
board game,MATCHING_PAIR,any game in which you move objects around on a special board,easy,MATCHING
captain,MATCHING_PAIR,the person who is in charge of a team or organisation,easy,MATCHING
challenge,MATCHING_PAIR,to invite someone to compete or fight,easy,MATCHING
champion,MATCHING_PAIR,"someone who has won an important competition, especially in sport",easy,MATCHING
cheat,MATCHING_PAIR,"to behave dishonestly, or to not obey rules",easy,MATCHING
classical music,MATCHING_PAIR,serious music that is played on instruments such as the piano and the violin,easy,MATCHING
club,MATCHING_PAIR,"an organisation for people who take part in a particular activity, or the building that they use",easy,MATCHING
coach,MATCHING_PAIR,someone who trains a sports player or team,easy,MATCHING
competition,MATCHING_PAIR,an organised event in which people try to win prizes by being better than other people,easy,MATCHING
concert,MATCHING_PAIR,"an event at which an orchestra, band, or musician plays or sings in front of an audience",easy,MATCHING
defeat,MATCHING_PAIR,to win against someone,easy,MATCHING
entertaining,MATCHING_PAIR,enjoyable or interesting,easy,MATCHING
folk music,MATCHING_PAIR,"traditional music from a particular country or region, or music played in a traditional style",easy,MATCHING
group,MATCHING_PAIR,a small set of musicians who play pop music,easy,MATCHING
gym,MATCHING_PAIR,a room or club with equipment for doing physical exercises,easy,MATCHING
have fun,MATCHING_PAIR,get enjoyment from an activity that is not important or serious,easy,MATCHING
interest,MATCHING_PAIR,to make someone want to know about or take part in something,easy,MATCHING
member,MATCHING_PAIR,someone who belongs to a group or an organisation: a trade union member,easy,MATCHING
opponent,MATCHING_PAIR,someone who is competing against you,easy,MATCHING
organise,MATCHING_PAIR,to prepare or arrange an activity or event,easy,MATCHING
pleasure,MATCHING_PAIR,"a feeling of happiness, enjoyment, or satisfaction",easy,MATCHING
referee,MATCHING_PAIR,someone whose job is to make sure that players in a game obey the rules,easy,MATCHING
fail,MATCHING_PAIR,to be unsuccessful in something,easy,MATCHING
guess,MATCHING_PAIR,"to say or decide what you think is true, without being certain about it",easy,MATCHING
hesitate,MATCHING_PAIR,to pause before doing something because you are nervous or not certain about it,easy,MATCHING
instruction,MATCHING_PAIR,"a statement of something that must be done, or an explanation of how to do or use something",easy,MATCHING
make progress,MATCHING_PAIR,to develop or improve,easy,MATCHING
make sure,MATCHING_PAIR,"to check something, so that you can be sure about it",easy,MATCHING
support,MATCHING_PAIR,"help that you give to a particular idea, organisation, etc",easy,MATCHING
team,MATCHING_PAIR,a group of people who play a sport or game against another group,easy,MATCHING
train,MATCHING_PAIR,to practise a sport regularly before a match or competition,easy,MATCHING
video game,MATCHING_PAIR,a game in which players use electronic controls to move images on a television or computer screen,easy,MATCHING
achieve,MATCHING_PAIR,to succeed in doing or having something,easy,MATCHING
brain,MATCHING_PAIR,"the organ inside your head that allows you to think and feel, and controls your body",easy,MATCHING
clever,MATCHING_PAIR,good at learning or understanding things,easy,MATCHING
concentrate,MATCHING_PAIR,to give all your attention to the thing that you are doing,easy,MATCHING
consider,MATCHING_PAIR,to think about something carefully before you make a decision,easy,MATCHING
course,MATCHING_PAIR,a series of lessons in an academic subject or a practical skill,easy,MATCHING
degree,MATCHING_PAIR,"a course of study at university, or the qualification that you get after completing the course",easy,MATCHING
experience,MATCHING_PAIR,knowledge and skill that you get by doing a particular job or activity,easy,MATCHING
expert,MATCHING_PAIR,someone who has a particular skill or knows a lot about a particular subject,easy,MATCHING
risk,MATCHING_PAIR,the possibility that something unpleasant or dangerous might happen,easy,MATCHING
score,MATCHING_PAIR,to get a point in a game or sport,easy,MATCHING
mark,MATCHING_PAIR,to judge the quality of a student's work and write a mark on it,easy,MATCHING
mental,MATCHING_PAIR,"existing in the mind, or relating to the mind",easy,MATCHING
pass,MATCHING_PAIR,to be successful in an examination or test,easy,MATCHING
qualification,MATCHING_PAIR,something such as a degree or a diploma that you get when you successfully finish a course of study,easy,MATCHING
remind,MATCHING_PAIR,to help someone to remember something,easy,MATCHING
report,MATCHING_PAIR,"a spoken or written description of a particular subject, situation, or event",easy,MATCHING
revise,MATCHING_PAIR,to study your notes and information again in order to prepare for an examination,easy,MATCHING
search,MATCHING_PAIR,to try to find something or someone by looking carefully,easy,MATCHING
skill,MATCHING_PAIR,"the ability to do something well, usually as a result of experience and training",easy,MATCHING
smart,MATCHING_PAIR,intelligent,easy,MATCHING
subject,MATCHING_PAIR,"something that you learn or teach at a school, for example English, mathematics, or biology",easy,MATCHING
take an exam,MATCHING_PAIR,to have an important test,easy,MATCHING
talented,MATCHING_PAIR,very good at something,easy,MATCHING
term,MATCHING_PAIR,one of the periods of time that the year is divided into for students,easy,MATCHING
wonder,MATCHING_PAIR,to think about something because you want to know more facts,easy,MATCHING
abroad,MATCHING_PAIR,in or to a foreign country,easy,MATCHING
accommodation,MATCHING_PAIR,"a place for someone to stay, live, or work in",easy,MATCHING
book,MATCHING_PAIR,to arrange to have or use something at a particular time in the future,easy,MATCHING
break,MATCHING_PAIR,a period of time when you are not working and can rest or enjoy yourself,easy,MATCHING
cancel,MATCHING_PAIR,to say that something that has been arranged will not now happen,easy,MATCHING
catch,MATCHING_PAIR,"to get on a train, bus, plane, or boat that is travelling somewhere",easy,MATCHING
convenient,MATCHING_PAIR,"easy for you to do, or suitable for your needs",easy,MATCHING
crash,MATCHING_PAIR,"if a vehicle crashes, or if someone crashes it, it hits something",easy,MATCHING
crowded,MATCHING_PAIR,containing a lot of people or things,easy,MATCHING
cruise,MATCHING_PAIR,"a journey on a ship for pleasure, often visiting a series of places",easy,MATCHING
delay,MATCHING_PAIR,to do something later than is planned or expected,easy,MATCHING
destination,MATCHING_PAIR,the place where someone or something is going,easy,MATCHING
ferry,MATCHING_PAIR,a boat that makes short regular journeys between two or more places,easy,MATCHING
flight,MATCHING_PAIR,a journey in a plane,easy,MATCHING
foreign,MATCHING_PAIR,"from another country, or in another country",easy,MATCHING
harbour,MATCHING_PAIR,an area of water next to the land where boats can stop,easy,MATCHING
journey,MATCHING_PAIR,"an occasion when you travel from one place to another, especially over a long distance",easy,MATCHING
luggage,MATCHING_PAIR,bags and suitcases that you take on a journey,easy,MATCHING
nearby,MATCHING_PAIR,a nearby place is not far away,easy,MATCHING
pack,MATCHING_PAIR,"to put your things into a bag, case, or box so that you can take or send them somewhere",easy,MATCHING
passport,MATCHING_PAIR,an official document that contains your photograph and shows which country you are a citizen of,easy,MATCHING
platform,MATCHING_PAIR,an area next to a railway track where passengers get onto and off trains,easy,MATCHING
public transport,MATCHING_PAIR,the system that is used for travelling or for moving goods from one place to another,easy,MATCHING
reach,MATCHING_PAIR,to arrive somewhere,easy,MATCHING
resort,MATCHING_PAIR,a place where people go for a holiday,easy,MATCHING
souvenir,MATCHING_PAIR,something that you buy to remind you of a place that you visited on holiday or of a special event,easy,MATCHING
traffic,MATCHING_PAIR,the vehicles that are travelling in an area at a particular time,easy,MATCHING
trip,MATCHING_PAIR,an occasion when you go somewhere and come back again,easy,MATCHING
vehicle,MATCHING_PAIR,"a machine that you travel in or on, especially one with an engine that travels on roads, for example a car, bus, etc",easy,MATCHING
apologise,MATCHING_PAIR,to tell someone that you are sorry for doing something wrong,easy,MATCHING
boyfriend,MATCHING_PAIR,a man or boy that you are having a romantic relationship with,easy,MATCHING
close,MATCHING_PAIR,connected by shared feelings such as love and respect,easy,MATCHING
confident,MATCHING_PAIR,certain about your abilities and not nervous or frightened,easy,MATCHING
cool,MATCHING_PAIR,"a cool person is one that you like or admire, or is very fashionable",easy,MATCHING
couple,MATCHING_PAIR,"two people who are married to each other, or who have a romantic relationship with each other",easy,MATCHING
decorate,MATCHING_PAIR,to put new paint or paper on the walls of a room,easy,MATCHING
defend,MATCHING_PAIR,to say things to support someone or something,easy,MATCHING
divorced,MATCHING_PAIR,no longer married because your marriage has been legally ended,easy,MATCHING
flat,MATCHING_PAIR,"a set of rooms for living in, usually on one floor of a large building",easy,MATCHING
generous,MATCHING_PAIR,giving people more of your time or money than is usual or expected,easy,MATCHING
girlfriend,MATCHING_PAIR,a girl or woman that you are having a romantic relationship with,easy,MATCHING
grateful,MATCHING_PAIR,the feeling that you want to thank someone because they have given you something or done something for you,easy,MATCHING
guest,MATCHING_PAIR,someone that you have invited to your home or your party,easy,MATCHING
independent,MATCHING_PAIR,not depending on other people,easy,MATCHING
introduce,MATCHING_PAIR,to tell someone another person's name when they meet for the first time,easy,MATCHING
loving,MATCHING_PAIR,feeling or showing love,easy,MATCHING
loyal,MATCHING_PAIR,"someone who is loyal continues to support a person or organisation, or idea in difficult",easy,MATCHING
mood,MATCHING_PAIR,"the way that someone is feeling, or the way that a group of people is feeling at a particular time",easy,MATCHING
neighbourhood,MATCHING_PAIR,a particular area of a town,easy,MATCHING
ordinary,MATCHING_PAIR,"normal or average, and not unusual or special",easy,MATCHING
patient,MATCHING_PAIR,someone who is patient is able to wait for a long time or deal with a difficult situation without becoming angry or upset,easy,MATCHING
private,MATCHING_PAIR,a private person does not talk to other people about their personal life or feelings,easy,MATCHING
recognise,MATCHING_PAIR,"to know someone or something because you have seen, heard, or met them before",easy,MATCHING
relation,MATCHING_PAIR,a member of your family,easy,MATCHING
rent,MATCHING_PAIR,"to pay money regularly to use a house, room, office, etc that belongs to someone else",easy,MATCHING
respect,MATCHING_PAIR,to treat someone in a way that shows that you think they are important and should be admired,easy,MATCHING
single,MATCHING_PAIR,"not married, or not in a romantic relationship or divorced.",easy,MATCHING
stranger,MATCHING_PAIR,someone who you do not know stranger.,easy,MATCHING
trust,MATCHING_PAIR,"to believe that someone or something is good, honest, or reliable",easy,MATCHING
advertisement,MATCHING_PAIR,"an announcement in a newspaper, on television, on the Internet, etc that is designed to persuade people to buy a product or service, go to an event, or apply for a job",easy,MATCHING
afford,MATCHING_PAIR,to have enough money to pay for something,easy,MATCHING
bargain,MATCHING_PAIR,something you buy that costs much less than normal,easy,MATCHING
brand,MATCHING_PAIR,a product or group of products that has its own name and is made by one particular company,easy,MATCHING
catalogue,MATCHING_PAIR,a book that contains pictures of things that you can buy,easy,MATCHING
change,MATCHING_PAIR,coins rather than notes,easy,MATCHING
coin,MATCHING_PAIR,a flat round piece of metal used as money,easy,MATCHING
cost,MATCHING_PAIR,"if something costs an amount of money, you need that amount to pay for it or to do it",easy,MATCHING
customer,MATCHING_PAIR,a person or company that buys goods or services,easy,MATCHING
debt,MATCHING_PAIR,an amount of money that you owe,easy,MATCHING
demand,MATCHING_PAIR,to say strongly that you want something,easy,MATCHING
export,MATCHING_PAIR,to send a product to another country so that it can be sold there,easy,MATCHING
fee,MATCHING_PAIR,money that you pay to a professional person or institution for their work,easy,MATCHING
fortune,MATCHING_PAIR,a large amount of money,easy,MATCHING
import,MATCHING_PAIR,to buy a product from another country and bring it to your country,easy,MATCHING
invest,MATCHING_PAIR,to use your money with the aim of making a profit from it,easy,MATCHING
obtain,MATCHING_PAIR,to get something that you want or need,easy,MATCHING
owe,MATCHING_PAIR,to have to give someone a particular amount of money because you have bought something from them or have borrowed money from them,easy,MATCHING
own,MATCHING_PAIR,"to legally have something, especially because you have bought it",easy,MATCHING
profit,MATCHING_PAIR,money that you get when you sell something for a price that is higher than the cost of making it or buying it,easy,MATCHING
property,MATCHING_PAIR,the things that you own,easy,MATCHING
purchase,MATCHING_PAIR,to buy something,easy,MATCHING
receipt,MATCHING_PAIR,a document that you get from someone showing that you have given them money or goods,easy,MATCHING
require,MATCHING_PAIR,to need someone or something,easy,MATCHING
