word,definition,distractors,difficulty
cake,bánh ngọt,interested|great|hotel,easy
call,gọi,bread|new|become,easy
camera,máy ảnh,hundred|CD|hi,easy
can,Có thể,cut|house|cake,easy
cannot,không thể,go|breakfast|also,easy
capital,thủ đô,any|business|note,easy
car,xe hơi,midnight|mile|ever,easy
card,thẻ,choose|face|flower,easy
career,sự nghiệp,passport|market|list,easy
carrot,cà rốt,correct|late|improve,easy
carry,mang,money|dirty|cold,easy
cat,con mèo,actress|beginning|compare,easy
CD,đĩa CD,afraid|nineteen|here,easy
cent,phần trăm,black|email|interview,easy
centre,trung tâm,grandmother|final|hope,easy
century,thế kỷ,plant|group|man,easy
chair,ghế,eat|fruit|next,easy
change,thay đổi,hospital|decide|front,easy
chart,biểu đồ,artist|day|paper,easy
cheap,rẻ,game|buy|August,easy
check,kiểm tra,name|flight|interesting,easy
cheese,phô mai,full|play|glass,easy
chicken,thịt gà,neighbour|during|cafe,easy
child,đứa trẻ,great|chocolate|everything,easy
chocolate,sôcôla,cousin|page|first det,easy
choose,chọn,chair|late|jeans,easy
cinema,rạp chiếu phim,dialogue|black|behind,easy
city,thành phố,breakfast|look|hair,easy
class,lớp học,difficult|near prep|farm,easy
classroom,lớp học,dish|across|feel,easy
clean,lau dọn,me|culture|before,easy
climb,leo,music|ear|mountain,easy
clock,cái đồng hồ,enough det|drive|during,easy
close,đóng,money|hello|order,easy
clothes,quần áo,June|lion|blue,easy
club,câu lạc bộ,bored|bedroom|by,easy
coat,áo choàng,full|before|bed,easy
coffee,cà phê,lion|once|chart,easy
cold,lạnh lẽo,dancing|information|game,easy
college,trường cao đẳng,much det|carry|happy,easy
colour,màu sắc,forty|cooking|drink,easy
come,đến,him|list|lesson,easy
common,chung,actress|however|nose,easy
company,công ty,dark|imagine|page,easy
compare,so sánh,description|carry|juice,easy
complete,hoàn thành,better|bad|hundred,easy
computer,máy tính,no|in|explain,easy
concert,buổi hòa nhạc,hard|camera|die,easy
conversation,cuộc hội thoại,or|answer|capital,easy
cook,đầu bếp,leg|girl|drive,easy
cooking,nấu ăn,area|past adj|July,easy
cool,mát mẻ,pay|culture|order,easy
correct,Chính xác,near prep|end|lot pron,easy
cost,trị giá,internet|office|clean,easy
could,có thể,now|jacket|October,easy
country,quốc gia,downstairs|DVD|enough det,easy
course,khóa học,as|neighbour|I,easy
cousin,anh em họ,college|green|interest,easy
cow,con bò,Monday|again|party,easy
cream,kem,me|November|painting,easy
create,tạo nên,half n|nice|discuss,easy
culture,văn hoá,girlfriend|game|help,easy
cup,tách,clothes|also|nine,easy
customer,khách hàng,museum|big|break,easy
cut,cắt,pair|feel|elephant,easy
dad,bố,lunch|pencil|machine,easy
dance,nhảy,clock|morning|minute,easy
dancer,vũ công,describe|play|open,easy
dancing,nhảy múa,meat|artist|become,easy
dangerous,nguy hiểm,family|introduce|event,easy
dark,tối tăm,become|across|be v,easy
date,ngày,future|half n|news,easy
daughter,con gái,arrive|nose|dangerous,easy
day,ngày,home|hard|fifth,easy
dear,Thân mến,angry|once|I,easy
December,Tháng 12,hungry|common|before,easy
decide,quyết định,mistake|my|far,easy
delicious,thơm ngon,chocolate|often|design,easy
describe,mô tả,building|maybe|beach,easy
description,Sự miêu tả,before|night|into,easy
design,thiết kế,correct|healthy|off,easy
desk,bàn làm việc,hour|any|Monday,easy
detail,chi tiết,head|hate|cafe,easy
dialogue,đối thoại,actress|juice|arm,easy
dictionary,từ điển,modern|play|cousin,easy
die,chết,away|last|her,easy
diet,ăn kiêng,April|cinema|ever,easy
difference,sự khác biệt,guess|million|any,easy
different,khác biệt,member|fifty|boot,easy
difficult,khó,close|glass|learn,easy
dinner,bữa tối,fire|flight|camera,easy
dirty,bẩn thỉu,half n|cost|full,easy
discuss,bàn luận,farmer|have to|box,easy
dish,món ăn,order|mum|object,easy
do1 v,do1 v,dark|other|exercise,easy
doctor,bác sĩ,five|at|if,easy
dog,chó,college|forty|about,easy
dollar,đô la,grey|girlfriend|between,easy
door,cửa,better|juice|fly,easy
down,xuống,hundred|fast|cheese,easy
downstairs,tầng dưới,coat|party|partner,easy
draw,vẽ tranh,big|away|four,easy
dress,đầm,million|cool|eighteen,easy
drink,uống,its|close|order,easy
drive,lái xe,fruit|beautiful|happy,easy
driver,tài xế,flat|pink|body,easy
during,trong lúc,high|picture|another,easy
DVD,DVD,difficult|I|hungry,easy
each det,mỗi chi tiết,interesting|March|October,easy
ear,tai,coat|hi|activity,easy
early,sớm,artist|hundred|boy,easy
east n,phía đông bắc,college|bottle|outside,easy
easy,dễ,animal|message|no,easy
eat,ăn,correct|film|friendly,easy
egg,trứng,pen|email|nineteen,easy
eight,tám,bath|jacket|group,easy
eighteen,mười tám,night|but|bird,easy
eighty,tám mươi,buy|nurse|family,easy
elephant,con voi,news|February|ago,easy
eleven,mười một,dictionary|area|October,easy
else,khác,music|local|page,easy
email,e-mail,centre|bed|adult,easy
end,kết thúc,group|local|eighty,easy
enjoy,thưởng thức,century|hey|bad,easy
enough det,đủ chi tiết,husband|however|else,easy
euro,euro,please|build|opposite,easy
even,thậm chí,full|hospital|actor,easy
evening,buổi tối,no|flat|menu,easy
event,sự kiện,boot|fly|negative,easy
ever,bao giờ,plane|describe|he,easy
every,mọi,open|cold|maybe,easy
everybody,mọi người,exam|discuss|cut,easy
everyone,mọi người,change|October|juice,easy
everything,mọi thứ,conversation|cent|bed,easy
exam,bài thi,final|customer|ice,easy
example,ví dụ,drink|building|period,easy
excited,hào hứng,green|listen|fill,easy
exciting,thú vị,coat|cat|horse,easy
exercise,bài tập,compare|guitar|mouth,easy
expensive,đắt,much det|age|lose,easy
explain,giải thích,player|married|bathroom,easy
extra,thêm,bed|hungry|forty,easy
eye,mắt,"museum|a, an|if",easy
face,khuôn mặt,island|geography|interested,easy
fact,sự thật,join|parent|compare,easy
fall,ngã,cooking|high|ninety,easy
FALSE,SAI,clean|boy|mistake,easy
family,gia đình,live|important|machine,easy
famous,nổi tiếng,face|clock|ever,easy
fantastic,tuyệt vời,period|doctor|grow,easy
far,xa,modern|capital|customer,easy
farm,nông trại,off|million|ago,easy
farmer,nông dân,dialogue|keep|boring,easy
fast,nhanh,page|model|anything,easy
fat,mập,page|laugh|meaning,easy
father,bố,north|climb|have,easy
favourite,yêu thích,else|future|near prep,easy
February,Tháng hai,homework|climb|back,easy
feel,cảm thấy,be v|him|bored,easy
feeling,cảm giác,plant|bed|bring,easy
festival,lễ hội,find|May|o'clock,easy
few det,một vài chi tiết,dictionary|money|box,easy
fifteen,mười lăm,fill|action|outside,easy
fifth,thứ năm,black|make|let,easy
fifty,năm mươi,classroom|hour|leg,easy
fill,đổ đầy,before|next|letter,easy
film,phim ảnh,married|cheese|plane,easy
final,cuối cùng,garden|online|grandfather,easy
find,tìm thấy,over|blog|enough det,easy
fine,khỏe,grow|library|natural,easy
finish,hoàn thành,hour|final|be v,easy
fire,ngọn lửa,art|behind|model,easy
first det,đầu tiên,Friday|glass|meet,easy
fish,cá,important|other|off,easy
five,năm,century|most det|everybody,easy
flat,phẳng,bath|moment|meat,easy
flight,chuyến bay,every|page|flat,easy
floor,sàn nhà,outside|first det|bicycle,easy
flower,hoa,neighbour|however|people,easy
fly,bay,man|extra|kind,easy
follow,theo,hard|June|common,easy
food,đồ ăn,order|picture|married,easy
foot,chân,die|later|fact,easy
football,bóng đá,our|every|green,easy
for,vì,dark|back|climb,easy
forget,quên,chicken|photograph|grandmother,easy
form,hình thức,healthy|bad|fifteen,easy
forty,bốn mươi,arm|improve|job,easy
four,bốn,easy|again|angry,easy
fourteen,mười bốn,even|chart|nose,easy
fourth,thứ tư,believe|farm|add,easy
free,miễn phí,Monday|camera|health,easy
Friday,Thứ sáu,everybody|airport|cheap,easy
friend,bạn bè,draw|milk|cup,easy
friendly,thân thiện,bring|beautiful|bed,easy
from,từ,meet|elephant|clock,easy
front,đằng trước,fourth|ago|father,easy
fruit,hoa quả,afraid|dialogue|camera,easy
full,đầy,page|down|hope,easy
fun,vui vẻ,brother|his|laugh,easy
funny,buồn cười,cut|excited|desk,easy
future,tương lai,one number|at|angry,easy
game,trò chơi,left adj|nose|dish,easy
garden,vườn,hungry|cousin|grandparent,easy
geography,địa lý,listen|home|bring,easy
get,lấy,pay|friend|mum,easy
girl,con gái,never|open|brother,easy
girlfriend,bạn gái,bus|perfect|forget,easy
give,đưa cho,age|let|culture,easy
glass,thủy tinh,o'clock|cold|dirty,easy
go,đi,chair|dialogue|chart,easy
good,Tốt,buy|April|pay,easy
goodbye,tạm biệt,art|my|behind,easy
grandfather,ông nội,guitar|model|kilometre,easy
grandmother,bà,enjoy|feeling|hate,easy
grandparent,ông bà,OK exclam|now|culture,easy
great,Tuyệt,guitar|future|hi,easy
green,màu xanh lá,better|chocolate|arrive,easy
grey,xám,fast|baby|bored,easy
group,nhóm,common|photograph|front,easy
grow,phát triển,afraid|fifty|ear,easy
guess,đoán,desk|country|month,easy
guitar,đàn guitar,last|next|blue,easy
gym,phòng tập thể dục,pink|face|behind,easy
hair,tóc,farm|married|no,easy
half n,một nửa n,feel|football|expensive,easy
hand,tay,many|money|hour,easy
happen,xảy ra,here|line|carry,easy
happy,vui mừng,match|exercise|neighbour,easy
hard,cứng,girl|day|line,easy
hat,mũ,cool|introduce|coat,easy
hate,ghét,newspaper|include|player,easy
have,có,one number|dictionary|capital,easy
have to,phải,email|hobby|jacket,easy
he,Anh ta,modern|happen|also,easy
head,cái đầu,downstairs|move|foot,easy
health,sức khỏe,and|painting|mouth,easy
healthy,khỏe mạnh,classroom|dress|brown,easy
hear,nghe,article|dancing|introduce,easy
hello,Xin chào,foot|paint|five,easy
help,giúp đỡ,doctor|foot|live,easy
her,cô ấy,mouse|desk|boring,easy
here,đây,funny|exercise|hey,easy
hey,Chào,art|dancing|cost,easy
hi,CHÀO,example|cost|follow,easy
high,cao,in|eighty|culture,easy
him,anh ta,online|drive|end,easy
his,của anh ấy,moment|machine|dress,easy
history,lịch sử,country|paragraph|bill,easy
hobby,sở thích,miss|final|come,easy
holiday,ngày lễ,pepper|orange|married,easy
home,trang chủ,player|cup|cent,easy
homework,bài tập về nhà,bank|ice|land,easy
hope,mong,on|both|left adj,easy
horse,ngựa,paint|dancing|lesson,easy
hospital,bệnh viện,natural|cut|busy,easy
hot,nóng,miss|June|come,easy
hotel,khách sạn,conversation|ice|band,easy
hour,giờ,blue|desk|much det,easy
house,căn nhà,mother|at|action,easy
how,Làm sao,centre|free|coat,easy
however,Tuy nhiên,dish|expensive|eye,easy
hundred,trăm,pair|mother|life,easy
hungry,đói bụng,forty|agree|piano,easy
husband,chồng,please|change|meaning,easy
I,TÔI,pencil|key|goodbye,easy
ice,đá,box|be v|opinion,easy
ice,đá,different|nothing|money,easy
idea,ý tưởng,happen|natural|July,easy
if,nếu như,coffee|in|mean,easy
imagine,tưởng tượng,I|dancing|future,easy
important,quan trọng,after|can|cafe,easy
improve,cải thiện,card|important|discuss,easy
in,TRONG,address|bath|boyfriend,easy
include,bao gồm,break|finish|part,easy
information,thông tin,married|out|leg,easy
interest,quan tâm,guitar|fire|after,easy
interested,thú vị,article|fourteen|for,easy
interesting,hấp dẫn,hey|ever|front,easy
internet,internet,November|homework|he,easy
interview,phỏng vấn,cinema|kitchen|during,easy
into,vào trong,blue|exam|forget,easy
introduce,giới thiệu,favourite|kilometre|hello,easy
island,hòn đảo,let|much det|kind,easy
it,Nó,class|pencil|million,easy
its,của nó,next|moment|away,easy
jacket,áo khoác,maybe|each det|become,easy
January,Tháng Một,hundred|I|fire,easy
jeans,quần jean,dance|give|card,easy
job,công việc,driver|actor|interested,easy
join,tham gia,agree|carry|keep,easy
journey,hành trình,most det|drink|expensive,easy
juice,nước ép,"exercise|desk|a, an",easy
July,Tháng bảy,dinner|create|miss,easy
June,Tháng sáu,join|coat|bus,easy
just,chỉ,black|day|blog,easy
keep,giữ,leave|book|music,easy
key,chìa khóa,life|member|lot pron,easy
kilometre,ki-lô-mét,morning|begin|have,easy
kind,loại,ever|blog|fast,easy
kitchen,phòng bếp,cousin|live|black,easy
know,biết,cousin|lunch|afraid,easy
land,đất,photo|century|class,easy
language,ngôn ngữ,learn|discuss|beer,easy
large,lớn,other|out|modern,easy
last,cuối cùng,live|bank|always,easy
late,muộn,kind|ago|important,easy
later,sau đó,front|hot|improve,easy
laugh,cười,happen|pair|journey,easy
learn,học hỏi,orange|magazine|dark,easy
leave,rời khỏi,cut|another|nine,easy
left adj,tính từ trái,cinema|enjoy|list,easy
leg,chân,dialogue|bored|card,easy
lesson,bài học,garden|over|complete,easy
let,cho phép,building|easy|he,easy
letter,thư,off|dog|member,easy
library,thư viện,future|capital|natural,easy
lie,nói dối,July|everyone|opposite,easy
life,mạng sống,beginning|eat|cheap,easy
light,ánh sáng,believe|girlfriend|June,easy
like,giống,late|mother|dog,easy
line,đường kẻ,photo|May|piece,easy
lion,con sư tử,nurse|hobby|flower,easy
list,danh sách,cannot|midnight|bank,easy
listen,Nghe,concert|away|different,easy
little,nhỏ bé,June|next|old,easy
live,sống,laugh|check|one number,easy
local,địa phương,green|famous|little,easy
long,dài,geography|born|drink,easy
look,Nhìn,music|hair|forty,easy
lose,thua,egg|funny|brown,easy
lot pron,nhiều pron,museum|boot|foot,easy
love,yêu,in|from|grow,easy
lunch,bữa trưa,goodbye|ball|draw,easy
machine,máy móc,Friday|buy|actress,easy
magazine,tạp chí,famous|just|morning,easy
main,chủ yếu,information|find|nurse,easy
make,làm,again|area|exciting,easy
man,người đàn ông,pair|fill|market,easy
many,nhiều,"feeling|job|a, an",easy
map,bản đồ,piece|much det|hospital,easy
March,Bước đều,angry|bag|horse,easy
market,chợ,back|bathroom|hospital,easy
married,đã cưới,cheap|famous|June,easy
match,cuộc thi đấu,far|job|about,easy
May,Có thể,fun|box|airport,easy
maybe,Có lẽ,fantastic|north|dancer,easy
me,Tôi,December|dark|blonde,easy
meal,bữa ăn,play|above|future,easy
mean,nghĩa là,fat|can|I,easy
meaning,nghĩa,begin|dad|next,easy
meat,thịt,keep|large|anything,easy
meet,gặp,face|job|free,easy
meeting,cuộc họp,dancer|and|nothing,easy
member,thành viên,part|anyone|hard,easy
menu,thực đơn,ear|follow|floor,easy
message,tin nhắn,egg|it|important,easy
metre,mét,email|dictionary|colour,easy
midnight,nửa đêm,carry|island|I,easy
mile,dặm,pig|must|married,easy
milk,sữa,hey|hat|final,easy
million,triệu,from|May|also,easy
minute,phút,interested|elephant|hat,easy
miss,cô,like|delicious|exam,easy
mistake,sai lầm,person|form|make,easy
model,người mẫu,away|pig|away,easy
modern,hiện đại,opposite|daughter|bus,easy
moment,chốc lát,fourth|find|mouse,easy
Monday,Thứ hai,plane|final|boy,easy
money,tiền bạc,January|movie|o'clock,easy
month,tháng,"a, an|eighty|enough det",easy
more det,chi tiết hơn,can|funny|horse,easy
morning,buổi sáng,CD|great|pencil,easy
most det,hầu hết chi tiết,dance|company|class,easy
mother,mẹ,colour|half n|long,easy
mountain,núi,finish|personal|jacket,easy
mouse,chuột,passport|like|doctor,easy
mouth,miệng,detail|common|near prep,easy
move,di chuyển,conversation|fifteen|mile,easy
movie,bộ phim,forget|call|many,easy
much det,nhiều chi tiết,bath|keep|carry,easy
mum,mẹ,interested|grandfather|midnight,easy
museum,bảo tàng,farm|bread|lion,easy
music,âm nhạc,actor|ago|culture,easy
must,phải,hospital|CD|home,easy
my,Của tôi,hungry|lion|nice,easy
name,tên,all|climb|exciting,easy
natural,tự nhiên,butter|close|here,easy
near prep,gần khu chuẩn bị,bad|interest|late,easy
need,nhu cầu,before|outside|month,easy
negative,tiêu cực,imagine|fifteen|clock,easy
neighbour,hàng xóm,believe|main|dark,easy
never,không bao giờ,even|coat|paint,easy
new,mới,because|nobody|parent,easy
news,tin tức,agree|explain|laugh,easy
newspaper,báo,all|body|choose,easy
next,Kế tiếp,baby|any|door,easy
next,Kế tiếp,however|diet|meat,easy
nice,Đẹp,cream|complete|hot,easy
night,đêm,passport|leg|begin,easy
nine,chín,guitar|mountain|large,easy
nineteen,mười chín,homework|festival|address,easy
ninety,chín mươi,another|onion|home,easy
no,KHÔNG,grey|lunch|glass,easy
nobody,không ai,elephant|choose|never,easy
north,phía bắc,grey|into|large,easy
nose,mũi,island|exercise|million,easy
not,không,autumn|draw|party,easy
note,ghi chú,cool|left adj|and,easy
nothing,Không có gì,famous|clean|high,easy
November,Tháng mười một,draw|better|beer,easy
now,Hiện nay,nineteen|chart|body,easy
number,con số,bad|even|euro,easy
nurse,y tá,cinema|holiday|artist,easy
object,sự vật,grey|CD|front,easy
o'clock,giờ,dear|name|hospital,easy
October,Tháng Mười,customer|however|describe,easy
of,của,period|June|page,easy
off,tắt,FALSE|boot|here,easy
office,văn phòng,opinion|great|fine,easy
often,thường,culture|carry|machine,easy
oh,Ồ,into|nurse|concert,easy
OK exclam,OK dấu chấm than,conversation|future|art,easy
old,cũ,date|bird|old,easy
on,TRÊN,doctor|old|art,easy
once,một lần,also|pair|draw,easy
one number,một số,east n|I|cinema,easy
onion,củ hành,model|bottle|boyfriend,easy
online,trực tuyến,get|cake|list,easy
only,chỉ một,else|bored|his,easy
open,mở,cost|gym|hour,easy
opinion,ý kiến,learn|late|lie,easy
opposite,đối diện,four|best|birthday,easy
or,hoặc,birthday|night|family,easy
orange,quả cam,leave|dog|first det,easy
order,đặt hàng,home|healthy|building,easy
other,khác,create|next|cheese,easy
our,của chúng tôi,people|concert|leg,easy
out,ngoài,little|best|beginning,easy
outside,ngoài,daughter|page|boy,easy
over,qua,apple|much det|laugh,easy
own,sở hữu,outside|do1 v|laugh,easy
page,trang,back|card|little,easy
paint,sơn,concert|desk|end,easy
painting,bức vẽ,news|member|activity,easy
pair,đôi,cat|phone|hungry,easy
paper,giấy,newspaper|about |DVD,easy
paragraph,đoạn văn,period|fourteen|onion,easy
parent,cha mẹ,internet|chocolate|become,easy
park,công viên,plan|fast|pen,easy
part,phần,hi|born|design,easy
partner,cộng sự,money|desk|best,easy
party,buổi tiệc,bill|feel|partner,easy
passport,hộ chiếu,perfect|dance|hot,easy
past adj,quá khứ tính từ,lesson|important|music,easy
pay,chi trả,moment|move|busy,easy
pen,cái bút,bed|man|photo,easy
pencil,bút chì,number|aunt|feeling,easy
people,mọi người,at|of|dress,easy
pepper,hạt tiêu,best|bedroom|band,easy
perfect,hoàn hảo,difference|chart|culture,easy
period,Giai đoạn,lose|food|modern,easy
person,người,customer|description|past adj,easy
personal,riêng tư,do1 v|more det|driver,easy
phone,điện thoại,butter|cooking|never,easy
photo,ảnh,our|machine|dollar,easy
photograph,ảnh chụp,negative|article|foot,easy
phrase,cụm từ,now|all|menu,easy
piano,đàn piano,as|could|mum,easy
picture,hình ảnh,island|across|floor,easy
piece,cái,life|improve|bring,easy
pig,con lợn,near prep|anything|painting,easy
pink,hồng,classroom|bottle|hard,easy
place,địa điểm,once|animal|difficult,easy
plan,kế hoạch,object|box|head,easy
plane,máy bay,painting|horse|elephant,easy
plant,thực vật,from|better|FALSE,easy
play,chơi,can|course|everybody,easy
player,người chơi,drink|green|Friday,easy
please,Xin vui lòng,cafe|check|laugh,easy
point,điểm,information|eighty|husband,easy
police,cảnh sát,other|bedroom|band,easy
policeman,cảnh sát,come|amazing|blonde,easy
pool,hồ bơi,always|I|evening,easy
poor,nghèo,modern|number|pen,easy
popular,phổ biến,Monday|internet|pig,easy
positive,tích cực,important|grey|around,easy
possible,khả thi,another|many|capital,easy
post,bưu kiện,feel|join|party,easy
potato,khoai tây,kilometre|band|explain,easy
pound,pao,in|guitar|object,easy
practice,luyện tập,always|dinner|hat,easy
practise,luyện tập,moment|at|compare,easy
prefer,thích hơn,autumn|nice|bad,easy
prepare,chuẩn bị,activity|part|menu,easy
present,hiện tại,arm|downstairs|fifth,easy
pretty,đẹp,home|hobby|nineteen,easy
price,giá,our|nurse|photograph,easy
probably,có lẽ,car|of|choose,easy
problem,vấn đề,bill|nice|parent,easy
product,sản phẩm,change|parent|pencil,easy
programme,chương trình,cat|onion|exercise,easy
project,dự án,personal|large|foot,easy
purple,màu tím,choose|house|ball,easy
put,đặt,opinion|eat|menu,easy
quarter,một phần tư,happy|flight|it,easy
question,câu hỏi,day|friendly|father,easy
quick,nhanh,beginning|arm|glass,easy
quickly,nhanh,fast|jacket|band,easy
quiet,im lặng,dear|grandparent|any,easy
quite,khá,grandparent|box|free,easy
radio,radio,health|book|dish,easy
rain,cơn mưa,dangerous|move|ice,easy
read,đọc,library|everything|come,easy
reader,người đọc,baby|passport|bottle,easy
reading,đọc,foot|mother|geography,easy
ready,sẵn sàng,mistake|believe|back,easy
real,thực tế,meat|late|near prep,easy
really,Thực ra,begin|bird|point,easy
reason,lý do,chicken|city|feel,easy
red,màu đỏ,move|paint|jeans,easy
relax,thư giãn,place|body|five,easy
remember,nhớ,about |land|ask,easy
repeat,lặp lại,month|bread|enjoy,easy
report,báo cáo,could|order|end,easy
restaurant,nhà hàng,message|dance|next,easy
result,kết quả,fine|let|lunch,easy
return,trở lại,complete|month|different,easy
rice,cơm,euro|country|interesting,easy
rich,giàu có,clean|fish|name,easy
ride,lái,about |listen|class,easy
right adj,tính từ phải,more det|by|exciting,easy
river,dòng sông,join|eleven|discuss,easy
road,đường,online|dear|January,easy
room,phòng,natural|buy|course,easy
routine,lịch trình,nobody|butter|pepper,easy
rule,luật lệ,learn|not|begin,easy
run,chạy,eight|chart|happy,easy
sad,buồn,guess|and|hot,easy
salad,xa lát,food|bag|date,easy
salt,muối,hotel|family|activity,easy
same adj,cùng tính từ,box|drive|garden,easy
sandwich,sandwich,blue|egg|both,easy
Saturday,Thứ bảy,note|ask|give,easy
say,nói,age|free|hospital,easy
school,trường học,area|local|lesson,easy
science,khoa học,dancer|people|only,easy
scientist,nhà khoa học,often|maybe|boat,easy
sea,biển,down|film|far,easy
section,phần,never|lie|next,easy
see,nhìn thấy,door|hour|next,easy
sell,bán,important|light|draw,easy
send,gửi,finish|our|hungry,easy
sentence,câu,drink|bath|pepper,easy
September,Tháng 9,meeting|nose|neighbour,easy
seven,bảy,it|come|mum,easy
seventeen,mười bảy,cut|museum|I,easy
seventy,bảy mươi,meat|March|aunt,easy
share,chia sẻ,detail|compare|month,easy
she,cô ấy,interested|hat|moment,easy
sheep,con cừu,October|better|head,easy
shirt,áo sơ mi,afraid|below|nothing,easy
shoe,giày,key|May|hot,easy
shop,cửa hàng,hand|March|paper,easy
shopping,mua sắm,nobody|grow|boot,easy
short,ngắn,difficult|more det|hobby,easy
should,nên,clean|lot pron|bottle,easy
show,trình diễn,opinion|boat|daughter,easy
shower,vòi sen,last|food|late,easy
sick,đau ốm,ear|night|few det,easy
similar,tương tự,land|can|personal,easy
sing,hát,fish|forget|discuss,easy
singer,ca sĩ,nice|bus|even,easy
sister,em gái,market|chocolate|discuss,easy
sit,ngồi,bird|hot|beautiful,easy
situation,tình huống,he|make|player,easy
six,sáu,few det|boy|discuss,easy
sixteen,mười sáu,father|egg|over,easy
sixty,sáu mươi,if|phone|geography,easy
skill,kỹ năng,interest|downstairs|need,easy
