sentence_left,sentence_right,difficulty
"guess","to say or decide what you think is true, without being certain about it",easy
"hesitate","to pause before doing something because you are nervous or not certain about it",easy
"instruction","a statement of something that must be done, or an explanation of how to do or use something",easy
"make progress","to develop or improve",easy
"make sure","to check something, so that you can be sure about it",easy
"support","help that you give to a particular idea, organisation, etc",easy
"team","a group of people who play a sport or game against another group",easy
"train","to practise a sport regularly before a match or competition",easy
"video game","a game in which players use electronic controls to move images on a television or computer screen",easy
"achieve","to succeed in doing or having something",easy
"brain","the organ inside your head that allows you to think and feel, and controls your body",easy
"clever","good at learning or understanding things",easy
"concentrate","to give all your attention to the thing that you are doing",easy
"consider","to think about something carefully before you make a decision",easy
"course","a series of lessons in an academic subject or a practical skill",easy
"degree","a course of study at university, or the qualification that you get after completing the course",easy
"experience","knowledge and skill that you get by doing a particular job or activity",easy
"expert","someone who has a particular skill or knows a lot about a particular subject",easy
"risk","the possibility that something unpleasant or dangerous might happen",easy
"score","to get a point in a game or sport",easy
"mark","to judge the quality of a student's work and write a mark on it",easy
"mental","existing in the mind, or relating to the mind",easy
"pass","to be successful in an examination or test",easy
"qualification","something such as a degree or a diploma that you get when you successfully finish a course of study",easy
"remind","to help someone to remember something",easy
"report","a spoken or written description of a particular subject, situation, or event",easy
"revise","to study your notes and information again in order to prepare for an examination",easy
"search","to try to find something or someone by looking carefully",easy
"skill","the ability to do something well, usually as a result of experience and training",easy
"smart","intelligent",easy
"subject","something that you learn or teach at a school, for example English, mathematics, or biology",easy
"take an exam","to have an important test",easy
"talented","very good at something",easy
"term","one of the periods of time that the year is divided into for students",easy
"wonder","to think about something because you want to know more facts",easy
"abroad","in or to a foreign country",easy
"accommodation","a place for someone to stay, live, or work in",easy
"book","to arrange to have or use something at a particular time in the future",easy
"break","a period of time when you are not working and can rest or enjoy yourself",easy
"cancel","to say that something that has been arranged will not now happen",easy
"catch","to get on a train, bus, plane, or boat that is travelling somewhere",easy
"convenient","easy for you to do, or suitable for your needs",easy
"crash","if a vehicle crashes, or if someone crashes it, it hits something",easy
"crowded","containing a lot of people or things",easy
"cruise","a journey on a ship for pleasure, often visiting a series of places",easy
"delay","to do something later than is planned or expected",easy
"destination","the place where someone or something is going",easy
"ferry","a boat that makes short regular journeys between two or more places",easy
"flight","a journey in a plane",easy
"foreign","from another country, or in another country",easy
"harbour","an area of water next to the land where boats can stop",easy
"journey","an occasion when you travel from one place to another, especially over a long distance",easy
"luggage","bags and suitcases that you take on a journey",easy
"nearby","a nearby place is not far away",easy
"pack","to put your things into a bag, case, or box so that you can take or send them somewhere",easy
"passport","an official document that contains your photograph and shows which country you are a citizen of",easy
"platform","an area next to a railway track where passengers get onto and off trains",easy
"public transport","the system that is used for travelling or for moving goods from one place to another",easy
"reach","to arrive somewhere",easy
"resort","a place where people go for a holiday",easy
"souvenir","something that you buy to remind you of a place that you visited on holiday or of a special event",easy
"traffic","the vehicles that are travelling in an area at a particular time",easy
"trip","an occasion when you go somewhere and come back again",easy
"vehicle","a machine that you travel in or on, especially one with an engine that travels on roads, for example a car, bus, etc",easy
"apologise","to tell someone that you are sorry for doing something wrong",easy
"boyfriend","a man or boy that you are having a romantic relationship with",easy
"close","connected by shared feelings such as love and respect",easy
"confident","certain about your abilities and not nervous or frightened",easy
"cool","a cool person is one that you like or admire, or is very fashionable",easy
"couple","two people who are married to each other, or who have a romantic relationship with each other",easy
"decorate","to put new paint or paper on the walls of a room",easy
"defend","to say things to support someone or something",easy
"divorced","no longer married because your marriage has been legally ended",easy
"flat","a set of rooms for living in, usually on one floor of a large building",easy
"generous","giving people more of your time or money than is usual or expected",easy
"girlfriend","a girl or woman that you are having a romantic relationship with",easy
"grateful","the feeling that you want to thank someone because they have given you something or done something for you",easy
"guest","someone that you have invited to your home or your party",easy
"independent","not depending on other people",easy
"introduce","to tell someone another person's name when they meet for the first time",easy
"loving","feeling or showing love",easy
"loyal","someone who is loyal continues to support a person or organisation, or idea in difficult",easy
"mood","the way that someone is feeling, or the way that a group of people is feeling at a particular time",easy
"neighbourhood","a particular area of a town",easy
"ordinary","normal or average, and not unusual or special",easy
"patient","someone who is patient is able to wait for a long time or deal with a difficult situation without becoming angry or upset",easy
"private","a private person does not talk to other people about their personal life or feelings",easy
"recognise","to know someone or something because you have seen, heard, or met them before",easy
"relation","a member of your family",easy
"rent","to pay money regularly to use a house, room, office, etc that belongs to someone else",easy
"respect","to treat someone in a way that shows that you think they are important and should be admired",easy
"single","not married, or not in a romantic relationship or divorced.",easy
"stranger","someone who you do not know stranger.",easy
"trust","to believe that someone or something is good, honest, or reliable",easy
"advertisement","an announcement in a newspaper, on television, on the Internet, etc that is designed to persuade people to buy a product or service, go to an event, or apply for a job",easy
"afford","to have enough money to pay for something",easy
"bargain","something you buy that costs much less than normal",easy
"brand","a product or group of products that has its own name and is made by one particular company",easy
"catalogue","a book that contains pictures of things that you can buy",easy
"change","coins rather than notes",easy
"coin","a flat round piece of metal used as money",easy
"cost","if something costs an amount of money, you need that amount to pay for it or to do it",easy
"customer","a person or company that buys goods or services",easy
"debt","an amount of money that you owe",easy
"demand","to say strongly that you want something",easy
"export","to send a product to another country so that it can be sold there",easy
"fee","money that you pay to a professional person or institution for their work",easy
"fortune","a large amount of money",easy
"import","to buy a product from another country and bring it to your country",easy
"invest","to use your money with the aim of making a profit from it",easy
"obtain","to get something that you want or need",easy
"owe","to have to give someone a particular amount of money because you have bought something from them or have borrowed money from them",easy
"own","to legally have something, especially because you have bought it",easy
"profit","money that you get when you sell something for a price that is higher than the cost of making it or buying it",easy
"property","the things that you own",easy
"purchase","to buy something",easy
"receipt","a document that you get from someone showing that you have given them money or goods",easy
"require","to need someone or something",easy
"sale","an event or period of time during which a shop reduces the prices of some of its goods",easy
"save","to regularly put money in a bank, or to invest it so that you can use it later",easy
"select","to choose someone or something from a group",easy
"supply","to provide someone or something with something that they need or want",easy
"variety","a number of different people or things",easy
"waste","to use more of something than is necessary, or to use it in a way that does not produce the best results",easy
"artificial","not natural or real, but made by people",easy
"automatic","an automatic machine can work by itself without being operated by people",easy
"complicated","difficult to do, deal with, or understand",easy
"decrease","to become less",easy
"digital","storing information such as sound or pictures as numbers or electronic signals",easy
"discover","to find something that was hidden or that no one knew about before",easy
"effect","a change that is produced in one person or thing by another",easy
"equipment","the tools, machines, or other things that you need for a particular job or activity",easy
"estimate","to guess or calculate an amount or value by using available information",easy
"exact","done, made, or described with all the details correct",easy
"experiment","to perform scientific tests in order to find out what happens to someone or something in particular conditions",easy
"gadget","a small tool or piece of equipment that does something that is useful or impressive",easy
"hardware","computer equipment",easy
"invent","to design or create something that did not exist before",easy
"involve","to include something as part of an activity, event, or situation",easy
"laboratory","a building or large room where people do scientific research",easy
"lack","to not have something, or to not have enough of something",easy
"laptop","a small computer that you can carry with you",easy
"maximum","the largest in amount, size, or number that is allowed or possible",easy
"minimum","the smallest in amount, size, or number that is allowed or possible",easy
"operate","if equipment operates, or if you operate it, you use or control it and it works in the way it should",easy
"plastic","a very common light, strong substance that is produced by a chemical process and used for making many different things",easy
"program","to make a computer or other piece of equipment do something automatically",easy
"research","the detailed study of something in order to discover new facts",easy
"run","if you run a computer program, or if it runs, you start it or use it",easy
"screen","the flat surface on a computer, television, or piece of electronic equipment where words and pictures are shown",easy
"software","the programs used by computers for doing particular jobs",easy
"sudden","happening very quickly and without any sign that it is going to happen",easy
"technology","advanced scientific knowledge that is used for practical purposes",easy
"unique","not the same as anything or anyone else",easy
"accent","a way of pronouncing words that shows what country, region, or social class you come from",easy
"announcement","a public statement that gives people information about something",easy
"broadcast","to send out messages or programmes to be received by radios or televisions",easy
"channel","a television station and the programmes that it broadcasts",easy
"clear","easy to understand",easy
"click","to make a computer do something by pressing a button on the mouse",easy
"contact","to communicate with someone by phone, e-mail, letter, etc",easy
"file","a set of information that is stored on a computer and that is given a particular name",easy
"formal","suitable for serious situations or occasions",easy
"image","picture, especially one in a mirror or on a computer, television, or cinema screen",easy
"informal","suitable for relaxed friendly situations",easy
"Internet","a computer system that allows people in different parts of the world to exchange information",easy
"interrupt","to say or do something that stops someone when they are speaking or concentrating on something",easy
"link","if people, things, or events are linked, they are related to each other in some way",easy
"media","radio, television, newspapers, the Internet and magazines, considered as a group",easy
"mobile phone","a small phone that you can carry around with you",easy
"online","connected to or available through the Internet",easy
"pause","to stop moving or doing something for a short time before starting again",easy
"persuade","to make someone agree to do something by giving them reasons why they should",easy
"pronounce","to say the sounds of words",easy
"publish","to produce many copies of a book, magazine, or newspaper for people to buy",easy
"request","to ask for something, or to ask someone to do something, in a polite or formal way",easy
"ring","to call someone on the telephone",easy
"signal","a movement or sound that is made by someone and has a special meaning for another person",easy
"swear","to use words that are deliberately offensive, for example because you are angry",easy
"type","a group of people or things with similar qualities that make them different from other groups",easy
"viewer","someone who watches television programmes",easy
"website","a place on the Internet where information is available about a particular subject, company, university, etc",easy
"whisper","to speak very quietly to someone, so that other people cannot hear you",easy
"admit","to say that you have done something wrong",easy
"arrest","if the police arrest someone, they take that person to a police station because they think that he or she has committed a crime",easy
"charity","an organisation that gives money and help to people who need it; money or food that is given to people who need it",easy
"commit","to do something that is illegal",easy
"community","the people who live in an area",easy
"court","a place where trials take place and legal cases are decided",easy
"criminal","someone who has committed a crime",easy
"culture","a society that has its own set of ideas, beliefs and ways of behaving",easy
"familiar","well known to you, or easily recognized by you",easy
"government","the people who control a country or area and make decisions about its laws and taxes",easy
"habit","something that you do often",easy
"identity card","an official document that shows who you are",easy
"illegal","not allowed by the law",easy
"politics","the ideas and activities that are involved in getting power in an area or governing it",easy
"population","the number of people who live in a particular area",easy
"prison","an institution where people are kept as a punishment for committing a crime",easy
"protest","to show publicly that you oppose something",easy
"resident","someone who lives in a particular place",easy
"responsible","if you are responsible for something that has happened, you caused it, or you deserve to be blamed for it; in charge of someone or something",easy
"rob","to take money or property from someone illegally",easy
"routine","your usual way of doing things",easy
"schedule","a plan of activities or events and when they will happen",easy
"situation","the set of conditions that exist at a particular time in a particular place",easy
"social","relating to society and to people's lives in general",easy
"society","people in general living together in organised communities, with laws and traditions controlling the way that they behave towards each other",easy
"steal","to take something that belongs to someone else without permission",easy
"tradition","a very old custom, belief, or story",easy
"typical","like most things of the same type",easy
"vote","to decide something, or to choose a representative or winner, by officially stating your choice, for example in an election",easy
"youth club","a place where young people can go to meet and take part in activities",easy
"ambition","something that you very much want to achieve",easy
"application","a formal request to do something or have something, for example a job",easy
"bank account","an arrangement with a bank that allows you to keep your money there",easy
"boss","the person who is in charge of you at work",easy
"career","a job or profession that you work at for some time",easy
"colleague","someone who works in the same organisation or department as you",easy
"company","an organisation that sells services or goods",easy
"contract","a written legal agreement between two people or organisations",easy
"department","a section in a government, organisation, or business that deals with a particular type of work",easy
"deserve","if you deserve something, it is right that you get it, because of the way that you are or the way that you have behaved",easy
"earn","to receive money for work that you do",easy
"fame","the state of being famous",easy
"goal","the action of putting a ball into a goal in a game such as football",easy
"impress","if someone or something impresses you, you admire them",easy
"income","money that someone gets from working or from investing money",easy
"industry","all the businesses involved in producing a particular type of goods or services",easy
"interview","to ask someone, especially someone famous, questions about themselves, their work, or their ideas",easy
"leader","someone who is in charge of a group, organisation, or country",easy
"manager","someone whose job is to organise and control the work of a business, a department, or the people who work there",easy
"pension","an amount of money that someone receives regularly when they no longer work because of their age or because they are ill",easy
"poverty","a situation in which someone does not have enough money to pay for their basic needs",easy
"pressure","attempts to persuade or force someone to do something",easy
"previous","a previous event, period, or thing happened or existed before the one that you are talking about",easy
"profession","a job that you need special skills and qualifications to do",easy
"retire","to stop working permanently, especially when you are old",easy
"salary","a fixed amount of money that you earn each month or year from your job",easy
"staff","the people who work for a particular company, organisation, or institution",easy
"strike","a period of time during which people refuse to work, as a protest",easy
"tax","to make someone pay money to the government",easy
"wealthy","rich",easy
"affect","to change or influence something, often in a negative way",easy
"balance","to create or preserve a good or correct balance between different features or aspects",easy
"benefit","to get an advantage, or to give someone an advantage",easy
"breathe","to take air into your lungs through your nose or mouth and let it out again",easy
"chew","to use your teeth to bite food in your mouth into small pieces",easy
"chop","to cut something such as food or wood into pieces",easy
"contain","to have something inside",easy
"cough","to force air up through your throat with a sudden noise, especially when you have a cold or when you want to get someone's attention",easy
"cure","to stop someone from being affected by an illness",easy
"exercise","to do a physical activity in order to stay healthy and to make your body stronger",easy
"flu","a very common infectious disease that lasts for a short time and makes you feel weak and tired",easy
"have an operation","the process of cutting into someone's body for medical reasons",easy
"healthy","physically strong and not ill",easy
"ignore","to not consider something, or to not let it influence you",easy
"infection","a disease that is caused by bacteria or by a virus",easy
"ingredient","one of the foods or liquids that you use in making a particular meal",easy
"injury","physical harm",easy
"limit","to prevent a number, amount, or effect from increasing past a particular point",easy
"meal","an occasion when you eat, such as breakfast or lunch, or the food that you eat at that time",easy
"pill","a small piece of solid medicine that you swallow with water",easy
"recover","to become fit and healthy again after an illness or injury",easy
"salty","containing salt, or tasting like salt",easy
"slice","to cut something into flat pieces",easy
"sour","with a taste like a lemon",easy
"spicy","with a strong hot flavour",easy
"stir","to move food or a liquid around using a spoon or other object",easy
"suffer","to feel pain in your body or your mind; to have a particular illness or physical problem",easy
"taste","to have a particular flavour; to eat or drink something and experience its flavour",easy
"treatment","the process of providing medical care, or a particular type of medical care",easy
"vitamin","a natural substance in food that is necessary to keep your body healthy",easy
"ancient","very old",easy
"checked","printed or woven in a pattern of squares",easy
"cotton","cloth made from the white fibres of a plant called a cotton plant",easy
"create","to make something new exist or happen",easy
"design","to decide how something will be made, how it will work, or what it will look like, and often to make drawings of it",easy
"fix","to repair something",easy
"fold","to bend a piece of paper or cloth and press one part of it over another part",easy
"gallery","a public building where you can look at paintings and other works of art",easy
"improvement","the state of being better than before, or the process of making something better than it was before",easy
"loose","loose clothes are large and do not fit your body tightly",easy
"maintain","to make regular repairs to something, so that it stays in good condition",easy
"match","if one thing matches another, or they match, they form an attractive combination",easy
"material","cloth",easy
"notice","to become conscious of someone or something by seeing, hearing, or feeling them",easy
"pattern","a set of lines, shapes, or colours that are repeated regularly",easy
"pile","a number of things that are put on top of each other in an untidy way",easy
"practical","involving, or relating to, real situations rather than theories or ideas alone",easy
"rough","with a surface that is not smooth",easy
"shape","the form of something",easy
"silk","a thin smooth cloth made from the fibres produced by insects called silkworms",easy
"sleeve","the part of a piece of clothing that covers your arm",easy
"smooth","completely even with no rough areas",easy
"stretch","if you stretch something, or if it stretches, it becomes longer or wider when you pull it",easy
"striped","with a pattern of coloured lines",easy
"style","the way that something is made or done that is typical of a particular group, time, or place",easy
"suit","if a style or something you wear suits you, it makes you look good",easy
"tear","a hole in something where it has been torn",easy
"tight","fitting closely around your body or part of your body",easy
"tool","a piece of equipment that you hold to do a particular type of work",easy
"amazing","very good, surprising, or impressive",easy
"climate","the climate of a country or region is the type of weather it has",easy
"countryside","area away from towns and cities, with farms, fields and trees",easy
"environment","the natural world, including the land, water, air, plants and animals",easy
"extinct","if something such as a type of animal or plant is extinct, it no longer exists",easy
"forecast","to make a statement about what is likely to happen, often relating to the weather",easy
"freezing","very cold; the temperature at which water freezes and becomes ice",easy
"global","including or affecting the whole world",easy
"heatwave","a continuous period of very hot weather",easy
"insect","a small animal that has six legs and often has wings",easy
"lightning","the bright flashes of light that you see in the sky during a storm",easy
"litter","to drop litter",easy
"local","in or related to a particular area, especially the place where you live",easy
"locate","to find out the exact place where someone or something is; be located: to exist in a particular place",easy
"mammal","an animal that is born from its mother's body, not from an egg, and drinks its mother's milk as a baby",easy
"mild","mild weather is warm and pleasant",easy
"name","to know and say what the name of someone or something is; to give someone or something a name",easy
"origin","the place or moment at which something begins to exist",easy
"planet","a very large round object that moves around the Sun or around another star",easy
"preserve","to take care of something in order to prevent it from being harmed or destroyed",easy
"recycle","to treat waste materials so that they can be used again",easy
"reptile","a type of animal such as a snake or lizard that lays eggs, and whose body is covered in scales",easy
"rescue","to save someone from a dangerous or unpleasant situation",easy
"satellite","an object that is sent into space to travel round the Earth in order to receive and send information; a natural object such as a moon that moves around a planet",easy
"shower","a short period when it rains",easy
"solar system","the sun and the group of planets that move around it",easy
"species","a plant or animal group whose members all have similar general features and are able to produce young plants or animals together",easy
"thunder","the loud noise that you sometimes hear in the sky during a storm",easy
"wild","a wild animal or plant lives or grows on its own in natural conditions and is not raised by humans",easy
"wildlife","animals, birds and plants that live in natural conditions",easy
"amusing","funny or entertaining",easy
"annoy","to make someone feel slightly angry or impatient",easy
"attitude","opinions or feelings that you show by your behaviour",easy
"bad-tempered","made annoyed or angry very easily",easy
"behave","to do things in a particular way",easy
"bully","to frighten or hurt someone who is smaller or weaker than you",easy
"calm","not affected by strong emotions",easy
"celebrate","to do something enjoyable in order to show that an occasion or event is special",easy
"character","the qualities that make up someone's personality",easy
"depressed","very unhappy and without any feelings of hope or enthusiasm",easy
"embarrassing","making you feel nervous, ashamed, or stupid",easy
"emotion","a feeling that you experience, for example love, fear, or anger",easy
"enthusiastic","very interested in something, or excited by it",easy
"feeling","an emotional state, for example anger or happiness",easy
"glad","happy and pleased about something",easy
"hurt","to feel pain somewhere in your body",easy
"naughty","a naughty child behaves badly",easy
"noisy","making a lot of noise, or full of noise",easy
"polite","behaving towards other people in a pleasant way that follows all the usual rules of society",easy
"react","to behave in a particular way because of things that are happening around you or things that other people are doing to you",easy
