sentence,answer,distractors,difficulty
The exam ............................ when Jimmy finally found the right room.,had already started,has already started|already started|had already started|already starts,easy
............................ that crossword for over an hour and you still haven't finished it!,You've been doing,You've done|You'd done|You've been doing|You'd been doing,easy
"When they let us go in, we ............................ outside the exam room for over half an hour.",had been standing,have stood|had been standing|have been standing|are standing,easy
Clare hasn't finished her homework ............................ .,yet,already|yet|just|ever,easy
Have you ............................ been on a school trip?,ever,yet|for|before|ever,easy
Lizzie has been having dance classes ............................ she was four years old.,since,for|from|since|when,easy
Had you been learning French ............................ several years before you took your first exam?,for,for|from|since|when,easy
‘Have you made plans for the summer?’ ‘Yes. ............................ to Spain.’,We're going,We'll go|We're going|We go,easy
‘We're moving house tomorrow.’ ‘Really? ............................ you with the furniture.’,I'll help,I help|I'm helping|I'll help,easy
"‘Do you need this paintbrush?’ ‘Ah, yes. ............................ it to me, please?’",Will you pass,Do you pass|Will you pass|Are you passing,easy
"‘What do you want to be when you grow up, Stevie?’ ‘............................ a scientist. That's what I want to do, anyway.’",I'm going to be,I be|I'm going to be|I'm being,easy
"‘John is a better player than Martin, isn't he?’ ‘Oh, yes. ............................ the match tomorrow, I expect.’",He'll win,He'll win|He wins|He's winning,easy
"‘The weather has been terrible, hasn't it?’ ‘Yes, I think ............................ again later.’",it's going to rain,it's going to rain|it's raining|it rains,easy
I ............................ around the world one day.,am going to travel,travel|am going to travel|am travelling|travelled,easy
Do you think Curtis ............................ the car race tomorrow?,will win,will win|wins|is winning|won,easy
What's the weather like ............................ Russia at the moment?,in,on|at|in|to,easy
I can't come to your party because I ............................ my cousin that week.,am visiting,visit|will visit|visited|am visiting,easy
I think there's a picture of the hotel ............................ the first page.,on,on|at|in|to,easy
We usually go away somewhere on holiday ............................ New Year.,at,on|at|in|to,easy
"Watch out, or you ............................ off the boat!",are going to fall,fall|are going to fall|are falling|fell,easy
"It's my birthday ............................ Friday, so we're spending the weekend in London.",on,on|at|in|to,easy
"I got ............................ the car, turned the key and realised I didn't have any petrol!",into,into|off|onto|on,easy
I hope our plane leaves on ............................ .,schedule,timetable|plan|schedule|hour,easy
"My mum ............................ the bus to work every morning, but Dad drives.",catches,catches|does|runs|goes,easy
We had a long way to go so we ............................ off very early.,set,made|set|put|had,easy
"I prepared ............................ my trip very carefully, and I still forgot my toothbrush!",for,with|on|about|for,easy
"Public ............................ in this city is quite good, and it's not expensive.",transport,travel|journey|vehicle|transport,easy
Mum ............................ away on business quite often.,goes,sets|takes|does|goes,easy
It's easier to travel abroad when you can speak ............................ language like English.,a foreign,a strange|a foreign|an unknown|an outside,easy
Be careful with that vase because it's made of ............................ !,glass,glass|a glass,easy
I started coughing because I had ............................ at the back of my throat.,a hair,hair|a hair,easy
Don't put your hot cup on my new table! It's ............................ and I don't want you to burn it.,wood,wood|a wood,easy
We should all recycle ............................ so that it can be used again.,paper,paper|a paper,easy
My dad gets ............................ every day on his way to work.,a paper,paper|a paper,easy
Of course you can have some milk. Get ............................ out of the cupboard.,a glass,glass|a glass,easy
I heard there's ............................ new sports shop in town. Let's see what they have.,a,a|the|an|one,easy
"I don't have ............................ money, so I'll have to wait to get a new coat.",much,a piece of|a few|much|many,easy
It's going to be very expensive to send a person to ............................ .,Mars,a Mars|one Mars|the Mars|Mars,easy
"I don't know much about computers, so I asked the assistant for ............................ advice.",a little,a lot|many|a few|a little,easy
"In my experience, ............................ are very friendly.",the Chinese,Chinese|a Chinese|the Chinese|this Chinese,easy
Dad has to go to ............................ early tomorrow to meet an important customer.,work,work|the work|a work|that work,easy
Which is more important – money or ............................ ?,the environment,environment|the environment|an environment|one environment,easy
"Apparently, it's the largest computer store in ............................ .",Europe,an Europe|a Europe|the Europe|Europe,easy
Let me just add ............................ what I'm buying to see if I've got enough money.,up,on|up|over|in,easy
Bob ............................ a lot of money in his brother's business and made a profit.,invested,spent|invested|saved|owed,easy
I'm saving all my pocket money ............................ to buy a new PlayStation.,up,out|down|up|away,easy
The old man took the book ............................ from the shelf and looked at the price.,down,up|down|out|back,easy
"I couldn't sell my old magazines, so I gave them ............................ .",away,over|off|up|away,easy
I gave the waiter a €50 note and waited for my ............................ .,change,change|supply|cash|cost,easy
Home Lovers have got lots of ............................ in their sale this year.,bargains,debts|fortunes|bargains|fees,easy
I usually spend any money I have ............................ sweets and video games.,on,on|in|at|for,easy
I ............................ across this book about the moon in the library. It's really interesting!,came,went|found|came|looked,easy
Jenny pulled ............................ the handle so we can't open the cupboard now.,off,off|away|in|over,easy
I'd like to find ............................ more about being a computer programmer.,out,across|up|off|out,easy
Our car has broken ............................ again.,down,off|down|out|in,easy
Dean was late for physics so he ............................ up a story about being attacked by a cat!,made,took|wrote|created|made,easy
............................ the TV off. This show is boring.,Turn,Put|Set|Turn|Make,easy
I'm going to throw these old shoes ............................ . I never wear them anymore.,away,off|away|down|back,easy
I turned ............................ the tap but no water came out.,on,over|up|round|on,easy
We have to pay the electricity bill before Friday.,We must pay it.,We can pay it if we want to.|We must pay it.|We've already paid it.,easy
You don't need to buy me a birthday present.,It's not necessary to buy me a birthday present.,You must buy me a birthday present.|It's not necessary to buy me a birthday present.|You mustn't buy me a birthday present.,easy
I have to do some work on my project this evening.,I need to do the work.,I haven't got time to do the work.|I've already done the work.|I need to do the work.,easy
Lenny didn't have to see the head teacher after all.,It wasn't necessary for Lenny to see the head teacher.,It wasn't necessary for Lenny to see the head teacher.|Lenny went to see the head teacher.|Lenny is waiting to see the head teacher.,easy
Students mustn't run in school buildings.,Running isn't allowed.,They can run if they want to.|Students don't like running.|Running isn't allowed.,easy
All passengers must fasten their seatbelts.,They have to fasten their seatbelts now.,They have to fasten their seatbelts now.|They don't have to fasten their seatbelts.|They can fasten their seatbelts.,easy
Mr Reed had to go to the police station to answer some questions.,Mr Reed was obliged to go to the police station.,Mr Reed was able to go to the police station.|Mr Reed forgot to go to the police station.|Mr Reed was obliged to go to the police station.,easy
"It's kind of you to offer to help, but you really don't need to.",Your help isn't necessary.,I don't want you to help me.|Your help isn't necessary.|You won't be able to help me.,easy
I couldn't ............................ the programme so I turned the TV up.,hear,hear|heard|hearing|to hear,easy
My brother ............................ write when he was just three years old.,could,can|could|might|should,easy
............................ I use your computer to check my e-mail?,May,Will|Ought|May|Would,easy
My teacher thinks I ............................ to pay more attention in class.,ought,might|may|ought|would,easy
All compositions ............................ be handed in to me by Friday at the latest.,must,must|need|have|ought,easy
That ............................ be my mobile – mine is silver and that one is black.,can't,mustn't|shouldn't|wouldn't|can't,easy
"I sent the letter yesterday, so it ............................ get there tomorrow.",should,can|need|should|ought,easy
Did you ............................ to pay to send the package back?,have,must|should|ought|have,easy
Did you write to Irina ............................ her visit this summer?,about,for|of|on|about,easy
You have to ............................ on the word 'Next' to see the next web page.,click,press|click|push|hit,easy
I read about the accident ............................ the Internet.,on,on|in|to|at,easy
Please don't ............................ me when I'm speaking.,interrupt,break|prevent|pause|interrupt,easy
"When you have written your letter, save the ............................ in 'My Documents'.",file,paper|notebook|file|line,easy
I finally managed to ............................ Simon to lend me his laptop.,persuade,persuade|make|say|allow,easy
"Even when he's very angry, my dad never ............................ or uses bad language.",swears,swears|tells|whispers|broadcasts,easy
I didn't read the message carefully. I just glanced ............................ it.,at,with|to|on|at,easy
"When you get to your ............................ , you have to show your ticket to leave the station.",destination,destination|harbour|souvenir|passport,easy
Brazil ............................ coffee all over the world.,exports,invests|demands|exports|affords,easy
How do you ............................ 'csar'?,pronounce,interrupt|swear|guess|pronounce,easy
Dogs make very ............................ pets. They'll always stay by your side.,loyal,mental|private|loyal|digital,easy
Let's go for a swim as soon as we ............................ the hotel!,reach,arrive|get|reach|meet,easy
You have to ............................ or you won't understand the explanation.,concentrate,concentrate|contact|consider|involve,easy
There's a train coming. Don't stand at the edge of the ............................ .,platform,property|link|platform|resort,easy
I ............................ a lot of money on my credit cards and I don't know if I can pay it back.,owe,own|obtain|cost|owe,easy
'What ............................ when you saw the man?' the police officer asked.,were you doing,have you done|were you doing|are you doing|do you do,easy
"Thomas Edison, ............................ was American, invented many things, including the light bulb.",who,which|who|that|what,easy
I hope we're staying ............................ a good hotel this time!,at,at|to|with|on,easy
I know London quite well because I ............................ there.,used to live,used live|used to living|was used to live|used to live,easy
My bike ............................ ! Call the police!,has been stolen,was being stolen|has been stolen|stole|was stealing,easy
I'm tired because I ............................ since eight this morning.,have been working,have been working|work|am working|had worked,easy
"Do you think I could have ............................ water, please?",a little,a few|much|few|a little,easy
Is that Paul? He must ............................ from Australia.,have returned,return|had returned|have returned|returning,easy
"Ronny ............................ have gone to Switzerland, but I'm not totally sure.",could,must|could|can't|should,easy
You ............................ have lied to me! Why didn't you tell me the truth?,shouldn't,mustn't|might not|shouldn't|couldn't,easy
Helen ............................ to have seen a doctor weeks ago. Why didn't she?,ought,ought|should|must|can't,easy
They ............................ have seen the play last night as they went to a football match instead.,can't,could|must|might|can't,easy
Carl ............................ have been here by now. Maybe he got stuck in traffic.,should,might|must|should|can't,easy
You ............................ have been really excited when you heard you'd won the competition!,must,must|should|might|could,easy
"Excuse me. Could you tell me how much ............................ , please?",these jeans are,are these jeans|these jeans are,easy
Can you let me know what time ............................ ?,the train arrives,does the train arrive|the train arrives,easy
Do you know if ............................ at seven o'clock?,the show starts,the show starts|does the show start,easy
I wonder if you could tell me what ............................ .,the difference is,is the difference|the difference is,easy
I wonder if you know who ............................ ask.,I should,I should|should I,easy
You should ............................ me you were going to be late!,have told,tell|have told|to tell|to have told,easy
The football match ............................ have finished by now. It started over four hours ago!,must,must|ought|can't|wouldn't,easy
I wonder if you know where ............................,the post office is.,is the post office?|is the post office.|the post office is?|the post office is.,easy
"You don't eat meat, ............................ you?",do,are|eat|have|do,easy
"Let's see what's on at the cinema, ............................ ?",shall we,do we|shall us|shall we|let us,easy
"She ............................ have bought the tickets today, but I can't be sure.",might,must|might|can't|shouldn't,easy
Could you tell us ............................,when you were born?,when you were born?|when you were born.|when were you born?|when were you born.,easy
"I'm sleeping in Jim's room tonight, ............................ I?",aren't,am not|don't|aren't|isn't,easy
Bob joined the ............................ about six years ago.,company,ambition|fame|pension|company,easy
We lost £10 million last year because of the workers' ............................ over money.,strike,strike|department|colleague|tax,easy
"I'm sure it's good to be well known, but ............................ isn't everything.",fame,boss|interview|fame|poverty,easy
Don't sign the ............................ until you've read every word of it!,contract,industry|contract|staff|profession,easy
My grandfather stopped working two years ago and now he gets a ............................ .,pension,pressure|leader|pension|department,easy
Charles worked in the same job for almost the whole of his ............................ .,career,colleague|manager|industry|career,easy
"You should be able to save a little money with a/an ............................ of €30,000 per year.",income,application|income|leader|goal,easy
"Can I introduce you to Isaac, a ............................ of mine from work?",colleague,profession|department|colleague|salary,easy
This job is much ............................ than the last one!,harder,hard|hardest|harder|more hard,easy
Charlotte earns ............................ much money that she can't spend it all!,so,such|enough|too|so,easy
We have to work much longer each day ............................ in my old job.,than,from|that|with|than,easy
"I called as soon as I saw the job advert, but it was ............................ late.",too,enough|such|too|so,easy
What's the ............................ job you've ever had?,best,most good|best|better|good,easy
The office is ............................ a long way that I have to catch two buses.,such,too|such|enough|so,easy
Ray works as an artist and doesn't earn ............................ to pay his bills each month.,enough,too|enough|so|such,easy
Our company is moving into a ............................ building next week.,larger,larger|largest|more large|most large,easy
Anita works really hard and ............................ to be paid more.,deserves,worth|values|deserves|requires,easy
It takes me about half an hour to get ready ............................ work each morning.,for,for|on|about|with,easy
I'm going to stay at university and try to ............................ off getting a job for a few years!,put,stay|put|move|set,easy
May I introduce you to my ............................ ?,colleague,worker|staff|relation|colleague,easy
My main ............................ is to become a lawyer.,ambition,purpose|emotion|ambition|want,easy
During the job ............................ they asked me lots of really difficult questions.,interview,chat|talk|conversation|interview,easy
World Industries is planning to ............................ over our business.,take,get|take|move|set,easy
"Our teachers are ............................ strike, so we don't have to go to school today!",on,for|in|out|on,easy
"“I'm a big fan of U2,” Derek said. Derek said he ............................ a big fan of U2.",was,was|has been|had been,easy
"“We're watching TV,” said the twins. The twins said they ............................ TV.",were watching,watched|were watching|had watched,easy
“You've been annoying me all day!” my mum said. My mum said I ............................ her all day.,had been annoying,annoyed|was annoying|had been annoying,easy
“The dog ate my homework!” said Ivan. Ivan said the dog ............................ his homework.,had eaten,was eating|had eaten|has eaten,easy
"“At one o'clock, I was having lunch,” said Molly. Molly said she ............................ lunch at one o'clock.",had been having,had been having|has had|is having,easy
"“You'll get wet without an umbrella,” Dad said. Dad said I ............................ wet without an umbrella.",would get,will be getting|got|would get,easy
“He can juggle five balls!” said Angie. Angie said he ............................ five balls.,could juggle,juggled|would juggle|could juggle,easy
"“You must give me your essays,” Mrs Vine said. Mrs Vine said we ............................ give her our essays.",had to,were having to|had to|would have to,easy
I wish I ............................ an MP3 player.,had,have|had|would have,easy
We all wish Tim ............................ with the housework.,would help,helps|will help|would help,easy
I wish I ............................ to buy a lottery ticket last night.,had remembered,remember|remembered|had remembered,easy
I wish you ............................ live so far away.,didn't,don't|didn't|won't,easy
I wish they ............................ keep changing the time of this programme.,wouldn't,couldn't|wouldn't|don't,easy
Do you wish you ............................ to help Michael in the shop last weekend?,hadn't offered,hadn't offered|didn't offer|haven't offered,easy
"I want ............................ me what's wrong, but she won't.",Lisa to tell,Lisa to tell|to tell Lisa|Lisa telling|Lisa to telling,easy
Matt hates people who tell lies and ............................ do I.,so,nor|so|neither|both,easy
I feel like ............................ out tonight. What about you?,going,to go|going|we go|to going,easy
"Jane and I listened to Guy's explanation, but ............................ of us believed him.",neither,both|either|none|neither,easy
Do you remember ............................ excited the first time you went on a train?,feeling,to feel|you feel|to feeling|feeling,easy
You need to either ask Neil to apologise ............................ forget it.,or,or|both|either|nor,easy
Be quiet and let me ............................ you how I feel!,tell,telling|to tell|tell|to telling,easy
I'm really looking forward ............................ you next week.,to seeing,to see|to seeing|seeing|see,easy
"I was quite nervous ............................ starting at a new school, but it was okay.",about,on|about|with|in,easy
The newspapers congratulated the writer ............................ producing a very funny show.,on,with|for|on|of,easy
Oscar and Pauline met ............................ secret to discuss the surprise party.,in,in|with|at|on,easy
Are you scared ............................ snakes?,of,with|on|for|of,easy
"Isaac ............................ us a really funny joke, but I can't remember it!",told,said|told|spoke|mentioned,easy
You should be ashamed ............................ yourself!,of,with|on|of|in,easy
It's important to have a sense of ............................ or it's easy to get depressed.,humour,laughter|amusement|comedy|humour,easy
"Marina was ............................ tears after the lesson, so I asked her what was wrong.",in,to|on|at|in,easy
"He tried to deny ............................ the money, but no one believed him.",taking,take|to take|taking,easy
I hope ............................ a pilot when I grow up.,to become,become|to become|becoming,easy
"Mr Foster has decided ............................, so we're going to have a party.",to retire,retire|to retire|retiring,easy
Do you remember ............................ to Germany when you were two years old?,going,go|to go|going,easy
You can make the dog ............................ to you by shouting 'come'.,come,come|to come|coming,easy
There's no answer at the office. Let's try ............................ Roger's mobile.,calling,call|to call|calling,easy
"............................ it was expensive, the CD wasn't very good quality.",Although,Although|In spite of|However,easy
"............................ being expensive, the CD wasn't very good quality.",In spite of,Although|In spite of|However,easy
"............................ the cost, the CD wasn't very good quality.",In spite of,Although|In spite of|However,easy
"The CD was expensive. ............................, it wasn't very good quality.",However,Although|In spite of|However,easy
"The CD was expensive. It wasn't very good quality, ............................",however,although|despite|however,easy
"The CD wasn't very good quality, ............................ being expensive.",despite,although|despite|however,easy
"The CD wasn't very good quality, ............................ it was expensive.",although,although|in spite of|however,easy
"The CD wasn't very good quality, ............................ the cost.",despite,although|despite|however,easy
What's the best way to deal ............................ a disobedient child?,with,for|with|about,easy
I'd definitely advise ............................ getting a snake for a pet.,against,against|from|without,easy
I don't know what the solution ............................ this problem is.,to,about|for|to,easy
Our teacher insists ............................ us waiting in silence outside the class before the lesson.,on,for|on|about,easy
The advantage ............................ having brothers and sisters is that you get more birthday presents!,of,of|from|for,easy
You can't hide the truth ............................ me!,from,across|against|from,easy
I'm not old enough to ............................ in this election.,vote,commit|protest|vote|admit,easy
Is it really your ............................ to be a professional footballer?,ambition,application|profession|ambition|contract,easy
What we eat ............................ how much energy we have during the day.,affects,balances|contains|benefits|affects,easy
These jeans are too ............................ . I think I need a bigger pair.,tight,tight|loose|rough|smooth,easy
Britain's ............................ is fairly mild - it's never very hot or very cold.,climate,forecast|climate|environment|heatwave,easy
I fell over in front of everyone at lunch. It was so ............................ !,embarrassing,embarrassing|naughty|romantic|depressed,easy
"I asked Jim to help me with the project, but he ............................ .",refused,doubted|denied|refused|warned,easy
"Jeanne, ............................ us that joke about the guy who knocks on the door.",tell,say|speak|make|tell,easy
"I'm going to have a part in the play, ............................ I?",aren't,am not|don't|haven't|aren't,easy
Sophie ............................ have been ill today because she didn't come to school.,must,can't|should|must|would,easy
I'm ............................ to go on holiday on my own! I'm nineteen!,old enough,so old|such an old|too old|old enough,easy
My MP3 player is better ............................ yours!,than,from|to|than|that,easy
"If you ............................ helped me, I would never have finished on time.",hadn't,hadn't|haven't|don't|wouldn't,easy
Carol asked me if you ............................ the film.,had already seen,already see|had already seen|already saw|has already seen,easy
I wish you ............................ be quiet for five minutes!,would,must|would|can|should,easy
We were made ............................ up all the mess we'd made.,to clear,clear|to clear|clearing|cleared,easy
"I like basketball, but I ............................ volleyball.",prefer,prefer|have preferred|am preferring|had preferred,easy
We won the match because we ............................ hard the week before.,had been practising,have practised|practise|had been practising|have been practising,easy
Shirley ............................ to speak Russian before she met Ivan.,didn't use,use not|hasn't used|wasn't used|didn't use,easy
I don't think Adam ............................ what the coach told us.,understood,was understanding|has been understanding|understood|had been understanding,easy
"Before the exam, I ............................ everything – except the questions they asked!",had studied,had studied|study|have studied|was studying,easy
You look worried. ............................ about what happened last night?,Are you thinking,Do you think|Are you thinking|You think|You are thinking,easy
"When you rang, I ............................ my geography homework.",was doing,did|was doing|have done|have been doing,easy
"Ivor ............................ cricket for long, but he's already quite good at it.",hasn't been playing,isn't playing|hasn't been playing|doesn't play|didn't play,easy
"My younger sister is really ............................ , and I'm sure she'll go to university when she's older.",clever,mental|expert|clever|entertaining,easy
You should ............................ sure you've answered all the questions on the exam paper.,make,do|have|take|make,easy
Have you ............................ studying astronomy at university?,considered,considered|guessed|thought|wondered,easy
Collecting stamps gives me a lot of ............................ and helps me to relax.,pleasure,qualification|instruction|rhythm|pleasure,easy
Have you always been keen ............................ motorbikes?,on,for|on|with|in,easy
"............................ conclusion, I would say that having a pet has many advantages.",In,For|On|In|By,easy
I ............................ a lot of fun at your party. When are you having another one?,had,took|got|made|had,easy
"When he was at university, my dad did a ............................ in maths.",degree,study|subject|degree|mark,easy
"I've only got a ............................ money left, so we'll have to be careful what we buy.",little,few|little|much|many,easy
The money ............................ you lent me was really useful. Thanks!,that,that|where|who|whose,easy
Do you have ............................ advice for someone who wants to become an inventor?,any,any|an|few|piece,easy
Is this radio ............................ ?,yours,you|you're|your|yours,easy
There's ............................ of paper in the drawer.,lots,A lot|lots|a lots|some lot,easy
I invented a new electric toothbrush all by ............................ !,myself,itself|themselves|himself|myself,easy
That's the girl ............................ grandfather helped to develop the Internet.,whose,which|that|whose|who,easy
"Crossword puzzles, ............................ became popular in the 1930s, were invented in 1913.",which,that|whose|who|which,easy
Did you know that the antibiotic penicillin was discovered ............................ chance?,by,from|for|with|by,easy
My dad is worried because he ............................ a lot of money to the bank.,owes,lacks|costs|owes|purchases,easy
"I wanted to buy a drink, but the machine was out of ............................ .",order,work|order|position|operation,easy
Try ............................ the program again on another computer and see what happens.,running,going|making|working|running,easy
Did you see that the house next door is ............................ sale?,for,with|for|at|in,easy
Spend a ............................ amount of just €20 and get a free digital clock!,minimum,least|lowest|minimum|cheapest,easy
Do you think we'll all have flying cars ............................ the future?,in,on|at|to|in,easy
The Phillipsons won a ............................ on the lottery!,fortune,fortune|profit|bargain|fee,easy
"Thankfully, the train arrived on ............................ .",schedule,platform|board|coach|schedule,easy
Dogs are very ............................ pets.,loyal,loyal|single|foreign|generous,easy
Have you ............................ the tickets yet?,booked,broken|booked|caught|rented,easy
I must remember to ............................ my suitcase tonight.,pack,pack|take off|cancel|crash,easy
I'm really ............................ for all your help.,grateful,loving|confident|patient|grateful,easy
He'll carry our ............................ up to the hotel room.,luggage,passport|traffic|luggage|destination,easy
"Andy and I have ............................ out again, so we're not talking to each other.",fallen,fallen|hit|dropped|picked,easy
Don't get ............................ the car yet – I'm still parking.,out of,out|off|out of|out from,easy
Have you ever been stung ............................ a bee?,by,with|from|by|at,easy
"When I'm older, ............................ a famous writer!",I'm going to be,I'm being|I be|I'm going to be|I will to be,easy
The passengers weren't ............................ that the ferry was delayed.,told,telling|to tell|told|tell,easy
Your passport ............................ returned to you tomorrow morning.,will be,has been|will be|is|is being,easy
Look at the photo ............................ page 24!,on,in|on|at|to,easy
I'll see you ............................ half past eight.,at,in|on|at|to,easy
How ............................ for?,was the room paid,the room was paid|was paid the room|was the room paid|the room paid,easy
............................ all those bags with you tomorrow?,Are you taking,You take|Are you taking|Do you take|You are taking,easy
Jacques speaks with a French ............................ .,accent,announcement|accent|channel|broadcast,easy
How do you ............................ the word 'brought' in English?,pronounce,whisper|announce|swear|pronounce,easy
Local residents are ............................ about the park being closed.,protesting,protesting|committing|arresting|linking,easy
Don't blame Carl ............................ being late. It wasn't his fault.,for,on|in|for|with,easy
We're collecting money for a local ............................ . Could you spare a couple of euros?,charity,tradition|culture|situation|charity,easy
The bank in the high street was ............................ again yesterday.,robbed,stolen|broken|robbed|taken,easy
"I only glanced ............................ his face, so I can't really remember what he looks like.",at,to|at|on|by,easy
"If something is illegal, it's against the ............................ .",law,law|society|government|rule,easy
"Will lives quite near here, ............................ he?",doesn't,don't|lives not|doesn't|isn't,easy
Do you think she should ............................ for this job?,apply,to apply|applies|applying|apply,easy
"You ............................ help me, but you can if you want to.",don't have to,don't have to|didn't need to|mustn't|haven't to,easy
"Excuse me, I wonder if you could tell me if ............................ .",there is a bank near here.,is there a bank near here?|there is a bank near here.|is there a bank near here.|there is a bank near here?,easy
You shouldn't have ............................ to James about what I told you. It was a secret!,spoken,speak|spoke|to speak|spoken,easy
"That ............................ the end of the lesson already! We've only just started, haven't we?",can't be,mustn't be|can't be|mustn't have been|didn't have to be,easy
"We ............................ go to the cinema tonight, but it depends on what they're showing.",might,will|might|should|can,easy
I ............................ apologise when I broke my mum's favourite vase.,had to,had to|ought to|must|could,easy
"If you see a doctor, he or she ............................ you what's wrong with you.",will tell,would tell|will tell|has told|is telling,easy
"If you exercise more, you ............................ weight.",will lose,would lose|have lost|had lost|will lose,easy
"If you hadn't had a good interview, you ............................ the job.",wouldn't have got,won't have got|wouldn't have got|haven't got|didn't get,easy
"If you don't eat fruit and vegetables, your body ............................ the vitamins it needs.",doesn't get,doesn't get|wouldn't get|didn't get|hadn't got,easy
You wouldn't have got ill if you ............................ to your doctor's advice.,had listened,were listening|had listened|will listen|have listened,easy
We ............................ the job sooner if you hadn't wasted time.,might have finished,might have finished|will finish|have finished|finish,easy
People ............................ happier if they eat well and get a little exercise.,are,would be|are|were|would have been,easy
"If you had worn a coat, you ............................ a cold.",wouldn't have caught,didn't catch|hadn't caught|wouldn't have caught|don't catch,easy
Eating well helps your body fight ............................ disease and illness.,against,for|against|to|at,easy
I can't eat peanuts because I'm allergic ............................ them.,to,with|on|at|to,easy
I don't have a job ............................ the moment.,at,in|at|on|of,easy
Bill is completely fed ............................ with his job and is thinking of leaving.,up,up|over|out|off,easy
Do you think they will find a/an ............................ for all diseases one day?,cure,benefit|operation|cure|balance,easy
It took Vanessa a long time to recover ............................ her illness.,from,for|off|over|from,easy
Mr Williams travels a lot ............................ business.,on,in|at|on|from,easy
I had a cold and couldn't sleep ............................ night.,at,on|in|at|for,easy
Tony asked ............................ to go to the cinema with him.,me if I wanted,me do I want|if wanted I|me if I wanted|if did I want,easy
Why did you lend ............................ ?,my jacket to Angela,my jacket to Angela|to Angela my jacket|my jacket Angela|Angela to my jacket,easy
I wish you ............................ here!,were,are|will be|were|to be,easy
We all ............................ you get well soon!,hope,wish|hope|tell|say,easy
I wish I ............................ Fame Story last night. It's my favourite programme!,hadn't missed,don't miss|haven't missed|didn't miss|hadn't missed,easy
You promised ............................ to my birthday party!,to come,coming|to come|come|that you come,easy
I told Ed I'd see him the ............................ day.,next,forward|after|next|later,easy
Jan said she'd been shopping the day ............................ .,before,before|yesterday|ago|in front,easy
Do you really think those high-heeled shoes are ............................ in the jungle?,suitable,loose|ancient|rough|suitable,easy
............................ on your jacket if you're cold.,Put,Put|Take|Get|Add,easy
