source_file,page,section,sentence,options_count,detected_question_number,detected_answer_letter,reason
38. Destination B1.choose-correct-answer.json,39,Choose the correct answer,"What's the weather like....................... Russia at the moment? 33 Watch out, or you ...................... off the boat!",3,33,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,39,Choose the correct answer,"It's my birthday .......................... Friday, so we're spending the weekend in London.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,39,Choose the correct answer,"I got .......................... the car, turned the key and realised I didn't have any petrol! and I still forgot my toothbrush! Boff Bset",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,54,Choose the correct answer,Be careful with that vase because it's made of ....................... !,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,54,Choose the correct answer,I started coughing because I had ....................... at the back of my throat.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,54,Choose the correct answer,Don't put your hot cup on my new table! It's .......................... and I don't want you to burn it.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,54,Choose the correct answer,We should all recycle ........................ so that it can be used again.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,54,Choose the correct answer,My dad gets .......................... every day on his way to work.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,54,Choose the correct answer,Of course you can have some milk. Get....................... out of the cupboard. [EJ,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,63,Choose the correct answer,the Can Ba Chinese Cthe Chinese,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,63,Choose the correct answer,"I don't have .......................... money, so I'll have to wait to get a new coat. Dad has to go to....................early tomorrow to meet an important customer. 32 Bthe work Ca work",2,32,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,63,Choose the correct answer,It's going to be very expensive to send a person to .......................... . 33 Which is more important - money or Bthe environment Can environment,2,33,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,63,Choose the correct answer,"I don't know much about computers, so I asked 34 Apparently, it's the largest computer store in the assistant for ................... advice.",2,34,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,63,Choose the correct answer,"I couldn't sell my old magazines, so I gave them Cover",2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,72,Choose the correct answer,I ...................... across this book about the moon in the library. It's really interesting! up a story about being attacked by a cat!,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,72,Choose the correct answer,Jenny pulled...................... the handle so we can't open the cupboard now. A Put C Turn,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,72,Choose the correct answer,I'd like to find ...................... more about being A off Baway,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,72,Choose the correct answer,Our car has broken ...................... again.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,75,Choose the correct answer,This is the laboratory ...................... we do all the experiments.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,75,Choose the correct answer,That's not your calculator. It's .......................... .,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,75,Choose the correct answer,Einstein is the person ....................... showed that time can speed up and slow down. 31 That's the girl....................... father says he's invented a time machine! Cwhose,2,31,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,75,Choose the correct answer,Do you know ...................... idea it was? Was it Greg's or Fiona's? 32 Is this our DVD or is it ...................... ?,2,32,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,I couldn't .......................the programme so I turned the TV up. All compositions ...................... be handed in to me by Friday at the latest.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,My brother......................write when he was just 32 That ..................... be my mobile - mine is silver and that one is black. three years old.,3,32,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,.......................... e-mail?,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,Did you ...................... to pay to send the package back?,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,"When you have written your letter, save the . .................... in 'My Documents'.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,You have to ....................... on the word 'Next' to see the next web page. I finally managed to ...................... Simon to lend me his laptop.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,"Even when he's very angry, my dad never . ................... or uses bad language.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,87,Choose the correct answer,I didn't read the message carefully. I just glanced ........................it.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,88,Choose the correct answer,"When you get to your .......................... , you have to show your ticket to leave the station.",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,88,Choose the correct answer,Brazil...................... coffee all over the world. How do you .......................'csar'? 3,4,3,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,88,Choose the correct answer,Dogs make very .......................... pets. They'll always stay by your side.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,88,Choose the correct answer,Let's go for a swim as soon as we....................... the hotel!,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,88,Choose the correct answer,You have to....................... or you won't understand the explanation.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,88,Choose the correct answer,There's a train coming. Don't stand at the edge of the .......................... .,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,88,Choose the correct answer,I .......................... a lot of money on my credit cards and I don't know if I can pay it back. [[]j,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,'What ..................... when you saw the man?' the police officer asked.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,"Thomas Edison, ...................... was American, invented many things, including the light bulb.",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,I hope we're staying ....................... a good hotel this time! A� B�,2,,,OPTION_COUNT_LOWER_THAN_PAGE_SECTION|SUSPICIOUS_QUESTION_TEXT|SUSPICIOUS_OPTION_TEXT|ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,I know London quite well because I ...................... there.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,My bike ....................... ! Call the police!,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,I'm tired because I ...................... since eight this morning.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,"Do you think I could have .......................water, please?",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,91,Choose the correct answer,Is that Paul? He must ....................... from Australia. Towtwawl.i em lts gai arsku .:c o.m/100 93,4,100,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,97,Choose the correct answer,"Excuse me. Could you tell me how much .......................... , please?",2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,97,Choose the correct answer,Can you let me know what time ....................... ?,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,97,Choose the correct answer,Do you know if ...................... at seven o'clock?,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,97,Choose the correct answer,I wonder if you could tell me what .......................... .,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,97,Choose the correct answer,I wonder if you know who ....................... ask.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,102,Choose the correct answer,"Let's see what's on at the cinema, ? You should ...................... me you were going to be late! 5",3,5,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,Bob joined the .......................about six years ago.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,We lost £10 million last year because of the workers' .......................... over money.,4,10,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,"I'm sure it's good to be well known, but....................... isn't everything.",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,Don't sign the ....................... until you've read every word of it!,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,My grandfather stopped working two years ago and now he gets a .......................... .,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,Charles worked in the same job for almost the whole of his .......................... .,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,"You should be able to save a little money with a/an .......................... of €30,000 per year.",4,30,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,111,Choose the correct answer,"Can I introduce you to Isaac, a....................... of mine from work? I]]",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,115,Choose the correct answer,This job is much ...................... than the last one! What's the ...................... job you've ever had?,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,115,Choose the correct answer,Charlotte earns ...................... much money that she can't spend it all! The office is....................... a long way that I have to catch two buses.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,115,Choose the correct answer,We have to work much longer each day . ................... in my old job. Ray works as an artist and doesn't earn . ................... to pay his bills each month.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,115,Choose the correct answer,"I called as soon as I saw the job advert, but it was ...................... late. Our company is moving into a .......................... building next week.",2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,115,Choose the correct answer,"Our teachers are .......................... strike, so we don't have to go to school today! 38 May I introduce you to my .......................?",2,38,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,129,Choose the correct answer,"'I'm a big fan of U2,' Derek said. 5 'At one o'clock, I was having lunch,' said Molly. Molly said she ...................... lunch at one o'clock. Derek said he ...................... a big fan of U2. Cis having Chad been",2,5,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,129,Choose the correct answer,"'We're watching TV,' said the twins. 6 'You'll get wet without an umbrella,' Dad said. The twins said they ...................... TV. Dad said I ...................... wet without an umbrella. Chad watched Cwould get",2,6,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,129,Choose the correct answer,'You've been annoying me all day!' my mum 7 'He can juggle five balls!' said Angie. Angie said he ...................... five balls. said. My mum said I ...................... her all day. A juggled,2,7,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,129,Choose the correct answer,'The dog ate my homework!' said Ivan. Mrs Vine said we .......................... give her our Ivan said the dog ....................... his homework. essays. Cwould have to Chas eaten @,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,133,Choose the correct answer,"'Could you pass me the salt, please?' I asked the man next to me. I asked the man next to me................... me the salt.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,133,Choose the correct answer,'Would you mind waiting a moment?' the shop assistant asked the woman. The shop assistant asked the woman ................... for a moment.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,133,Choose the correct answer,"'Please don't leave your dirty football boots in the hall,' Mum said to Doug. Mum told Doug .................... his dirty football boots in the hall.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,133,Choose the correct answer,'Could you tell us where you were at six o'clock?' the police officers asked Barry. The police officers asked Barry ....................he had been at six o'clock.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,133,Choose the correct answer,'Could I have your e-mail address?' I asked Mariella. I asked Mariella ..................... e-mail address.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,139,Choose the correct answer,C this D those 33 My brother refused ....................... me use his digital camera. 29 My mum told....................... my paints.,4,29,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,139,Choose the correct answer,picture. 34 I suggest ....................... a new architect who will understand what you want.,4,34,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,139,Choose the correct answer,"the room for now. 39 The gallery was too big to see it all in one day, so we ......................out the modern paintings.",4,39,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,145,Choose the correct answer,We all wish Tim .......................... with the housework.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,145,Choose the correct answer,I wish I ...................... to buy a lottery ticket last night.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,145,Choose the correct answer,I wish you ....................... live so far away.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,145,Choose the correct answer,I wish they ....................... keep changing the time of this programme.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,145,Choose the correct answer,Do you wish you .......................... to help Michael in the shop last weekend? 1£],3,1,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,153,J Choose the correct answer,"He tried to deny ....................... the money, but no one believed him.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,153,J Choose the correct answer,I hope ...................... a pilot when I grow up.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,153,J Choose the correct answer,"Mr Foster has decided .......................... , so we're going to have a party.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,153,J Choose the correct answer,Do you remember .......................to Germany when you were two years old?,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,153,J Choose the correct answer,You can make the dog ...................... to you by shouting 'come'.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,153,J Choose the correct answer,There's no answer at the office. Let's try....................... Roger's mobile. www.ieltsgiasu.com 155,3,155,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,165,Choose the correct answer,"The CD was expensive. It wasn't very good quality, .......................... .",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,165,Choose the correct answer,"The CD wasn't very good quality, .......................... being expensive.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,165,Choose the correct answer,"The CD wasn't very good quality, .......................... it was expensive.",3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,165,Choose the correct answer,"The CD was expensive. .......................... , it wasn't very good quality. The CD wasn't very good quality, .......................... the cost. www.ieltsgiasu.com 167",3,167,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,173,Choose the correct answer,What's ttle best way to deal ....................a disobedient child?,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,173,Choose the correct answer,I'd definiet ly advise ..................... getting a snake for a pet.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,173,Choose the correct answer,I don't know what the solution ....................this problem is.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,173,Choose the correct answer,Our teacher insists ..................... us waiting in silence outside the class before the lesson. The advantage .................. having brothers and sisters is that you get more birthday presents! 5 A of B from C for,3,5,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,173,Choose the correct answer,You can't hide the truth ....................me! www.ieltsgiasu.com,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,"I'm going to have a part in the play, .................... I?",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,Sophie .......................... have been ill today because she didn't come to school.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,I'm .......................... to go on holiday on my own! I'm nineteen!,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,My MP3 player is better.................... yours!,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,"If you .......................... helped me, I would never have finished on time.",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,Carol ask ed me if you ................... the film.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,I wish you ................... be quiet for five minutes!,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,179,Choose the correct answer,We were made .................... up all the mess we'd made. Totwawlw.im eltsagriaks u:.c.o.m/100 181,4,100,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,216,Choose the correct answer,"I like basketball, but I ................... volleyball. 31 Before the exam, I ...................everything - except the questions they asked! A prefer C am preferring",4,31,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,216,Choose the correct answer,................. and helps me to relax. . ................. in maths. A study B subject,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,218,I Choose the correct answer,"Thankfully, the train arrived on .......................... . 31 I'm really ................. for all your help. Ccoach",2,31,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,218,I Choose the correct answer,He'll carry our................... up to the hotel room. 28 Dogs are very .................. pets.,2,28,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,218,J Choose the correct answer,Have you ever been stung .................. a bee? 39 Look at the photo ................... page 24! Cat,2,39,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,218,J Choose the correct answer,"I'll see you .................. half past eight. Cat When I'm older, .................. a famous writer! 36",2,36,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,218,J Choose the correct answer,The passengers weren't .................. that the ferry was delayed. tell to tell 42 . ................all those bags with you tomorrow? CDo you take,2,42,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,218,J Choose the correct answer,Your passport.................. returned to you tomorrow morning.,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,222,I Choose the correct answer,"If something is illegal, it's against the",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,224,Choose the correct answer,"If you see a doctor, he or she .................... you what's wrong with you. You wouldn't have got ill if you .................... to your doctor's advice. 31",2,31,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,224,Choose the correct answer,Do you think they will find a/an .................... for all diseases one day?,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,224,Choose the correct answer,I don't have a job .................... the moment. 41 Mr Williams travels a lot ................... business.,2,41,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,226,Choose the correct answer,I wish I ................ Fame Story last night. It's my favourite programme! Bif wanted I D if did I want Bhaven't missed D hadn't missed,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,226,Choose the correct answer,Why did you lend ................. ? 32 You promised ................to my birthday party! Bto Angela my jacket D Angela to my jacket Bto come D that you come,2,32,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,226,Choose the correct answer,I wish you ................ here! I told Ed I'd see him the ................. day. 33,3,33,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,226,Choose the correct answer,We all ................ you get well soon! 34 Jan said she'd been shopping the day,3,34,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,226,Choose the correct answer,yesterday,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,226,Choose the correct answer,There were about twenty people .............. ........... total at the meeting. Bancient D suitable Bat D with,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,226,Choose the correct answer,We've got to save the rainforests .......................... being destroyed. C global Bto,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,228,Choose the correct answer,Neither Alec .......................... Rob came to school today. Bwas made to D has made Band D either,2,,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,228,Choose the correct answer,".......................... Mum had a cold, she still went to 40 You can't make a snowman .......................... work. BIn spite D Although Bwhile D after",2,40,,ANSWER_KEY_NOT_MATCHED
38. Destination B1.choose-correct-answer.json,228,Choose the correct answer,I'll do my homework as soon asI ...................... ... home.,3,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,46,E Choose the correct answer,"c,1�� A from B in",4,1,D,SUSPICIOUS_QUESTION_TEXT
38. Destination B2.choose-correct-answer.json,46,E Choose the correct answer,"The issue .......... question is more complex than you think. i,,t;((l·i-..",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,46,E Choose the correct answer,"10 r:r�� ,�-",4,10,,SUSPICIOUS_QUESTION_TEXT|ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,49,E Choose the correct answer,They were........... out free tickets to the concert to everyone in the shopping centre.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,49,E Choose the correct answer,D bringing 37 Why did you have to bring that subject ........... at dinner? B holding,4,37,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,57,A Choose the correct answer,it's like to be famous. C pleased D excited,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,57,A Choose the correct answer,problem. Police were called in when the ........... of people began to get violent.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,58,F Choose the correct answer,independent ...........the government. Most people seem to agree ............ the newspapers' criticism of the government.,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,58,F Choose the correct answer,B with Do you think they should ban people . ........ smoking in public places?,4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,61,Choose the correct answer,"D If I .......... the lottery, I'd give some of the money to each member of my family.",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,61,Choose the correct answer,"Francis?' 'If you had been there, you ............ the same.'",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,61,Choose the correct answer,"If you see Nina on Friday, .......... her to give me a ring.",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,61,Choose the correct answer,"If I'd known you were coming, I . ........ a cake.",4,,,ANSWER_KEY_NOT_MATCHED
38. Destination B2.choose-correct-answer.json,61,Choose the correct answer,Remind Tony about the party ............ he's forgotten.,4,,,ANSWER_KEY_NOT_MATCHED
