sentence;predicted_topic_id;predicted_topic;actual_topic;correct
coincide;13;Transportation;Science;1
atrocity;7;Shopping;Politics;1
painting;2;Family;Culture;1
adopt;11;Technology;Family;1
convivial;1;Greetings;Greetings;1
consultation;21;Law;Law;1
attack;16;Business;Business;1
spokesperson;8;Work;Media;1
indulge;4;Food;Food;1
luxury;7;Shopping;Shopping;1
Wednesday;1;Greetings;Greetings;1
execute;8;Work;Law;1
philosophy;23;Philosophy;Philosophy;1
nurse;2;Family;Health;1
opposite;1;Greetings;Numbers;0
aspire;9;Education;Psychology;1
short;1;Greetings;Numbers;0
beauty;7;Shopping;Culture;1
programming;9;Education;Technology;1
loss;16;Business;Business;1
audit;16;Business;Business;1
thesis;9;Education;Education;1
chaos;19;Politics;Psychology;1
flesh;23;Philosophy;Philosophy;1
government;19;Politics;Politics;1
to procure;21;Law;Law;1
space;17;Science;Science;1
incident;16;Business;Business;1
meet;1;Greetings;Greetings;1
nine;3;Numbers;Numbers;1
quartet;3;Numbers;Numbers;1
various;22;Media;Numbers;1
content;22;Media;Media;1
bear;13;Transportation;Environment;1
entire;1;Greetings;Numbers;0
to revoke;21;Law;Law;1
disappointing;3;Numbers;Psychology;1
clause;21;Law;Law;1
pay;7;Shopping;Shopping;1
radiance;25;Global Issues;Science;1
go;6;Travel;Daily Activities;1
AVERAGE;;;;0,86
