sentence,options,answer,difficulty,question_type
"I prepared ............................ my trip very carefully, and I still forgot my toothbrush!","with|on|about|for",for,easy,VOCAB
"Public ............................ in this city is quite good, and it's not expensive.","travel|journey|vehicle|transport",transport,easy,VOCAB
Mum ............................ away on business quite often.,"sets|takes|does|goes",goes,easy,VOCAB
It's easier to travel abroad when you can speak ............................ language like English.,"a strange|a foreign|an unknown|an outside",a foreign,easy,VOCAB
Be careful with that vase because it's made of ............................ !,"glass|a glass",glass,easy,VOCAB
I started coughing because I had ............................ at the back of my throat.,"hair|a hair",a hair,easy,VOCAB
Don't put your hot cup on my new table! It's ............................ and I don't want you to burn it.,"wood|a wood",wood,easy,VOCAB
We should all recycle ............................ so that it can be used again.,"paper|a paper",paper,easy,VOCAB
My dad gets ............................ every day on his way to work.,"paper|a paper",a paper,easy,VOCAB
Of course you can have some milk. Get ............................ out of the cupboard.,"glass|a glass",a glass,easy,VOCAB
I heard there's ............................ new sports shop in town. Let's see what they have.,"a|the|an|one",a,easy,VOCAB
"I don't have ............................ money, so I'll have to wait to get a new coat.","a piece of|a few|much|many",much,easy,VOCAB
It's going to be very expensive to send a person to ............................ .,"a Mars|one Mars|the Mars|Mars",Mars,easy,VOCAB
"I don't know much about computers, so I asked the assistant for ............................ advice.","a lot|many|a few|a little",a little,easy,VOCAB
"In my experience, ............................ are very friendly.","Chinese|a Chinese|the Chinese|this Chinese",the Chinese,easy,VOCAB
Dad has to go to ............................ early tomorrow to meet an important customer.,"work|the work|a work|that work",work,easy,VOCAB
Which is more important – money or ............................ ?,"environment|the environment|an environment|one environment",the environment,easy,VOCAB
"Apparently, it's the largest computer store in ............................ .","an Europe|a Europe|the Europe|Europe",Europe,easy,VOCAB
Let me just add ............................ what I'm buying to see if I've got enough money.,"on|up|over|in",up,easy,VOCAB
Bob ............................ a lot of money in his brother's business and made a profit.,"spent|invested|saved|owed",invested,easy,VOCAB
I'm saving all my pocket money ............................ to buy a new PlayStation.,"out|down|up|away",up,easy,VOCAB
The old man took the book ............................ from the shelf and looked at the price.,"up|down|out|back",down,easy,VOCAB
"I couldn't sell my old magazines, so I gave them ............................ .","over|off|up|away",away,easy,VOCAB
I gave the waiter a €50 note and waited for my ............................ .,"change|supply|cash|cost",change,easy,VOCAB
Home Lovers have got lots of ............................ in their sale this year.,"debts|fortunes|bargains|fees",bargains,easy,VOCAB
I usually spend any money I have ............................ sweets and video games.,"on|in|at|for",on,easy,VOCAB
I ............................ across this book about the moon in the library. It's really interesting!,"went|found|came|looked",came,easy,VOCAB
Jenny pulled ............................ the handle so we can't open the cupboard now.,"off|away|in|over",off,easy,VOCAB
I'd like to find ............................ more about being a computer programmer.,"across|up|off|out",out,easy,VOCAB
Our car has broken ............................ again.,"off|down|out|in",down,easy,VOCAB
Dean was late for physics so he ............................ up a story about being attacked by a cat!,"took|wrote|created|made",made,easy,VOCAB
............................ the TV off. This show is boring.,"Put|Set|Turn|Make",Turn,easy,VOCAB
I'm going to throw these old shoes ............................ . I never wear them anymore.,"off|away|down|back",away,easy,VOCAB
I turned ............................ the tap but no water came out.,"over|up|round|on",on,easy,VOCAB
We have to pay the electricity bill before Friday.,"We can pay it if we want to.|We must pay it.|We've already paid it.",We must pay it.,easy,VOCAB
You don't need to buy me a birthday present.,"You must buy me a birthday present.|It's not necessary to buy me a birthday present.|You mustn't buy me a birthday present.",It's not necessary to buy me a birthday present.,easy,VOCAB
I have to do some work on my project this evening.,"I haven't got time to do the work.|I've already done the work.|I need to do the work.",I need to do the work.,easy,VOCAB
Lenny didn't have to see the head teacher after all.,"It wasn't necessary for Lenny to see the head teacher.|Lenny went to see the head teacher.|Lenny is waiting to see the head teacher.",It wasn't necessary for Lenny to see the head teacher.,easy,VOCAB
Students mustn't run in school buildings.,"They can run if they want to.|Students don't like running.|Running isn't allowed.",Running isn't allowed.,easy,VOCAB
All passengers must fasten their seatbelts.,"They have to fasten their seatbelts now.|They don't have to fasten their seatbelts.|They can fasten their seatbelts.",They have to fasten their seatbelts now.,easy,VOCAB
Mr Reed had to go to the police station to answer some questions.,"Mr Reed was able to go to the police station.|Mr Reed forgot to go to the police station.|Mr Reed was obliged to go to the police station.",Mr Reed was obliged to go to the police station.,easy,VOCAB
"It's kind of you to offer to help, but you really don't need to.","I don't want you to help me.|Your help isn't necessary.|You won't be able to help me.",Your help isn't necessary.,easy,VOCAB
I couldn't ............................ the programme so I turned the TV up.,"hear|heard|hearing|to hear",hear,easy,VOCAB
My brother ............................ write when he was just three years old.,"can|could|might|should",could,easy,VOCAB
............................ I use your computer to check my e-mail?,"Will|Ought|May|Would",May,easy,VOCAB
My teacher thinks I ............................ to pay more attention in class.,"might|may|ought|would",ought,easy,VOCAB
All compositions ............................ be handed in to me by Friday at the latest.,"must|need|have|ought",must,easy,VOCAB
That ............................ be my mobile – mine is silver and that one is black.,"mustn't|shouldn't|wouldn't|can't",can't,easy,VOCAB
"I sent the letter yesterday, so it ............................ get there tomorrow.","can|need|should|ought",should,easy,VOCAB
Did you ............................ to pay to send the package back?,"must|should|ought|have",have,easy,VOCAB
Did you write to Irina ............................ her visit this summer?,"for|of|on|about",about,easy,VOCAB
You have to ............................ on the word 'Next' to see the next web page.,"press|click|push|hit",click,easy,VOCAB
I read about the accident ............................ the Internet.,"on|in|to|at",on,easy,VOCAB
Please don't ............................ me when I'm speaking.,"break|prevent|pause|interrupt",interrupt,easy,VOCAB
"When you have written your letter, save the ............................ in 'My Documents'.","paper|notebook|file|line",file,easy,VOCAB
I finally managed to ............................ Simon to lend me his laptop.,"persuade|make|say|allow",persuade,easy,VOCAB
"Even when he's very angry, my dad never ............................ or uses bad language.","swears|tells|whispers|broadcasts",swears,easy,VOCAB
I didn't read the message carefully. I just glanced ............................ it.,"with|to|on|at",at,easy,VOCAB
"When you get to your ............................ , you have to show your ticket to leave the station.","destination|harbour|souvenir|passport",destination,easy,VOCAB
Brazil ............................ coffee all over the world.,"invests|demands|exports|affords",exports,easy,VOCAB
How do you ............................ 'csar'?,"interrupt|swear|guess|pronounce",pronounce,easy,VOCAB
Dogs make very ............................ pets. They'll always stay by your side.,"mental|private|loyal|digital",loyal,easy,VOCAB
Let's go for a swim as soon as we ............................ the hotel!,"arrive|get|reach|meet",reach,easy,VOCAB
You have to ............................ or you won't understand the explanation.,"concentrate|contact|consider|involve",concentrate,easy,VOCAB
There's a train coming. Don't stand at the edge of the ............................ .,"property|link|platform|resort",platform,easy,VOCAB
I ............................ a lot of money on my credit cards and I don't know if I can pay it back.,"own|obtain|cost|owe",owe,easy,VOCAB
'What ............................ when you saw the man?' the police officer asked.,"have you done|were you doing|are you doing|do you do",were you doing,easy,VOCAB
"Thomas Edison, ............................ was American, invented many things, including the light bulb.","which|who|that|what",who,easy,VOCAB
I hope we're staying ............................ a good hotel this time!,"at|to|with|on",at,easy,VOCAB
I know London quite well because I ............................ there.,"used live|used to living|was used to live|used to live",used to live,easy,VOCAB
My bike ............................ ! Call the police!,"was being stolen|has been stolen|stole|was stealing",has been stolen,easy,VOCAB
I'm tired because I ............................ since eight this morning.,"have been working|work|am working|had worked",have been working,easy,VOCAB
"Do you think I could have ............................ water, please?","a few|much|few|a little",a little,easy,VOCAB
Is that Paul? He must ............................ from Australia.,"return|had returned|have returned|returning",have returned,easy,VOCAB
"Ronny ............................ have gone to Switzerland, but I'm not totally sure.","must|could|can't|should",could,easy,VOCAB
You ............................ have lied to me! Why didn't you tell me the truth?,"mustn't|might not|shouldn't|couldn't",shouldn't,easy,VOCAB
Helen ............................ to have seen a doctor weeks ago. Why didn't she?,"ought|should|must|can't",ought,easy,VOCAB
They ............................ have seen the play last night as they went to a football match instead.,"could|must|might|can't",can't,easy,VOCAB
Carl ............................ have been here by now. Maybe he got stuck in traffic.,"might|must|should|can't",should,easy,VOCAB
You ............................ have been really excited when you heard you'd won the competition!,"must|should|might|could",must,easy,VOCAB
"Excuse me. Could you tell me how much ............................ , please?","are these jeans|these jeans are",these jeans are,easy,VOCAB
Can you let me know what time ............................ ?,"does the train arrive|the train arrives",the train arrives,easy,VOCAB
Do you know if ............................ at seven o'clock?,"the show starts|does the show start",the show starts,easy,VOCAB
I wonder if you could tell me what ............................ .,"is the difference|the difference is",the difference is,easy,VOCAB
I wonder if you know who ............................ ask.,"I should|should I",I should,easy,VOCAB
You should ............................ me you were going to be late!,"tell|have told|to tell|to have told",have told,easy,VOCAB
The football match ............................ have finished by now. It started over four hours ago!,"must|ought|can't|wouldn't",must,easy,VOCAB
I wonder if you know where ............................,"is the post office?|is the post office.|the post office is?|the post office is.",the post office is.,easy,VOCAB
"You don't eat meat, ............................ you?","are|eat|have|do",do,easy,VOCAB
"Let's see what's on at the cinema, ............................ ?","do we|shall us|shall we|let us",shall we,easy,VOCAB
"She ............................ have bought the tickets today, but I can't be sure.","must|might|can't|shouldn't",might,easy,VOCAB
Could you tell us ............................,"when you were born?|when you were born.|when were you born?|when were you born.",when you were born?,easy,VOCAB
"I'm sleeping in Jim's room tonight, ............................ I?","am not|don't|aren't|isn't",aren't,easy,VOCAB
Bob joined the ............................ about six years ago.,"ambition|fame|pension|company",company,easy,VOCAB
We lost £10 million last year because of the workers' ............................ over money.,"strike|department|colleague|tax",strike,easy,VOCAB
"I'm sure it's good to be well known, but ............................ isn't everything.","boss|interview|fame|poverty",fame,easy,VOCAB
Don't sign the ............................ until you've read every word of it!,"industry|contract|staff|profession",contract,easy,VOCAB
My grandfather stopped working two years ago and now he gets a ............................ .,"pressure|leader|pension|department",pension,easy,VOCAB
Charles worked in the same job for almost the whole of his ............................ .,"colleague|manager|industry|career",career,easy,VOCAB
"You should be able to save a little money with a/an ............................ of €30,000 per year.","application|income|leader|goal",income,easy,VOCAB
"Can I introduce you to Isaac, a ............................ of mine from work?","profession|department|colleague|salary",colleague,easy,VOCAB
This job is much ............................ than the last one!,"hard|hardest|harder|more hard",harder,easy,VOCAB
Charlotte earns ............................ much money that she can't spend it all!,"such|enough|too|so",so,easy,VOCAB
We have to work much longer each day ............................ in my old job.,"from|that|with|than",than,easy,VOCAB
"I called as soon as I saw the job advert, but it was ............................ late.","enough|such|too|so",too,easy,VOCAB
What's the ............................ job you've ever had?,"most good|best|better|good",best,easy,VOCAB
The office is ............................ a long way that I have to catch two buses.,"too|such|enough|so",such,easy,VOCAB
Ray works as an artist and doesn't earn ............................ to pay his bills each month.,"too|enough|so|such",enough,easy,VOCAB
Our company is moving into a ............................ building next week.,"larger|largest|more large|most large",larger,easy,VOCAB
Anita works really hard and ............................ to be paid more.,"worth|values|deserves|requires",deserves,easy,VOCAB
It takes me about half an hour to get ready ............................ work each morning.,"for|on|about|with",for,easy,VOCAB
I'm going to stay at university and try to ............................ off getting a job for a few years!,"stay|put|move|set",put,easy,VOCAB
May I introduce you to my ............................ ?,"worker|staff|relation|colleague",colleague,easy,VOCAB
My main ............................ is to become a lawyer.,"purpose|emotion|ambition|want",ambition,easy,VOCAB
During the job ............................ they asked me lots of really difficult questions.,"chat|talk|conversation|interview",interview,easy,VOCAB
World Industries is planning to ............................ over our business.,"get|take|move|set",take,easy,VOCAB
"Our teachers are ............................ strike, so we don't have to go to school today!","for|in|out|on",on,easy,VOCAB
"“I'm a big fan of U2,” Derek said. Derek said he ............................ a big fan of U2.","was|has been|had been",was,easy,VOCAB
"“We're watching TV,” said the twins. The twins said they ............................ TV.","watched|were watching|had watched",were watching,easy,VOCAB
“You've been annoying me all day!” my mum said. My mum said I ............................ her all day.,"annoyed|was annoying|had been annoying",had been annoying,easy,VOCAB
“The dog ate my homework!” said Ivan. Ivan said the dog ............................ his homework.,"was eating|had eaten|has eaten",had eaten,easy,VOCAB
"“At one o'clock, I was having lunch,” said Molly. Molly said she ............................ lunch at one o'clock.","had been having|has had|is having",had been having,easy,VOCAB
"“You'll get wet without an umbrella,” Dad said. Dad said I ............................ wet without an umbrella.","will be getting|got|would get",would get,easy,VOCAB
“He can juggle five balls!” said Angie. Angie said he ............................ five balls.,"juggled|would juggle|could juggle",could juggle,easy,VOCAB
"“You must give me your essays,” Mrs Vine said. Mrs Vine said we ............................ give her our essays.","were having to|had to|would have to",had to,easy,VOCAB
I wish I ............................ an MP3 player.,"have|had|would have",had,easy,VOCAB
We all wish Tim ............................ with the housework.,"helps|will help|would help",would help,easy,VOCAB
I wish I ............................ to buy a lottery ticket last night.,"remember|remembered|had remembered",had remembered,easy,VOCAB
I wish you ............................ live so far away.,"don't|didn't|won't",didn't,easy,VOCAB
I wish they ............................ keep changing the time of this programme.,"couldn't|wouldn't|don't",wouldn't,easy,VOCAB
Do you wish you ............................ to help Michael in the shop last weekend?,"hadn't offered|didn't offer|haven't offered",hadn't offered,easy,VOCAB
"I want ............................ me what's wrong, but she won't.","Lisa to tell|to tell Lisa|Lisa telling|Lisa to telling",Lisa to tell,easy,VOCAB
Matt hates people who tell lies and ............................ do I.,"nor|so|neither|both",so,easy,VOCAB
I feel like ............................ out tonight. What about you?,"to go|going|we go|to going",going,easy,VOCAB
"Jane and I listened to Guy's explanation, but ............................ of us believed him.","both|either|none|neither",neither,easy,VOCAB
Do you remember ............................ excited the first time you went on a train?,"to feel|you feel|to feeling|feeling",feeling,easy,VOCAB
You need to either ask Neil to apologise ............................ forget it.,"or|both|either|nor",or,easy,VOCAB
Be quiet and let me ............................ you how I feel!,"telling|to tell|tell|to telling",tell,easy,VOCAB
I'm really looking forward ............................ you next week.,"to see|to seeing|seeing|see",to seeing,easy,VOCAB
"I was quite nervous ............................ starting at a new school, but it was okay.","on|about|with|in",about,easy,VOCAB
The newspapers congratulated the writer ............................ producing a very funny show.,"with|for|on|of",on,easy,VOCAB
Oscar and Pauline met ............................ secret to discuss the surprise party.,"in|with|at|on",in,easy,VOCAB
Are you scared ............................ snakes?,"with|on|for|of",of,easy,VOCAB
"Isaac ............................ us a really funny joke, but I can't remember it!","said|told|spoke|mentioned",told,easy,VOCAB
You should be ashamed ............................ yourself!,"with|on|of|in",of,easy,VOCAB
It's important to have a sense of ............................ or it's easy to get depressed.,"laughter|amusement|comedy|humour",humour,easy,VOCAB
"Marina was ............................ tears after the lesson, so I asked her what was wrong.","to|on|at|in",in,easy,VOCAB
"He tried to deny ............................ the money, but no one believed him.","take|to take|taking",taking,easy,VOCAB
I hope ............................ a pilot when I grow up.,"become|to become|becoming",to become,easy,VOCAB
"Mr Foster has decided ............................, so we're going to have a party.","retire|to retire|retiring",to retire,easy,VOCAB
Do you remember ............................ to Germany when you were two years old?,"go|to go|going",going,easy,VOCAB
You can make the dog ............................ to you by shouting 'come'.,"come|to come|coming",come,easy,VOCAB
There's no answer at the office. Let's try ............................ Roger's mobile.,"call|to call|calling",calling,easy,VOCAB
"............................ it was expensive, the CD wasn't very good quality.","Although|In spite of|However",Although,easy,VOCAB
"............................ being expensive, the CD wasn't very good quality.","Although|In spite of|However",In spite of,easy,VOCAB
"............................ the cost, the CD wasn't very good quality.","Although|In spite of|However",In spite of,easy,VOCAB
"The CD was expensive. ............................, it wasn't very good quality.","Although|In spite of|However",However,easy,VOCAB
"The CD was expensive. It wasn't very good quality, ............................","although|despite|however",however,easy,VOCAB
"The CD wasn't very good quality, ............................ being expensive.","although|despite|however",despite,easy,VOCAB
"The CD wasn't very good quality, ............................ it was expensive.","although|in spite of|however",although,easy,VOCAB
"The CD wasn't very good quality, ............................ the cost.","although|despite|however",despite,easy,VOCAB
What's the best way to deal ............................ a disobedient child?,"for|with|about",with,easy,VOCAB
I'd definitely advise ............................ getting a snake for a pet.,"against|from|without",against,easy,VOCAB
I don't know what the solution ............................ this problem is.,"about|for|to",to,easy,VOCAB
Our teacher insists ............................ us waiting in silence outside the class before the lesson.,"for|on|about",on,easy,VOCAB
The advantage ............................ having brothers and sisters is that you get more birthday presents!,"of|from|for",of,easy,VOCAB
You can't hide the truth ............................ me!,"across|against|from",from,easy,VOCAB
I'm not old enough to ............................ in this election.,"commit|protest|vote|admit",vote,easy,VOCAB
Is it really your ............................ to be a professional footballer?,"application|profession|ambition|contract",ambition,easy,VOCAB
What we eat ............................ how much energy we have during the day.,"balances|contains|benefits|affects",affects,easy,VOCAB
These jeans are too ............................ . I think I need a bigger pair.,"tight|loose|rough|smooth",tight,easy,VOCAB
Britain's ............................ is fairly mild - it's never very hot or very cold.,"forecast|climate|environment|heatwave",climate,easy,VOCAB
I fell over in front of everyone at lunch. It was so ............................ !,"embarrassing|naughty|romantic|depressed",embarrassing,easy,VOCAB
"I asked Jim to help me with the project, but he ............................ .","doubted|denied|refused|warned",refused,easy,VOCAB
"Jeanne, ............................ us that joke about the guy who knocks on the door.","say|speak|make|tell",tell,easy,VOCAB
"I'm going to have a part in the play, ............................ I?","am not|don't|haven't|aren't",aren't,easy,VOCAB
Sophie ............................ have been ill today because she didn't come to school.,"can't|should|must|would",must,easy,VOCAB
I'm ............................ to go on holiday on my own! I'm nineteen!,"so old|such an old|too old|old enough",old enough,easy,VOCAB
My MP3 player is better ............................ yours!,"from|to|than|that",than,easy,VOCAB
"If you ............................ helped me, I would never have finished on time.","hadn't|haven't|don't|wouldn't",hadn't,easy,VOCAB
Carol asked me if you ............................ the film.,"already see|had already seen|already saw|has already seen",had already seen,easy,VOCAB
I wish you ............................ be quiet for five minutes!,"must|would|can|should",would,easy,VOCAB
We were made ............................ up all the mess we'd made.,"clear|to clear|clearing|cleared",to clear,easy,VOCAB
"I like basketball, but I ............................ volleyball.","prefer|have preferred|am preferring|had preferred",prefer,easy,VOCAB
We won the match because we ............................ hard the week before.,"have practised|practise|had been practising|have been practising",had been practising,easy,VOCAB
Shirley ............................ to speak Russian before she met Ivan.,"use not|hasn't used|wasn't used|didn't use",didn't use,easy,VOCAB
I don't think Adam ............................ what the coach told us.,"was understanding|has been understanding|understood|had been understanding",understood,easy,VOCAB
"Before the exam, I ............................ everything – except the questions they asked!","had studied|study|have studied|was studying",had studied,easy,VOCAB
You look worried. ............................ about what happened last night?,"Do you think|Are you thinking|You think|You are thinking",Are you thinking,easy,VOCAB
"When you rang, I ............................ my geography homework.","did|was doing|have done|have been doing",was doing,easy,VOCAB
"Ivor ............................ cricket for long, but he's already quite good at it.","isn't playing|hasn't been playing|doesn't play|didn't play",hasn't been playing,easy,VOCAB
"My younger sister is really ............................ , and I'm sure she'll go to university when she's older.","mental|expert|clever|entertaining",clever,easy,VOCAB
You should ............................ sure you've answered all the questions on the exam paper.,"do|have|take|make",make,easy,VOCAB
Have you ............................ studying astronomy at university?,"considered|guessed|thought|wondered",considered,easy,VOCAB
Collecting stamps gives me a lot of ............................ and helps me to relax.,"qualification|instruction|rhythm|pleasure",pleasure,easy,VOCAB
Have you always been keen ............................ motorbikes?,"for|on|with|in",on,easy,VOCAB
"............................ conclusion, I would say that having a pet has many advantages.","For|On|In|By",In,easy,VOCAB
I ............................ a lot of fun at your party. When are you having another one?,"took|got|made|had",had,easy,VOCAB
"When he was at university, my dad did a ............................ in maths.","study|subject|degree|mark",degree,easy,VOCAB
"I've only got a ............................ money left, so we'll have to be careful what we buy.","few|little|much|many",little,easy,VOCAB
The money ............................ you lent me was really useful. Thanks!,"that|where|who|whose",that,easy,VOCAB
Do you have ............................ advice for someone who wants to become an inventor?,"any|an|few|piece",any,easy,VOCAB
Is this radio ............................ ?,"you|you're|your|yours",yours,easy,VOCAB
There's ............................ of paper in the drawer.,"A lot|lots|a lots|some lot",lots,easy,VOCAB
I invented a new electric toothbrush all by ............................ !,"itself|themselves|himself|myself",myself,easy,VOCAB
That's the girl ............................ grandfather helped to develop the Internet.,"which|that|whose|who",whose,easy,VOCAB
"Crossword puzzles, ............................ became popular in the 1930s, were invented in 1913.","that|whose|who|which",which,easy,VOCAB
Did you know that the antibiotic penicillin was discovered ............................ chance?,"from|for|with|by",by,easy,VOCAB
My dad is worried because he ............................ a lot of money to the bank.,"lacks|costs|owes|purchases",owes,easy,VOCAB
"I wanted to buy a drink, but the machine was out of ............................ .","work|order|position|operation",order,easy,VOCAB
Try ............................ the program again on another computer and see what happens.,"going|making|working|running",running,easy,VOCAB
Did you see that the house next door is ............................ sale?,"with|for|at|in",for,easy,VOCAB
Spend a ............................ amount of just €20 and get a free digital clock!,"least|lowest|minimum|cheapest",minimum,easy,VOCAB
Do you think we'll all have flying cars ............................ the future?,"on|at|to|in",in,easy,VOCAB
The Phillipsons won a ............................ on the lottery!,"fortune|profit|bargain|fee",fortune,easy,VOCAB
"Thankfully, the train arrived on ............................ .","platform|board|coach|schedule",schedule,easy,VOCAB
Dogs are very ............................ pets.,"loyal|single|foreign|generous",loyal,easy,VOCAB
Have you ............................ the tickets yet?,"broken|booked|caught|rented",booked,easy,VOCAB
I must remember to ............................ my suitcase tonight.,"pack|take off|cancel|crash",pack,easy,VOCAB
I'm really ............................ for all your help.,"loving|confident|patient|grateful",grateful,easy,VOCAB
He'll carry our ............................ up to the hotel room.,"passport|traffic|luggage|destination",luggage,easy,VOCAB
"Andy and I have ............................ out again, so we're not talking to each other.","fallen|hit|dropped|picked",fallen,easy,VOCAB
Don't get ............................ the car yet – I'm still parking.,"out|off|out of|out from",out of,easy,VOCAB
Have you ever been stung ............................ a bee?,"with|from|by|at",by,easy,VOCAB
"When I'm older, ............................ a famous writer!","I'm being|I be|I'm going to be|I will to be",I'm going to be,easy,VOCAB
The passengers weren't ............................ that the ferry was delayed.,"telling|to tell|told|tell",told,easy,VOCAB
