sentence,phonetic,audio_url,difficulty
"Tom has never been in love.","/ˈtɑm ˈhæz ˈnɛvɝ ˈbɪn ˈɪn ˈɫəv/","https://audio.tatoeba.org/sentences/eng/3442386.mp3","pending"
"Tom has nothing else to do.","/ˈtɑm ˈhæz ˈnəθɪŋ ˈɛɫs ˈtu ˈdu/","https://audio.tatoeba.org/sentences/eng/2713283.mp3","pending"
"Tom hasn't called back yet.","/ˈtɑm ˈhæzənt ˈkɔɫd ˈbæk ˈjɛt/","https://audio.tatoeba.org/sentences/eng/4665918.mp3","pending"
"Tom invited Mary to dinner.","/ˈtɑm ˌɪnˈvaɪtəd ˈmɛɹi ˈtu ˈdɪnɝ/","https://audio.tatoeba.org/sentences/eng/1028612.mp3","pending"
"Tom is a retired detective.","/ˈtɑm ˈɪz ˈeɪ ɹiˈtaɪɝd dɪˈtɛktɪv/","https://audio.tatoeba.org/sentences/eng/2957021.mp3","pending"
"Tom is an environmentalist.","/ˈtɑm ˈɪz ˈæn ɪnˌvaɪɹənˈmɛnəɫɪst/","https://audio.tatoeba.org/sentences/eng/2272949.mp3","pending"
"Tom is extremely forgetful.","/ˈtɑm ˈɪz ɛkˈstɹimɫi fɝˈɡɛtfəɫ/","https://audio.tatoeba.org/sentences/eng/3428437.mp3","pending"
"Tom is in a very good mood.","/ˈtɑm ˈɪz ˈɪn ˈeɪ ˈvɛɹi ˈɡʊd ˈmud/","https://audio.tatoeba.org/sentences/eng/3444653.mp3","pending"
"Tom is in incredible shape.","/ˈtɑm ˈɪz ˈɪn ˌɪnˈkɹɛdəbəɫ ˈʃeɪp/","https://audio.tatoeba.org/sentences/eng/3023641.mp3","pending"
"Tom is obviously concerned.","/ˈtɑm ˈɪz ˈɑbviəsɫi kənˈsɝnd/","https://audio.tatoeba.org/sentences/eng/2643966.mp3","pending"
"Tom is secretive, isn't he?","/ˈtɑm ˈɪz ˈsikɹətɪv ˈɪzən ˈhi/","https://audio.tatoeba.org/sentences/eng/3164438.mp3","pending"
"Tom is spraying his garden.","/ˈtɑm ˈɪz ˈspɹeɪɪŋ ˈhɪz ˈɡɑɹdən/","https://audio.tatoeba.org/sentences/eng/1024869.mp3","pending"
"Tom is very angry with you.","/ˈtɑm ˈɪz ˈvɛɹi ˈæŋɡɹi ˈwɪð ˈju/","https://audio.tatoeba.org/sentences/eng/3449394.mp3","pending"
"Tom jumped out of the tree.","/ˈtɑm ˈdʒəmpt ˈaʊt ˈəv ˈðə ˈtɹi/","https://audio.tatoeba.org/sentences/eng/1024655.mp3","pending"
"Tom just bought a car, too.","/ˈtɑm ˈdʒəst ˈbɑt ˈeɪ ˈkɑɹ ˈtu/","https://audio.tatoeba.org/sentences/eng/3150577.mp3","pending"
"Tom knows where Mary lives.","/ˈtɑm ˈnoʊz ˈhwɛɹ ˈmɛɹi ˈɫaɪvz/","https://audio.tatoeba.org/sentences/eng/1028396.mp3","pending"
"Tom likes to play football.","/ˈtɑm ˈɫaɪks ˈtu ˈpɫeɪ ˈfʊtˌbɔɫ/","https://audio.tatoeba.org/sentences/eng/3428413.mp3","pending"
"Tom looked into the fridge.","/ˈtɑm ˈɫʊkt ˈɪntu ˈðə ˈfɹɪdʒ/","https://audio.tatoeba.org/sentences/eng/3122258.mp3","pending"
"Tom made Mary wash his car.","/ˈtɑm ˈmeɪd ˈmɛɹi ˈwɑʃ ˈhɪz ˈkɑɹ/","https://audio.tatoeba.org/sentences/eng/2271264.mp3","pending"
"Tom must be getting sleepy.","/ˈtɑm ˈməst ˈbi ˈɡɛtɪŋ ˈsɫipi/","https://audio.tatoeba.org/sentences/eng/3409233.mp3","pending"
"Tom never told me anything.","/ˈtɑm ˈnɛvɝ ˈtoʊɫd ˈmi ˈɛniˌθɪŋ/","https://audio.tatoeba.org/sentences/eng/3200420.mp3","pending"
"Tom passed away last night.","/ˈtɑm ˈpæst əˈweɪ ˈɫæs ˈnaɪt/","https://audio.tatoeba.org/sentences/eng/1093151.mp3","pending"
"Tom put on some warm socks.","/ˈtɑm ˈpʊt ˈɑn ˈsəm ˈwɔɹm ˈsɑks/","https://audio.tatoeba.org/sentences/eng/2543974.mp3","pending"
"Tom ran into the classroom.","/ˈtɑm ˈɹæn ˈɪntu ˈðə ˈkɫæsˌɹum/","https://audio.tatoeba.org/sentences/eng/3480061.mp3","pending"
"Tom said he found his keys.","/ˈtɑm ˈsɛd ˈhi ˈfaʊnd ˈhɪz ˈkiz/","https://audio.tatoeba.org/sentences/eng/3472876.mp3","pending"
"Tom said I should tell you.","/ˈtɑm ˈsɛd ˈaɪ ˈʃʊd ˈtɛɫ ˈju/","https://audio.tatoeba.org/sentences/eng/3200419.mp3","pending"
"Tom seems totally confused.","/ˈtɑm ˈsimz ˈtoʊtəɫi kənˈfjuzd/","https://audio.tatoeba.org/sentences/eng/3164827.mp3","pending"
"Tom should've married Mary.","/ˈtɑm ˈʃʊdəv ˈmɛɹid ˈmɛɹi/","https://audio.tatoeba.org/sentences/eng/1164180.mp3","pending"
"Tom speaks a little French.","/ˈtɑm ˈspiks ˈeɪ ˈɫɪtəɫ ˈfɹɛntʃ/","https://audio.tatoeba.org/sentences/eng/2451568.mp3","pending"
"Tom still doesn't eat meat.","/ˈtɑm ˈstɪɫ ˈdəzən ˈit ˈmit/","https://audio.tatoeba.org/sentences/eng/3736201.mp3","pending"
"Tom takes after his mother.","/ˈtɑm ˈteɪks ˈæftɝ ˈhɪz ˈməðɝ/","https://audio.tatoeba.org/sentences/eng/3377450.mp3","pending"
"Tom told me about the fire.","/ˈtɑm ˈtoʊɫd ˈmi əˈbaʊt ˈðə ˈfaɪɝ/","https://audio.tatoeba.org/sentences/eng/3200416.mp3","pending"
"Tom tore the paper in half.","/ˈtɑm ˈtɔɹ ˈðə ˈpeɪpɝ ˈɪn ˈhæf/","https://audio.tatoeba.org/sentences/eng/682140.mp3","pending"
"Tom turned out to be right.","/ˈtɑm ˈtɝnd ˈaʊt ˈtu ˈbi ˈɹaɪt/","https://audio.tatoeba.org/sentences/eng/1479134.mp3","pending"
"Tom used to live in Boston.","/ˈtɑm ˈjuzd ˈtu ˈɫaɪv ˈɪn ˈbɑstən/","https://audio.tatoeba.org/sentences/eng/1024055.mp3","pending"
"Tom wanted to come with us.","/ˈtɑm ˈwɔntɪd ˈtu ˈkəm ˈwɪð ˈəs/","https://audio.tatoeba.org/sentences/eng/3403434.mp3","pending"
"Tom wants to join our club.","/ˈtɑm ˈwɑnts ˈtu ˈdʒɔɪn ˈaʊɝ ˈkɫəb/","https://audio.tatoeba.org/sentences/eng/4016661.mp3","pending"
"Tom was condemned to death.","/ˈtɑm ˈwɑz kənˈdɛmd ˈtu ˈdɛθ/","https://audio.tatoeba.org/sentences/eng/2492900.mp3","pending"
"Tom was eager to help Mary.","/ˈtɑm ˈwɑz ˈiɡɝ ˈtu ˈhɛɫp ˈmɛɹi/","https://audio.tatoeba.org/sentences/eng/3161770.mp3","pending"
"Tom was too angry to speak.","/ˈtɑm ˈwɑz ˈtu ˈæŋɡɹi ˈtu ˈspik/","https://audio.tatoeba.org/sentences/eng/3183368.mp3","pending"
"Tom was trying to help you.","/ˈtɑm ˈwɑz ˈtɹaɪɪŋ ˈtu ˈhɛɫp ˈju/","https://audio.tatoeba.org/sentences/eng/3161758.mp3","pending"
"Tom will explain it to you.","/ˈtɑm ˈwɪɫ ɪksˈpɫeɪn ˈɪt ˈtu ˈju/","https://audio.tatoeba.org/sentences/eng/4132543.mp3","pending"
"Tom will never forgive you.","/ˈtɑm ˈwɪɫ ˈnɛvɝ fɝˈɡɪv ˈju/","https://audio.tatoeba.org/sentences/eng/1867710.mp3","pending"
"Tom, I want to talk to you.","/ˈtɑm ˈaɪ ˈwɑnt ˈtu ˈtɔk ˈtu ˈju/","https://audio.tatoeba.org/sentences/eng/2033295.mp3","pending"
"Tom's answers were correct.","/ˈtɑmz ˈænsɝz ˈwɝ kɝˈɛkt/","https://audio.tatoeba.org/sentences/eng/4665870.mp3","pending"
"Tom's speech was excellent.","/ˈtɑmz ˈspitʃ ˈwɑz ˈɛksəɫənt/","https://audio.tatoeba.org/sentences/eng/37358.mp3","pending"
"We all laughed at his joke.","/ˈwi ˈɔɫ ˈɫæft ˈæt ˈhɪz ˈdʒoʊk/","https://audio.tatoeba.org/sentences/eng/262867.mp3","pending"
"We are about to leave here.","/ˈwi ˈɑɹ əˈbaʊt ˈtu ˈɫiv ˈhiɹ/","https://audio.tatoeba.org/sentences/eng/247957.mp3","pending"
"We can't just give it away.","/ˈwi ˈkænt ˈdʒəst ˈɡɪv ˈɪt əˈweɪ/","https://audio.tatoeba.org/sentences/eng/3151218.mp3","pending"
"We don't even talk anymore.","/ˈwi ˈdoʊn ˈivɪn ˈtɔk ˌɛniˈmɔɹ/","https://audio.tatoeba.org/sentences/eng/2281772.mp3","pending"
"We don't understand French.","/ˈwi ˈdoʊn ˌəndɝˈstænd ˈfɹɛntʃ/","https://audio.tatoeba.org/sentences/eng/2273776.mp3","pending"
"We have a traitor among us.","/ˈwi ˈhæv ˈeɪ ˈtɹeɪtɝ əˈməŋ ˈəs/","https://audio.tatoeba.org/sentences/eng/23357.mp3","pending"
"We have to call the police.","/ˈwi ˈhæv ˈtu ˈkɔɫ ˈðə pəˈɫis/","https://audio.tatoeba.org/sentences/eng/2698913.mp3","pending"
"We live near a big library.","/ˈwi ˈɫaɪv ˈnɪɹ ˈeɪ ˈbɪɡ ˈɫaɪbɹɛˌɹi/","https://audio.tatoeba.org/sentences/eng/249044.mp3","pending"
"We painted the walls white.","/ˈwi ˈpeɪntɪd ˈðə ˈwɔɫz ˈhwaɪt/","https://audio.tatoeba.org/sentences/eng/2713266.mp3","pending"
"We should lower our voices.","/ˈwi ˈʃʊd ˈɫoʊɝ ˈaʊɝ ˈvɔɪsəz/","https://audio.tatoeba.org/sentences/eng/2643855.mp3","pending"
"We took the quickest route.","/ˈwi ˈtʊk ˈðə ˈkwɪkɪst ˈɹaʊt/","https://audio.tatoeba.org/sentences/eng/3312831.mp3","pending"
"We want to run a few tests.","/ˈwi ˈwɑnt ˈtu ˈɹən ˈeɪ ˈfju ˈtɛsts/","https://audio.tatoeba.org/sentences/eng/2012746.mp3","pending"
"We'll gladly take you home.","/ˈwiɫ ˈɡɫædɫi ˈteɪk ˈju ˈhoʊm/","https://audio.tatoeba.org/sentences/eng/3312196.mp3","pending"
"We're almost finished here.","/ˈwɝ ˈɔɫˌmoʊst ˈfɪnɪʃt ˈhiɹ/","https://audio.tatoeba.org/sentences/eng/3824012.mp3","pending"
"We're going to do our best.","/ˈwɝ ˈɡoʊɪn ˈtu ˈdu ˈaʊɝ ˈbɛst/","https://audio.tatoeba.org/sentences/eng/3310844.mp3","pending"
"We're trying to rescue you.","/ˈwɝ ˈtɹaɪɪŋ ˈtu ˈɹɛskju ˈju/","https://audio.tatoeba.org/sentences/eng/3310936.mp3","pending"
"We've got our own problems.","/ˈwiv ˈɡɑt ˈaʊɝ ˈoʊn ˈpɹɑbɫəmz/","https://audio.tatoeba.org/sentences/eng/2663446.mp3","pending"
"Well, that's what Tom said.","/ˈwɛɫ ˈðæts ˈhwət ˈtɑm ˈsɛd/","https://audio.tatoeba.org/sentences/eng/3168352.mp3","pending"
"What about a glass of beer?","/ˈhwət əˈbaʊt ˈeɪ ˈɡɫæs ˈəv ˈbɪɹ/","https://audio.tatoeba.org/sentences/eng/34838.mp3","pending"
"What are you lining up for?","/ˈhwət ˈɑɹ ˈju ˈɫaɪnɪŋ ˈəp ˈfɔɹ/","https://audio.tatoeba.org/sentences/eng/66970.mp3","pending"
"What are you yelling about?","/ˈhwət ˈɑɹ ˈju ˈjɛɫɪŋ əˈbaʊt/","https://audio.tatoeba.org/sentences/eng/3395876.mp3","pending"
"What did they do yesterday?","/ˈhwət ˈdɪd ˈðeɪ ˈdu ˈjɛstɝˌdeɪ/","https://audio.tatoeba.org/sentences/eng/2643835.mp3","pending"
"What do you think about it?","/ˈhwət ˈdu ˈju ˈθɪŋk əˈbaʊt ˈɪt/","https://audio.tatoeba.org/sentences/eng/42939.mp3","pending"
"What do you think it's for?","/ˈhwət ˈdu ˈju ˈθɪŋk ˈɪts ˈfɔɹ/","https://audio.tatoeba.org/sentences/eng/4015874.mp3","pending"
"What does it actually mean?","/ˈhwət ˈdəz ˈɪt ˈækˌtʃuəɫi ˈmin/","https://audio.tatoeba.org/sentences/eng/662937.mp3","pending"
"What happened to your cane?","/ˈhwət ˈhæpənd ˈtu ˈjɔɹ ˈkeɪn/","https://audio.tatoeba.org/sentences/eng/3129939.mp3","pending"
"What he said made us angry.","/ˈhwət ˈhi ˈsɛd ˈmeɪd ˈəs ˈæŋɡɹi/","https://audio.tatoeba.org/sentences/eng/1288431.mp3","pending"
"What languages do you know?","/ˈhwət ˈɫæŋɡwədʒəz ˈdu ˈju ˈnoʊ/","https://audio.tatoeba.org/sentences/eng/1550947.mp3","pending"
"What time do you eat lunch?","/ˈhwət ˈtaɪm ˈdu ˈju ˈit ˈɫəntʃ/","https://audio.tatoeba.org/sentences/eng/3154666.mp3","pending"
"What was your other choice?","/ˈhwət ˈwɑz ˈjɔɹ ˈəðɝ ˈtʃɔɪs/","https://audio.tatoeba.org/sentences/eng/3197237.mp3","pending"
"What would you have Tom do?","/ˈhwət ˈwʊd ˈju ˈhæv ˈtɑm ˈdu/","https://audio.tatoeba.org/sentences/eng/2892654.mp3","pending"
"What's the matter with Tom?","/ˈhwəts ˈðə ˈmætɝ ˈwɪð ˈtɑm/","https://audio.tatoeba.org/sentences/eng/1040482.mp3","pending"
"What's the meaning of this?","/ˈhwəts ˈðə ˈminɪŋ ˈəv ˈðɪs/","https://audio.tatoeba.org/sentences/eng/2713263.mp3","pending"
"What's your favorite fruit?","/ˈhwəts ˈjɔɹ ˈfeɪvɝɪt ˈfɹut/","https://audio.tatoeba.org/sentences/eng/906765.mp3","pending"
"When did you come to Japan?","/ˈhwɛn ˈdɪd ˈju ˈkəm ˈtu dʒəˈpæn/","https://audio.tatoeba.org/sentences/eng/16755.mp3","pending"
"When did you get to London?","/ˈhwɛn ˈdɪd ˈju ˈɡɛt ˈtu ˈɫəndən/","https://audio.tatoeba.org/sentences/eng/29301.mp3","pending"
"When'll we know how Tom is?","/ˈhwɛnəɫ ˈwi ˈnoʊ ˈhaʊ ˈtɑm ˈɪz/","https://audio.tatoeba.org/sentences/eng/3130251.mp3","pending"
"Where did you go to school?","/ˈhwɛɹ ˈdɪd ˈju ˈɡoʊ ˈtu ˈskuɫ/","https://audio.tatoeba.org/sentences/eng/1841528.mp3","pending"
"Where do I pay for the gas?","/ˈhwɛɹ ˈdu ˈaɪ ˈpeɪ ˈfɔɹ ˈðə ˈɡæs/","https://audio.tatoeba.org/sentences/eng/38169.mp3","pending"
"Where is the ticket office?","/ˈhwɛɹ ˈɪz ˈðə ˈtɪkət ˈɔfɪs/","https://audio.tatoeba.org/sentences/eng/272494.mp3","pending"
"Where's the ticket counter?","/ˈhwɛɹz ˈðə ˈtɪkət ˈkaʊntɝ/","https://audio.tatoeba.org/sentences/eng/1495799.mp3","pending"
"Which floor do you live on?","/ˈhwɪtʃ ˈfɫɔɹ ˈdu ˈju ˈɫaɪv ˈɑn/","https://audio.tatoeba.org/sentences/eng/2079351.mp3","pending"
"Who do you want to talk to?","/ˈhu ˈdu ˈju ˈwɑnt ˈtu ˈtɔk ˈtu/","https://audio.tatoeba.org/sentences/eng/69107.mp3","pending"
"Who invented the clipboard?","/ˈhu ˌɪnˈvɛntəd ˈðə ˈkɫɪpˌbɔɹd/","https://audio.tatoeba.org/sentences/eng/3832003.mp3","pending"
"Whose umbrella did you use?","/ˈhuz ˈəmˌbɹɛɫə ˈdɪd ˈju ˈjus/","https://audio.tatoeba.org/sentences/eng/2643815.mp3","pending"
"Why are you angry with Tom?","/ˈhwaɪ ˈɑɹ ˈju ˈæŋɡɹi ˈwɪð ˈtɑm/","https://audio.tatoeba.org/sentences/eng/2543899.mp3","pending"
"Why are you telling us now?","/ˈhwaɪ ˈɑɹ ˈju ˈtɛɫɪŋ ˈəs ˈnaʊ/","https://audio.tatoeba.org/sentences/eng/3200385.mp3","pending"
"Why did you tell Tom first?","/ˈhwaɪ ˈdɪd ˈju ˈtɛɫ ˈtɑm ˈfɝst/","https://audio.tatoeba.org/sentences/eng/3200384.mp3","pending"
"Why do we need to find Tom?","/ˈhwaɪ ˈdu ˈwi ˈnid ˈtu ˈfaɪnd ˈtɑm/","https://audio.tatoeba.org/sentences/eng/3394429.mp3","pending"
"Why do you want to do this?","/ˈhwaɪ ˈdu ˈju ˈwɑnt ˈtu ˈdu ˈðɪs/","https://audio.tatoeba.org/sentences/eng/1773656.mp3","pending"
"Why don't you enlighten us?","/ˈhwaɪ ˈdoʊn ˈju ˌɛnˈɫaɪtən ˈəs/","https://audio.tatoeba.org/sentences/eng/2210615.mp3","pending"
"Why don't you study French?","/ˈhwaɪ ˈdoʊn ˈju ˈstədi ˈfɹɛntʃ/","https://audio.tatoeba.org/sentences/eng/34146.mp3","pending"
"Why don't you wait outside?","/ˈhwaɪ ˈdoʊn ˈju ˈweɪt ˈaʊtˈsaɪd/","https://audio.tatoeba.org/sentences/eng/2212252.mp3","pending"
"Why not take your coat off?","/ˈhwaɪ ˈnɑt ˈteɪk ˈjɔɹ ˈkoʊt ˈɔf/","https://audio.tatoeba.org/sentences/eng/62292.mp3","pending"
"Will you give me some time?","/ˈwɪɫ ˈju ˈɡɪv ˈmi ˈsəm ˈtaɪm/","https://audio.tatoeba.org/sentences/eng/4211820.mp3","pending"
"Would you like some coffee?","/ˈwʊd ˈju ˈɫaɪk ˈsəm ˈkɑfi/","https://audio.tatoeba.org/sentences/eng/62220.mp3","pending"
"Would you like to sit down?","/ˈwʊd ˈju ˈɫaɪk ˈtu ˈsɪt ˈdaʊn/","https://audio.tatoeba.org/sentences/eng/3223013.mp3","pending"
"You are always complaining.","/ˈju ˈɑɹ ˈɔɫˌweɪz kəmˈpɫeɪnɪŋ/","https://audio.tatoeba.org/sentences/eng/16765.mp3","pending"
"You can always count on us.","/ˈju ˈkæn ˈɔɫˌweɪz ˈkaʊnt ˈɑn ˈəs/","https://audio.tatoeba.org/sentences/eng/3519548.mp3","pending"
"You can take that with you.","/ˈju ˈkæn ˈteɪk ˈðæt ˈwɪð ˈju/","https://audio.tatoeba.org/sentences/eng/3358884.mp3","pending"
"You can't tell me anything.","/ˈju ˈkænt ˈtɛɫ ˈmi ˈɛniˌθɪŋ/","https://audio.tatoeba.org/sentences/eng/3200381.mp3","pending"
"You do trust me, don't you?","/ˈju ˈdu ˈtɹəst ˈmi ˈdoʊn ˈju/","https://audio.tatoeba.org/sentences/eng/3620470.mp3","pending"
"You don't seem too worried.","/ˈju ˈdoʊn ˈsim ˈtu ˈwɝid/","https://audio.tatoeba.org/sentences/eng/2283677.mp3","pending"
"You have a very good voice.","/ˈju ˈhæv ˈeɪ ˈvɛɹi ˈɡʊd ˈvɔɪs/","https://audio.tatoeba.org/sentences/eng/1523715.mp3","pending"
"You haven't changed at all.","/ˈju ˈhævən ˈtʃeɪndʒd ˈæt ˈɔɫ/","https://audio.tatoeba.org/sentences/eng/16420.mp3","pending"
"You like French, don't you?","/ˈju ˈɫaɪk ˈfɹɛntʃ ˈdoʊn ˈju/","https://audio.tatoeba.org/sentences/eng/2451564.mp3","pending"
"You may be late for school.","/ˈju ˈmeɪ ˈbi ˈɫeɪt ˈfɔɹ ˈskuɫ/","https://audio.tatoeba.org/sentences/eng/16233.mp3","pending"
"You might want to sit down.","/ˈju ˈmaɪt ˈwɑnt ˈtu ˈsɪt ˈdaʊn/","https://audio.tatoeba.org/sentences/eng/2012768.mp3","pending"
"You must've had a nice day.","/ˈju ˈməstɪv ˈhæd ˈeɪ ˈnaɪs ˈdeɪ/","https://audio.tatoeba.org/sentences/eng/2643796.mp3","pending"
"You obviously want to help.","/ˈju ˈɑbviəsɫi ˈwɑnt ˈtu ˈhɛɫp/","https://audio.tatoeba.org/sentences/eng/2033298.mp3","pending"
"You should be more patient.","/ˈju ˈʃʊd ˈbi ˈmɔɹ ˈpeɪʃənt/","https://audio.tatoeba.org/sentences/eng/2954731.mp3","pending"
"You should use a deodorant.","/ˈju ˈʃʊd ˈjus ˈeɪ diˈoʊdɝənt/","https://audio.tatoeba.org/sentences/eng/3893971.mp3","pending"
"You speak like your mother.","/ˈju ˈspik ˈɫaɪk ˈjɔɹ ˈməðɝ/","https://audio.tatoeba.org/sentences/eng/70145.mp3","pending"
"You were a kid once, right?","/ˈju ˈwɝ ˈeɪ ˈkɪd ˈwəns ˈɹaɪt/","https://audio.tatoeba.org/sentences/eng/3731795.mp3","pending"
"You'd better not wait here.","/ˈjud ˈbɛtɝ ˈnɑt ˈweɪt ˈhiɹ/","https://audio.tatoeba.org/sentences/eng/16717.mp3","pending"
"You're an attractive woman.","/ˈjuɹ ˈæn əˈtɹæktɪv ˈwʊmən/","https://audio.tatoeba.org/sentences/eng/2954919.mp3","pending"
"You're curious, aren't you?","/ˈjuɹ ˈkjʊɹiəs ˈɑɹənt ˈju/","https://audio.tatoeba.org/sentences/eng/3818023.mp3","pending"
"You're not listening to me.","/ˈjuɹ ˈnɑt ˈɫɪsənɪŋ ˈtu ˈmi/","https://audio.tatoeba.org/sentences/eng/1841499.mp3","pending"
"You're not sleepy, are you?","/ˈjuɹ ˈnɑt ˈsɫipi ˈɑɹ ˈju/","https://audio.tatoeba.org/sentences/eng/4054953.mp3","pending"
"You're wanted on the phone.","/ˈjuɹ ˈwɔntɪd ˈɑn ˈðə ˈfoʊn/","https://audio.tatoeba.org/sentences/eng/2713246.mp3","pending"
"You've told me that before.","/ˈjuv ˈtoʊɫd ˈmi ˈðæt ˌbiˈfɔɹ/","https://audio.tatoeba.org/sentences/eng/2543859.mp3","pending"
"Your sweater is inside out.","/ˈjɔɹ ˈswɛtɝ ˈɪz ˈɪnˌsaɪd ˈaʊt/","https://audio.tatoeba.org/sentences/eng/2719618.mp3","pending"
"Actually, I'm not buying it.","/ˈækˌtʃuəɫi ˈaɪm ˈnɑt ˈbaɪɪŋ ˈɪt/","https://audio.tatoeba.org/sentences/eng/3150411.mp3","pending"
"Are all passengers on board?","/ˈɑɹ ˈɔɫ ˈpæsəndʒɝz ˈɑn ˈbɔɹd/","https://audio.tatoeba.org/sentences/eng/268412.mp3","pending"
"Are you going by bus or car?","/ˈɑɹ ˈju ˈɡoʊɪn ˈbaɪ ˈbəs ˈɔɹ ˈkɑɹ/","https://audio.tatoeba.org/sentences/eng/35390.mp3","pending"
"Are you going to talk to me?","/ˈɑɹ ˈju ˈɡoʊɪn ˈtu ˈtɔk ˈtu ˈmi/","https://audio.tatoeba.org/sentences/eng/3181568.mp3","pending"
"Are you sure of your answer?","/ˈɑɹ ˈju ˈʃʊɹ ˈəv ˈjɔɹ ˈænsɝ/","https://audio.tatoeba.org/sentences/eng/63251.mp3","pending"
"Be more careful from now on.","/ˈbi ˈmɔɹ ˈkɛɹfəɫ ˈfɹəm ˈnaʊ ˈɑn/","https://audio.tatoeba.org/sentences/eng/1556843.mp3","pending"
"Bring your brother with you.","/ˈbɹɪŋ ˈjɔɹ ˈbɹəðɝ ˈwɪð ˈju/","https://audio.tatoeba.org/sentences/eng/16981.mp3","pending"
"Can we have a word with you?","/ˈkæn ˈwi ˈhæv ˈeɪ ˈwɝd ˈwɪð ˈju/","https://audio.tatoeba.org/sentences/eng/3328446.mp3","pending"
"Can you give me any details?","/ˈkæn ˈju ˈɡɪv ˈmi ˈɛni ˈditeɪɫz/","https://audio.tatoeba.org/sentences/eng/3152315.mp3","pending"
"Can you repeat that, please?","/ˈkæn ˈju ɹiˈpit ˈðæt ˈpɫiz/","https://audio.tatoeba.org/sentences/eng/3329632.mp3","pending"
"Children are not allowed in.","/ˈtʃɪɫdɹən ˈɑɹ ˈnɑt əˈɫaʊd ˈɪn/","https://audio.tatoeba.org/sentences/eng/245633.mp3","pending"
"Come out with your hands up.","/ˈkəm ˈaʊt ˈwɪð ˈjɔɹ ˈhændz ˈəp/","https://audio.tatoeba.org/sentences/eng/2995531.mp3","pending"
"Crashes happen all the time.","/ˈkɹæʃɪz ˈhæpən ˈɔɫ ˈðə ˈtaɪm/","https://audio.tatoeba.org/sentences/eng/3129734.mp3","pending"
