# DUPLICATE_LEFT_GUIDE
# Ghi lai cac dong bi loai do trung sentence_left voi dong da xuat hien truoc do
# === KHONG_CO_DONG_TRUNG ===: Khong co dong duplicate
source_file,mode,sentence_left,sentence_right,difficulty,conflict_with_source_file,conflict_with_mode
"Destination B1.json#47","destination","cause","an event, thing, or person that makes something happen","easy","Destination B1.json#47","destination"
"Destination B1.json#47","destination","doubt","a feeling of not being certain about something","easy","Destination B1.json#47","destination"
"Destination B1.json#47","destination","gossip","talk or a conversation about things that are not important or about people's private lives","easy","Destination B1.json#47","destination"
"Destination B1.json#47","destination","insult","an offensive remark","easy","Destination B1.json#47","destination"
"Destination B1.json#47","destination","praise","an expression of strong approval or admiration","easy","Destination B1.json#47","destination"
"Destination B1.json#48","destination","result","something that is caused directly by something else","easy","Destination B1.json#48","destination"
"Destination B2.json#2","destination","go away","go on holiday","medium","Destination B1.json#4","destination"
"Destination B2.json#2","destination","pick up","stop in a vehicle to give someone a lift","medium","Destination B1.json#29","destination"
"Destination B2.json#2","destination","take off","leave the ground","medium","Destination B1.json#4","destination"
"Destination B2.json#3","destination","carry on","continue","medium","Destination B1.json#1","destination"
"Destination B2.json#3","destination","go off","stop liking","medium","Destination B1.json#21","destination"
"Destination B2.json#3","destination","join in","participate, take part","medium","Destination B1.json#1","destination"
"Destination B2.json#3","destination","put off","delay, postpone","medium","Destination B1.json#18","destination"
"Destination B2.json#3","destination","take up","start (a hobby, sport, etc); fill an amount of space/time","medium","Destination B1.json#1","destination"
"Destination B2.json#6","destination","break down","stop working (for a machine, etc)","medium","Destination B1.json#8","destination"
"Destination B2.json#6","destination","come on","develop or make progress","medium","Destination B1.json#27","destination"
"Destination B2.json#6","destination","cut off","stop the supply of sth","medium","Destination B1.json#12","destination"
"Destination B2.json#6","destination","find out","discover information, etc","medium","Destination B1.json#8","destination"
"Destination B2.json#6","destination","turn off","stop a machine working","medium","Destination B1.json#8","destination"
"Destination B2.json#6","destination","work out","find the solution to a problem, etc","medium","Destination B1.json#29","destination"
"Destination B2.json#10","destination","bring up","start discussing a subject","medium","Destination B1.json#6","destination"
"Destination B2.json#10","destination","come on","start to be broadcast","medium","Destination B1.json#27","destination"
"Destination B2.json#10","destination","come out","be published","medium","Destination B1.json#12","destination"
"Destination B2.json#10","destination","fill in","add information in the spaces on a document","medium","Destination B1.json#12","destination"
"Destination B2.json#10","destination","look up","try to find information in a book or list, etc","medium","Destination B1.json#3","destination"
"Destination B2.json#10","destination","make up","invent an explanation, excuse, etc; create a story, poem, etc","medium","Destination B1.json#8","destination"
"Destination B2.json#10","destination","turn over","turn a page so that the other side is towards you","medium","Destination B1.json#3","destination"
"Destination B2.json#11","destination","bring up","look after a child until he or she becomes an adult","medium","Destination B1.json#6","destination"
"Destination B2.json#11","destination","fall out (with)","have an argument with and stop being friends","medium","Destination B1.json#6","destination"
"Destination B2.json#11","destination","get on (with)","have a good relationship (with)","medium","Destination B1.json#6","destination"
"Destination B2.json#11","destination","grow up","become older","medium","Destination B1.json#6","destination"
"Destination B2.json#11","destination","make up","become friends again after an argument","medium","Destination B1.json#8","destination"
"Destination B2.json#11","destination","put down","criticise, make someone feel stupid","medium","Destination B1.json#25","destination"
"Destination B2.json#13","destination","get away with","escape punishment for","medium","Destination B1.json#15","destination"
"Destination B2.json#13","destination","go off","explode; be fired (for a gun, usually accidentally)","medium","Destination B1.json#21","destination"
"Destination B2.json#13","destination","take down","write down what someone says","medium","Destination B1.json#7","destination"
"Destination B2.json#16","destination","break out","start suddenly (for a war, fire, etc)","medium","Destination B2.json#13","destination"
"Destination B2.json#16","destination","cut down (on)","do less of (smoking, etc); reduce an amount of","medium","Destination B1.json#21","destination"
"Destination B2.json#16","destination","get over","recover from (an illness, etc)","medium","Destination B1.json#21","destination"
"Destination B2.json#16","destination","give up","stop doing sth you do regularly","medium","Destination B1.json#1","destination"
"Destination B2.json#16","destination","look after","take care of","medium","Destination B1.json#6","destination"
"Destination B2.json#16","destination","put down","kill (a sick/old animal)","medium","Destination B1.json#25","destination"
"Destination B2.json#16","destination","put on","gain (weight)","medium","Destination B1.json#21","destination"
"Destination B2.json#19","destination","go off","be no longer fresh","medium","Destination B1.json#21","destination"
"Destination B2.json#19","destination","go on","continue happening or doing sth; do sth after doing sth else","medium","Destination B1.json#18","destination"
"Destination B2.json#19","destination","leave out","not include","medium","Destination B1.json#22","destination"
"Destination B2.json#19","destination","put off","make sb not want to do or not like sth","medium","Destination B1.json#18","destination"
"Destination B2.json#19","destination","take to","begin to like; begin to do sth regularly","medium","Destination B2.json#3","destination"
"Destination B2.json#19","destination","turn up","appear unexpectedly or without making a firm arrangement","medium","Destination B1.json#1","destination"
"Destination B2.json#21","destination","cross out","draw a line through sth written","medium","Destination B1.json#3","destination"
"Destination B2.json#21","destination","keep up with","stay at the same level as","medium","Destination B2.json#2","destination"
"Destination B2.json#23","destination","call off","cancel","medium","Destination B1.json#18","destination"
"Destination B2.json#23","destination","clear up","become brighter and better (for weather)","medium","Destination B1.json#25","destination"
"Destination B2.json#23","destination","cut off","make a place difficult or impossible to enter, leave or communicate with; disconnect","medium","Destination B1.json#12","destination"
"Destination B2.json#23","destination","do up","repair, paint or improve","medium","Destination B1.json#22","destination"
"Destination B2.json#23","destination","put out","make something stop burning","medium","Destination B1.json#25","destination"
"Destination B2.json#23","destination","throw away","get rid of, discard","medium","Destination B1.json#8","destination"
"Destination B2.json#24","destination","come across","find sth or meet sb by chance","medium","Destination B1.json#8","destination"
"Destination B2.json#24","destination","give away","give free of charge; reveal sth you are trying to hide","medium","Destination B1.json#7","destination"
"Destination B2.json#24","destination","make out","write all the necessary information on a cheque, etc","medium","Destination B2.json#10","destination"
"Destination B2.json#24","destination","save up (for)","save money little by little (for a specific purpose)","medium","Destination B1.json#7","destination"
"Destination B2.json#27","destination","drop off","fall asleep","medium","Destination B2.json#2","destination"
"Destination B2.json#27","destination","fall for","believe that a trick or joke is true","medium","Destination B2.json#11","destination"
"Destination B2.json#27","destination","let down","disappoint","medium","Destination B1.json#6","destination"
"Destination B2.json#27","destination","put on","hold; perform (a show, play, etc)","medium","Destination B1.json#21","destination"
"Destination B2.json#27","destination","take off","become successful or popular very fast","medium","Destination B1.json#4","destination"
"Destination B2.json#29","destination","catch on","become popular or fashionable","medium","Destination B2.json#21","destination"
"Destination B2.json#29","destination","take off","remove (a piece of clothing)","medium","Destination B1.json#4","destination"
"Destination B2.json#29","destination","try on","put on (a piece of clothing) to see how it looks and whether it fits","medium","Destination B1.json#22","destination"
"Destination B2.json#31","destination","set out","start working on sth in order to achieve an aim","medium","Destination B2.json#21","destination"
"Destination B2.json#31","destination","set up","start (a business, organisation, etc)","medium","Destination B1.json#18","destination"
"Destination B2.json#31","destination","take over","take control of (a business, etc)","medium","Destination B1.json#18","destination"
"Destination B2.json#31","destination","turn down","not accept (an offer, request, etc)","medium","Destination B1.json#1","destination"
"Destination B2.json#35","destination","journey","an occasion when you travel from one place to another, especially over a long distance","medium","Destination B1.json#34","destination"
"Destination B2.json#35","destination","trip","an occasion when you go somewhere and come back again","medium","Destination B1.json#34","destination"
"Destination B2.json#35","destination","book","to arrange to have or use something at a particular time in the future","medium","Destination B1.json#33","destination"
"Destination B2.json#35","destination","reach","to arrive somewhere","medium","Destination B1.json#34","destination"
"Destination B2.json#35","destination","fee","an amount of money that you pay to be allowed to do something such as join an organisation","medium","Destination B1.json#36","destination"
"Destination B2.json#35","destination","court","an area marked with lines where some sports are played, including tennis and basketball","medium","Destination B1.json#40","destination"
"Destination B2.json#35","destination","course","an area where a race or sport takes place","medium","Destination B1.json#32","destination"
"Destination B2.json#35","destination","ring","a raised area that is surrounded by ropes where people take part in boxing or wrestling","medium","Destination B1.json#39","destination"
"Destination B2.json#35","destination","ticket","a piece of paper that shows that you have paid to do something such as travel on a train, bus, plane, etc","medium","Destination B2.json#35","destination"
"Destination B2.json#36","destination","beat","to defeat someone in a game, competition, election or battle","medium","Destination B1.json#31","destination"
"Destination B2.json#36","destination","score","to get a point in a game or sport","medium","Destination B1.json#32","destination"
"Destination B2.json#36","destination","viewer","someone who watches television programmes","medium","Destination B1.json#39","destination"
"Destination B2.json#36","destination","referee","someone whose job is to make sure that players in a game obey the rules","medium","Destination B1.json#31","destination"
"Destination B2.json#36","destination","opponent","someone who is competing against you","medium","Destination B1.json#31","destination"
"Destination B2.json#36","destination","artificial","not natural or real, but made by people","medium","Destination B1.json#37","destination"
"Destination B2.json#37","destination","cause","an event, thing or person that makes something happen","medium","Destination B1.json#47","destination"
"Destination B2.json#37","destination","estimate","to guess or calculate an amount or value by using available information","medium","Destination B1.json#37","destination"
"Destination B2.json#37","destination","invent","to design or create something that did not exist before","medium","Destination B1.json#37","destination"
"Destination B2.json#37","destination","discover","to find something that was hidden or that no one knew about before","medium","Destination B1.json#37","destination"
"Destination B2.json#37","destination","research","the detailed study of something in order to discover new facts","medium","Destination B1.json#38","destination"
"Destination B2.json#37","destination","experiment","a scientific test to find out what happens to someone or something in particular conditions","medium","Destination B1.json#37","destination"
"Destination B2.json#37","destination","industry","all the businesses involved in producing a particular type of goods or services","medium","Destination B1.json#41","destination"
"Destination B2.json#37","destination","deny","to say that something is not true","medium","Destination B1.json#47","destination"
"Destination B2.json#37","destination","refuse","to say that you will not do or accept something, or will not let someone do something","medium","Destination B1.json#47","destination"
"Destination B2.json#37","destination","media","radio, television, newspapers, the Internet and magazines, considered as a group","medium","Destination B1.json#39","destination"
"Destination B2.json#37","destination","program","a series of instructions that makes a computer do something","medium","Destination B1.json#38","destination"
"Destination B2.json#37","destination","channel","a television station and the programmes that it broadcasts","medium","Destination B1.json#39","destination"
"Destination B2.json#37","destination","broadcast","a programme that is broadcast","medium","Destination B1.json#39","destination"
"Destination B2.json#37","destination","ancient","relating to a period of history a very long time ago","medium","Destination B1.json#43","destination"
"Destination B2.json#37","destination","support","to provide someone with the money, food, shelter or other things that they need in order to live","medium","Destination B1.json#32","destination"
"Destination B2.json#37","destination","polite","behaving towards other people in a pleasant way that follows all the usual rules of society","medium","Destination B1.json#46","destination"
"Destination B2.json#37","destination","bad-tempered","made annoyed or angry very easily","medium","Destination B1.json#46","destination"
"Destination B2.json#37","destination","sensible","reasonable and practical","medium","Destination B1.json#48","destination"
"Destination B2.json#37","destination","company","the activity of being with other people","medium","Destination B1.json#41","destination"
"Destination B2.json#38","destination","group","several people or things that are together or that are related to each other in some way","medium","Destination B1.json#31","destination"
"Destination B2.json#38","destination","typical","behaving in a way that is usual for a particular person","medium","Destination B1.json#40","destination"
"Destination B2.json#38","destination","ordinary","normal or average, and not unusual or special","medium","Destination B1.json#35","destination"
"Destination B2.json#38","destination","close","related to you directly, for example by being your parent, child, brother or sister","medium","Destination B1.json#34","destination"
"Destination B2.json#38","destination","arrest","if the police arrest someone, they take that person to a police station because they think that he or she has committed a crime","medium","Destination B1.json#39","destination"
"Destination B2.json#38","destination","commit","to do something that is illegal or morally wrong","medium","Destination B1.json#39","destination"
"Destination B2.json#38","destination","break","to fail to obey a rule or law","medium","Destination B1.json#33","destination"
"Destination B2.json#39","destination","hurt","to feel pain somewhere in your body","medium","Destination B1.json#46","destination"
"Destination B2.json#39","destination","cure","a medicine or treatment that makes someone who is ill become healthy","medium","Destination B1.json#42","destination"
"Destination B2.json#39","destination","effect","a change that is produced in one person or thing by another","medium","Destination B1.json#37","destination"
"Destination B2.json#39","destination","result","something that is caused directly by something else","medium","Destination B1.json#48","destination"
"Destination B2.json#39","destination","healthy","physically strong and not ill","medium","Destination B1.json#42","destination"
"Destination B2.json#39","destination","investigate","to try to find out all the facts about something in order to learn the truth about it","medium","Destination B1.json#47","destination"
"Destination B2.json#39","destination","infection","the process of becoming infected with a disease","medium","Destination B1.json#42","destination"
"Destination B2.json#39","destination","fix","an amount of a drug that someone feels that they need to take regularly","medium","Destination B1.json#43","destination"
"Destination B2.json#40","destination","chop","to cut something such as food or wood into pieces","medium","Destination B1.json#42","destination"
"Destination B2.json#40","destination","slice","to cut something into flat pieces","medium","Destination B1.json#43","destination"
"Destination B2.json#40","destination","freezing","very cold","medium","Destination B1.json#44","destination"
"Destination B2.json#40","destination","stir","to move food or a liquid around using a spoon or other object","medium","Destination B1.json#43","destination"
"Destination B2.json#40","destination","catalogue","a book that contains pictures of things that you can buy","medium","Destination B1.json#36","destination"
"Destination B2.json#41","destination","group","several people or things that are together or that are related to each other in some way","medium","Destination B1.json#31","destination"
"Destination B2.json#41","destination","popular","liked by many people","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","famous","if someone or something is famous, a lot of people know their name or have heard about them","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","typical","behaving in a way that is usual for a particular person","medium","Destination B1.json#40","destination"
"Destination B2.json#41","destination","usual","typical of what happens in most situations, or of what people do in most situations","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","ordinary","normal or average, and not unusual or special","medium","Destination B1.json#35","destination"
"Destination B2.json#41","destination","close","related to you directly, for example by being your parent, child, brother or sister","medium","Destination B1.json#34","destination"
"Destination B2.json#41","destination","near","close to someone or something","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","unknown","if something is unknown, people do not know about it or do not know what it is","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","infamous","well known for something bad","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","proof","information or evidence that shows that something is definitely true","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","evidence","facts, statements or objects that help to prove whether someone has committed a crime","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","suspect (v)","to believe that something is true","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","arrest","if the police arrest someone, they take that person to a police station because they think that he or she has committed a crime","medium","Destination B1.json#39","destination"
"Destination B2.json#41","destination","charge","to accuse someone of committing a crime","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","suspect (n)","someone who might have committed a crime","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","accused","someone who is accused of a crime in a court of law","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","decision","a choice that you make after you have thought carefully about something","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","verdict","an official judgment made in a court","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","commit","to do something that is illegal or morally wrong","medium","Destination B1.json#39","destination"
"Destination B2.json#41","destination","break","to fail to obey a rule or law","medium","Destination B1.json#33","destination"
"Destination B2.json#41","destination","rule","a statement that explains what you can or cannot do in a particular situation","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","law","the system of rules that must be obeyed in society","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","justice","treatment of people that is fair and morally right","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","right","something that you are morally or legally allowed to do or have","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","judge","someone whose job is to make decisions in a court of law","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","jury","a group of members of the public who decide whether someone is guilty in a court case","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","prosecute","to officially accuse someone of a crime and ask a court of law to judge them","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","persecute","to treat someone very badly because of their race, religion or political beliefs","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","capital punishment","the punishment of legally killing someone who has committed a serious crime","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","corporal punishment","punishment that consists of hitting someone","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","robber","someone who steals money or property","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","burglar","someone who enters a building illegally in order to steal things","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","thief","someone who steals something","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","vandal","someone who deliberately damages or destroys things, especially public property","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","hooligan","someone who is noisy or violent in public places","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","sentence","if a judge sentences someone, they officially say what that person's punishment will be","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","imprison","to put someone in a prison, or to keep them in a place that they cannot escape from","medium","Destination B2.json#38","destination"
"Destination B2.json#41","destination","take","to perform an action (e.g., an exam)","medium","Destination B2.json#35","destination"
"Destination B2.json#41","destination","pass","to be successful in an examination or test, by achieving a satisfactory standard","medium","Destination B1.json#33","destination"
"Destination B2.json#41","destination","colleague","someone who works in the same organisation or department as you","medium","Destination B1.json#41","destination"
"Destination B2.json#41","destination","degree","a course of study at a university, or the qualification that you get after completing the course","medium","Destination B1.json#32","destination"
"Destination B2.json#41","destination","subject","something that you learn or teach in a school, for example English, mathematics or biology","medium","Destination B1.json#33","destination"
"Destination B2.json#41","destination","achieve","to succeed in doing or having something","medium","Destination B1.json#32","destination"
"Destination B2.json#41","destination","reach","to get to a particular point in time, or to a particular stage in a process","medium","Destination B1.json#34","destination"
"Destination B2.json#41","destination","recognise","to know someone or something because you have seen, heard or met them before","medium","Destination B1.json#35","destination"
"Destination B2.json#42","destination","countryside","the area outside towns and cities, with farms, fields and trees","medium","Destination B1.json#44","destination"
"Destination B2.json#42","destination","area","a part of a city, town, country, etc","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","territory","an area of land that is controlled by a particular country, leader or army","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","season","one of the four periods into which the year is divided","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","period","an amount of time","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","fare","the money that you pay for a journey","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","ticket","a piece of paper that shows that you have paid to do something such as travel on a train, bus or plane","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","fee","an amount of money that you pay to be allowed to do something such as join an organisation","medium","Destination B1.json#36","destination"
"Destination B2.json#42","destination","miss","to be too late for something such as a train or bus","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","lose","to no longer have something","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","take","to move someone or something from one place to another","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","bring","to take someone or something with you from one place to another","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","go","to move or travel to a place that is away from where you are now","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","book","to buy a ticket, or to arrange to use something in the future","medium","Destination B1.json#33","destination"
"Destination B2.json#42","destination","keep","to continue to have or own something","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","arrive","to reach a place","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","reach","to arrive at a place","medium","Destination B1.json#34","destination"
"Destination B2.json#42","destination","stay","to live or remain in a place for a short time as a visitor or guest","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","live","to have your home in a particular place","medium","Destination B2.json#35","destination"
"Destination B2.json#42","destination","career","a job or profession that you work at for some time","medium","Destination B1.json#41","destination"
"Destination B2.json#42","destination","course","a series of lessons or a period of study in a particular subject","medium","Destination B1.json#32","destination"
"Destination B2.json#42","destination","staff","a group of people who work for a particular organisation","medium","Destination B1.json#42","destination"
"Destination B2.json#42","destination","run","to be in control of a business, etc","medium","Destination B1.json#38","destination"
"Destination B2.json#42","destination","profession","a job that needs a high level of education or special training","medium","Destination B1.json#41","destination"
"Destination B2.json#42","destination","salary","a fixed amount of money that you receive each month or year from your employer","medium","Destination B1.json#42","destination"
"Destination B2.json#42","destination","retire","to stop working because you have reached a certain age","medium","Destination B1.json#42","destination"
"Destination B2.json#42","destination","pension","an amount of money that someone receives regularly when they have retired","medium","Destination B1.json#41","destination"
"Destination B2.json#42","destination","company","an organisation that sells goods or services","medium","Destination B1.json#41","destination"
"Destination B2.json#42","destination","charity","an organisation that gives money, food or help to people who need it","medium","Destination B1.json#39","destination"
"Destination B2.json#43","destination","group","a small set of musicians who play pop music","medium","Destination B1.json#31","destination"
"Destination B2.json#43","destination","ticket","a piece of paper that shows that you have paid to do something such as go to a concert, visit a museum, or travel on a train, bus, plane, etc","medium","Destination B2.json#35","destination"
"Destination B2.json#43","destination","fee","an amount of money that you pay to be allowed to do something such as join an organisation","medium","Destination B1.json#36","destination"
"Destination B2.json#43","destination","put on","to cover a part of your body with a piece of clothing or jewellery so that you are wearing it","medium","Destination B1.json#21","destination"
"Destination B2.json#43","destination","fit","if clothes fit, they are the right size for you","medium","Destination B2.json#39","destination"
"Destination B2.json#43","destination","match","if one thing matches another, or they match, they form an attractive combination","medium","Destination B1.json#44","destination"
"Destination B2.json#43","destination","design","to decide how something will be made, how it will work, or what it will look like, and often to make drawings of it","medium","Destination B1.json#43","destination"
"Destination B2.json#43","destination","new","recently made, invented or developed","medium","Destination B2.json#37","destination"
"Destination B2.json#43","destination","modern","relating to or belonging to the present time","medium","Destination B2.json#37","destination"
"Destination B2.json#44","destination","look","the appearance that someone or something has","medium","Destination B2.json#43","destination"
"Destination B2.json#44","destination","supply","to provide someone or something with something that they need or want","medium","Destination B1.json#37","destination"
"Destination B2.json#44","destination","employer","a person or organisation that pays workers to work for them","medium","Destination B2.json#42","destination"
"Destination B2.json#44","destination","employee","someone who is paid regularly to work for a person or organisation","medium","Destination B2.json#42","destination"
